No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank
4345,scram 411,27100,26,65,$0.01,1,27,https://www.olx.in/en-in/items/q-scram-411-royal-enfield,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4346,nissan patrol price in india,22200,16,159,$0.27,1,11,https://www.olx.in/en-in/cars_c84/q-nissan-patrol,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4347,ninja 650,27100,15,246,$0.01,1,27,https://www.olx.in/en-in/motorcycles_c81/q-ninja-650,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4348,near me tuition classes,27100,28,59,$0.28,10,17,https://www.olx.in/en-in/thrissur_g4058891/teacher_c53/q-tuition,Thrissur,Unknown,Unknown,Unknown,Thrissur,Unknown,,,,1
4349,mobile phones 5000,27100,16,203,$0.03,24,21,https://www.olx.in/en-in/mobiles_c1411/q-price-5000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4350,singer tailoring machine,27100,38,56,$0.03,71,43,https://www.olx.in/en-in/items/q-singer-sewing-machine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4351,second hand vehicles in mumbai,27100,3,2636,$0.11,55,41,https://www.olx.in/mumbai_g4058997/cars_c84,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
4352,second hand computer olx,27100,1,8238,$0,1,19,https://www.olx.in/en-in/computers-laptops_c1505,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4353,second hand bikes in bangalore,27100,5,4390,$0.07,33,23,https://www.olx.in/bengaluru_g4058803/bikes_c2198,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
4354,royal enfield gt,27100,26,89,$0.18,1,21,https://www.olx.in/en-in/motorcycles_c81/q-continental-gt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4355,royal enfield classic 350 price in kolkata,22200,13,306,$0.01,2,12,https://www.olx.in/en-in/kolkata_g4157275/motorcycles_c81?filter=model_eq_motorcycles-royal-enfield-classic-350,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
4356,price of endeavour,27100,8,1270,$0.11,1,37,https://www.olx.in/cars_c84/q-ford-endeavour,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4357,poes garden chennai,22200,41,56,$0.16,5,19,https://www.olx.in/alwarpet-poes-garden_g5375927/for-sale-houses-apartments_c1725,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4358,job opportunities trivandrum,27100,4,2636,$0.05,7,29,https://www.olx.in/thiruvananthapuram_g4058889/jobs_c4,Thiruvananthapuram,Unknown,Unknown,Unknown,Thiruvananthapuram,Unknown,,,,1
4359,job openings guwahati,27100,6,1270,$0.06,23,28,https://www.olx.in/en-in/guwahati_g4058604/jobs_c4,Guwahati,Unknown,Unknown,Unknown,Guwahati,Unknown,,,,1
4360,job in guwahati,27100,5,1785,$0.04,17,27,https://www.olx.in/en-in/guwahati_g4058604/jobs_c4,Guwahati,Unknown,Unknown,Unknown,Guwahati,Unknown,,,,1
4361,jeep wrangler cost in india,27100,21,73,$0.46,1,38,https://www.olx.in/cars_c84/q-jeep-wrangler,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4362,internship meaning in hindi,33100,20,116,$0,1,14,https://www.olx.in/blog/jobs/what-is-internship/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4363,houses for rent in bangalore india,27100,6,915,$0.11,56,40,https://www.olx.in/bengaluru_g4058803/for-rent-houses-apartments_c1723,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
4364,laptops under 40000,22200,84,56,$0.16,93,47,https://www.olx.in/en-in/bhilai_g4059463/computers-laptops_c1505,Bhilai,Unknown,Unknown,Unknown,Bhilai,Unknown,,,,1
4365,discovery car,27100,25,73,$0.72,5,28,https://www.olx.in/cars_c84/q-land-rover-discovery,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4366,discover 125,27100,9,915,$0,1,26,https://www.olx.in/bikes_c2198/q-bajaj-discover-125,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4367,cycle cell,27100,91,56,$1.10,1,49,https://www.olx.in/mahendru_g5303250/bikes_c2198?page=4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4368,computer with screen,27100,18,159,$0.07,89,56,https://www.olx.in/en-in/computers-laptops_c1505/q-monitor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4369,buy used car chennai,27100,4,1785,$0.10,54,38,https://www.olx.in/en-in/chennai_g4059162/cars_c84,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
4370,buy pre owned cars in pune,27100,4,1785,$0.10,55,41,https://www.olx.in/pune_g4059014/cars_c84,Pune,Unknown,Unknown,Unknown,Pune,Unknown,,,,1
4371,books on tamil nadu,27100,34,56,$0.03,1,27,https://www.olx.in/tamil-nadu_g2001173/books_c453,Unknown,Tamil Nadu,India,South,Unknown,Unknown,,,,1
4372,h r full form in company,27100,10,406,$0,1,19,https://www.olx.in/blog/jobs/career-guide-to-hr-in-company/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4373,gst for mobile phone,27100,23,65,$3.90,1,34,https://www.olx.in/blog/expert-advice/new-gst-rates-on-mobile-phones/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4374,google pixel mobile,22200,31,56,$0.10,97,49,https://www.olx.in/mobile-phones_c1453?filter=make_eq_google-pixel,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4375,good motorcycle in india,27100,43,56,$0.02,8,34,https://www.olx.in/motorcycles_c81,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4376,full form of hr in company,27100,12,306,$0,1,13,https://www.olx.in/blog/jobs/career-guide-to-hr-in-company/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4377,elantra automatic,27100,11,533,$0.29,1,37,https://www.olx.in/hyundai-cars_c84/q-elantra-automatic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4378,audi a4 price in india,33100,32,56,$1.13,10,18,https://www.olx.in/cars_c84/q-a4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4379,atlas cycle,33100,11,47,$0.02,91,55,https://www.olx.in/en-in/_c1415/q-atlas-cycle,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4380,apple mobile,27100,24,65,$0.04,97,62,https://www.olx.in/en-in/mobile-phones_c1453?filter=make_eq_iphone,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4381,activa 5g price,27100,6,2636,$0.04,1,22,https://www.olx.in/en-in/scooters_c1413/q-activa-5g,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4382,2nd hand cars in mumbai,33100,10,693,$0.27,53,30,https://www.olx.in/en-in/mumbai_g4058997/cars_c84,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
4383,xerox machine price,33100,23,89,$0.13,95,51,https://www.olx.in/en-in/hard-disks-printers-monitors_c1509/q-xerox-machines,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4384,work from home bangalore,27100,11,533,$0.14,1,30,https://www.olx.in/bengaluru_g4058803/jobs_c4?filter=work_mode_eq_work_from_home,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
4385,window air conditioner 1.5 ton price,22200,71,56,$0.06,98,21,https://www.olx.in/acs_c1619,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4386,volkswagen vento,27100,5,2636,$0.09,1,27,https://www.olx.in/cars_c84/q-volkswagen-vento,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4387,tvs rr 310,22200,18,159,$0.08,22,26,https://www.olx.in/en-in/tvs-motorcycles_c81/q-apache-rr310,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4388,tuition classes near me,27100,21,116,$0.26,10,17,https://www.olx.in/navalur_g5335966/education-classes_c1429?filter=type_eq_tutions,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4389,mini cooler price,18100,15,333,$0.01,99,48,https://www.olx.in/en-in/ac_c1619/q-mini-cooler,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4390,maruti 800 car price,22200,6,2160,$0.16,9,14,https://www.olx.in/en-in/cars_c84/q-maruti-800-price,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4391,mahindra bike,22200,37,46,$4.96,1,24,https://www.olx.in/en-in/motorcycles_c81?filter=make_eq_mahindra,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4392,long lasting male perfume,22200,16,202,$0.08,99,19,https://www.olx.in/blog/expert-advice/long-lasting-perfumes-for-men/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4393,leg press machine,22200,18,202,$0.15,39,31,https://www.olx.in/gym-fitness_c771/q-leg-press,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4394,laptop acer price,18100,33,46,$0.04,99,43,https://www.olx.in/computers-laptops_c1505/q-acer,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4395,krishna colony,22200,49,46,$0.28,6,26,https://www.olx.in/en-in/real-estate_c3/q-krishna-colony,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4396,jobs in patna bihar,22200,7,750,$0.05,28,19,https://www.olx.in/patna_g4058642/jobs_c4,Patna,Unknown,Unknown,Unknown,Patna,Unknown,,,,1
4397,jobs in goa,27100,8,750,$0.02,18,27,https://www.olx.in/goa_g2001153/jobs_c4,Unknown,Goa,India,West,Unknown,Unknown,,,,1
4398,jaipur olx,22200,1,6748,$0.40,1,19,https://www.olx.in/en-in/jaipur_g4059123,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown,,,,1
4399,yamaha rx 100 bike,18100,4,3596,$0.22,1,25,https://www.olx.in/en-in/motorcycles_c81/q-rx100,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4400,workout machine name,22200,15,333,$0.03,47,47,https://www.olx.in/blog/health/10-best-leg-workout-machines-every-gym-needs/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4401,volkswagen car golf,49500,29,46,$0.13,1,54,https://www.olx.in/en-in/cars_c84?filter=model_eq_volkswagen-golf-gti,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4402,vintage cars ahmedabad,22200,71,46,$0,1,21,https://www.olx.in/ahmedabad_g4058677/cars_c84,Ahmedabad,Unknown,Unknown,Unknown,Ahmedabad,Unknown,,,,1
4403,true value near me,22200,55,46,$0.14,26,28,https://www.olx.in/en-in/profile/590067165,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4404,toyota corolla price in india,9900,15,202,$0.02,1,7,https://www.olx.in/en-in/cars_c84/q-toyota-corolla,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4405,price of xuv 500,18100,9,750,$0.30,2,25,https://www.olx.in/cars_c84/q-xuv-500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4406,price of mustang,27100,16,166,$0.01,1,50,https://www.olx.in/blog/cars/ford-mustang-gt-price-in-india-top-speed-mileage-mileage/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4407,phone fold,22200,32,46,$0.06,93,34,https://www.olx.in/mobile-phones_c1453/q-folding,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4408,pg in bangalore,18100,25,53,$0.13,44,46,https://www.olx.in/bengaluru_g4058803/pg-guest-houses_c1449,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
4409,one piece partywear,22200,53,46,$0.01,98,22,https://www.olx.in/item/women-c1795-expensive-one-piece-for-party-wear-on-sale-in-behala-kolkata-iid-1840321648,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
4410,office chair rate,22200,29,46,$0.06,100,32,https://www.olx.in/furniture_c628/q-office-chair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4411,office chair and price,22200,26,48,$0.06,100,24,https://www.olx.in/sofa-dining_c1593/q-office-chair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4412,notebook alienware,22200,17,166,$0.06,95,45,https://www.olx.in/computers-laptops_c1505/q-laptops-alienware,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4413,noida vacancy job,22200,9,568,$0.15,25,33,https://www.olx.in/en-in/noida_g4059326/jobs_c4,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
4414,nikon d5600 dslr,27100,16,250,$0.01,95,23,https://www.olx.in/en-in/cameras-lenses_c1517/q-nikon-d5600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4415,new motorcycle bajaj,22200,60,46,$0.02,10,50,https://www.olx.in/item/motorcycles-c81-used-bajaj-dominar-400-in-new-panvel-navi-mumbai-iid-1840386176,Navi Mumbai,Unknown,Unknown,Unknown,Navi Mumbai,Unknown,,,,1
4416,mr10 road,22200,22,59,$0.14,5,19,https://www.olx.in/mr-10-road_g1000000000001803/for-sale-houses-apartments_c1725,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4417,mirrorless camera,18100,48,46,$0.18,88,50,https://www.olx.in/cameras-lenses_c1517/q-mirrorless,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4418,tamil guide,27100,3,2160,$0,1,26,https://www.olx.in/books_c453/q-tamil-guide,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4419,tablet new,22200,84,46,$0.06,27,59,https://www.olx.in/item/tablets-c1455-samsung-in-raje-sambhaji-chowk-mukhed-iid-1840291692,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4420,swift car modified,22200,9,1041,$0.10,1,20,https://www.olx.in/en-in/cars_c84/q-swift-modified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4421,sony 5g mobile,22200,15,202,$0.01,97,23,https://www.olx.in/en-in/mobile-phones_c1453/q-5g?filter=make_eq_sony,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4422,second monitor,22200,4,2160,$0.04,1,28,https://www.olx.in/electronics-appliances_c99/q-dual-monitors,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4423,samsung tv 24 inch,22200,14,202,$0.01,85,25,https://www.olx.in/en-in/tvs-video-audio_c1523/q-samsung-led-24-inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4424,samsung mobile below 25000,22200,68,46,$0.01,78,26,https://www.olx.in/en-in/mobile-phones_c1453?filter=make_eq_samsung,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4425,samsung galaxy fold 7,22200,33,46,$0.04,99,41,https://www.olx.in/en-in/mobile-phones_c1453/q-samsung-7?filter=make_eq_samsung,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4426,router tenda,22200,15,130,$0.01,83,29,https://www.olx.in/en-in/computer-accessories_c1515/q-tenda-router,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4427,revolver chair,22200,12,437,$0.05,100,21,https://www.olx.in/furniture_c628/q-revolving-chair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4428,rental ac,18100,12,250,$0.12,30,33,https://www.olx.in/en-in/mumbai_g4058997/q-ac-rent,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
4429,rent ac,22200,6,750,$0.14,28,33,https://www.olx.in/en-in/mohali_g4296460/q-ac-on-rent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4430,tuition classes,18100,33,46,$0.36,3,24,https://www.olx.in/en-in/chandigarh_g4058651/education-classes_c1429/q-tuitions,Unknown,Chandigarh,India,North,Unknown,Unknown,,,,1
4431,ecotech 3 greater noida,22200,32,46,$0.25,6,13,https://www.olx.in/ecotech-iii_g5455023/properties_c3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4432,dehradun job vacancy,22200,6,1041,$0.07,18,27,https://www.olx.in/dehradun_g4059236/jobs_c4,Dehradun,Unknown,Unknown,Unknown,Dehradun,Unknown,,,,1
4433,cost of vertu phone in india,27100,12,333,$0.02,1,19,https://www.olx.in/en-in/mobiles_c1411/q-vertu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4434,corolla,27100,17,124,$0.47,1,39,https://www.olx.in/en-in/cars_c84/q-toyota-corolla,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4435,cooler motor,18100,20,124,$0.01,66,43,https://www.olx.in/en-in/electronics-appliances_c99/q-cooler-motor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4436,compact vehicles,22200,55,46,$0.09,1,48,https://www.olx.in/item/commercial-other-vehicles-c85-auto-rickshaws-e-rickshaws-in-ambapuram-vijayawada-iid-1840305050,Vijayawada,Unknown,Unknown,Unknown,Vijayawada,Unknown,,,,1
4437,coimbatore home rent,22200,1,6748,$0.04,38,31,https://www.olx.in/en-in/coimbatore_g4059164/for-rent-houses-apartments_c1723,Coimbatore,Unknown,Unknown,Unknown,Coimbatore,Unknown,,,,1
4438,cheapest bmw car in india,22200,32,46,$0.50,1,39,https://www.olx.in/cars_c84?filter=make_eq_bmw,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4439,iphone se 2020,22200,24,59,$0.03,59,42,https://www.olx.in/en-in/mobile-phones_c1453/q-iphone-se-2020,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4440,inch m,22200,13,333,$0.01,1,22,https://www.olx.in/blog/properties/1-inches-to-meters/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4441,how to purchase a house,22200,71,46,$1.09,2,17,https://www.olx.in/blog/properties/first-time-home-buyer-guide/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4442,housing houses for rent,22200,5,1041,$0.09,22,47,https://www.olx.in/for-rent-houses-apartments_c1723,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4443,hdmi converter vga,22200,71,46,$0.01,90,16,https://www.olx.in/purusottampur_g5439517/computer-accessories_c1515?page=1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4444,gurkha car price,14800,23,73,$0.01,3,18,https://www.olx.in/en-in/cars_c84/q-force-gurkha,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4445,good in hindi,22200,85,46,$0,1,22,https://www.olx.in/item/books-c453-microeconomics-book-hindi-medium-good-condition-in-sector-3-jaipur-iid-1840296248,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown,,,,1
4446,g 55 amg,22200,46,46,$0.73,2,22,https://www.olx.in/en-in/mercedes-benz-cars_c84/q-mercedes-g-class,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4447,fruits containing vitamin c,27100,43,46,$0.04,2,42,https://www.olx.in/blog/expert-advice/vitamin-c-fruits/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4448,food cart,18100,7,1462,$0.42,92,51,https://www.olx.in/gurgaon_g4058748/q-food-cart,Gurugram,Unknown,Unknown,Unknown,Gurugram,Unknown,,,,1
4449,eon,22200,44,46,$0.01,1,48,https://www.olx.in/cars_c84/q-eon,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4450,enfield classic 350,18100,25,53,$0.12,4,20,https://www.olx.in/motorcycles_c81/q-classic-350,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4451,job digital marketing,22200,48,46,$0.19,13,39,https://www.olx.in/badli_g4394351/sales-marketing_c62?page=1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4452,bentley cars price in india,27100,40,46,$0.01,1,13,https://www.olx.in/en-in/cars_c84/q-bentley,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4453,audi a3 car,22200,21,95,$1.01,1,31,https://www.olx.in/en-in/audi-cars_c84/q-a3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4454,atv bike,22200,18,166,$0.09,18,21,https://www.olx.in/en-in/bikes_c2198/q-atv-bikes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4455,antiques,22200,24,53,$0.12,7,40,https://www.olx.in/kerala_g2001160/q-antiques,Unknown,Kerala,India,South,Unknown,Unknown,,,,1
4456,antique ladies watch,22200,68,46,$0.03,100,27,https://www.olx.in/women_c1795/q-vintage-watches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4457,800 maruti car price,22200,6,2160,$0.31,8,21,https://www.olx.in/en-in/cars_c84/q-maruti-800-price,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4458,100cm in inch,22200,57,46,$0,1,24,https://www.olx.in/item/tvs-video-audio-c1523-xiaomi-by-mi-4a-100-cm-40-inch-full-hd-in-mayur-vihar-phase-3-delhi-iid-1840368205,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
4459,chevrolet corvette,22200,41,46,$0,1,24,https://www.olx.in/cars_c84?filter=model_eq_chevrolet-corvette,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4460,career opportunities in goa,22200,10,568,$0.05,16,43,https://www.olx.in/goa_g2001153/jobs_c4,Unknown,Goa,India,West,Unknown,Unknown,,,,1
4461,c 2 mobile,12100,20,95,$0,6,47,https://www.olx.in/en-in/mobile-phones_c1453/q-realme-c2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4462,bugatti and price,22200,33,46,$0.52,1,51,https://www.olx.in/blog/cars/top-bugatti-cars-india/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4463,bmw low price car,22200,28,48,$0.55,2,36,https://www.olx.in/cars_c84/q-bmw,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4464,bmw bikes in india,18100,22,73,$0.01,4,12,https://www.olx.in/motorcycles_c81?filter=make_eq_motorcycles-bmw,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4465,vintage watches for women,22200,44,46,$0.02,100,42,https://www.olx.in/women_c1795/q-vintage-watches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4466,vacancy in noida,22200,8,568,$0.15,25,40,https://www.olx.in/noida_g4059326/jobs_c4,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
4467,used iphone 13,22200,1,6748,$0.02,12,21,https://www.olx.in/en-in/pathsala_g4404127/mobile-phones_c1453/q-iphone-13,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4468,price of bus in india,22200,17,124,$0.16,4,29,https://www.olx.in/commercial-other-vehicles_c85/q-bus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4469,pg ladies,22200,6,3596,$0.03,4,31,https://www.olx.in/en-in/ernakulam_g5439833/q-pg-ladies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4470,packers and movers in mumbai,27100,39,46,$1.51,35,34,https://www.olx.in/en-in/mumbai_g4058997/packers-movers_c1304,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
4471,oneplus 8 pro,27100,21,95,$0.02,89,48,https://www.olx.in/en-in/mobile-phones_c1453/q-oneplus-8-pro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4472,old coins,27100,32,48,$0.04,94,55,https://www.olx.in/en-in/west-bengal_g2001177/q-old-coins,Unknown,West Bengal,India,East,Unknown,Unknown,,,,1
4473,mvp colony visakhapatnam,18100,45,46,$0.13,10,22,https://www.olx.in/mvp-colony_g5301133/for-rent-houses-apartments_c1723,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4474,putty walls,22200,88,46,$0.17,69,15,https://www.olx.in/item/other-services-c625-repair-your-old-walls-in-anand-nagar-gwalior-iid-1840339822,Gwalior,Unknown,Unknown,Unknown,Gwalior,Unknown,,,,1
4475,ps4 games,22200,33,46,$0.03,85,50,https://www.olx.in/games-entertainment_c93/q-ps4-games,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4476,wood and pallets,22200,22,130,$0.02,84,22,https://www.olx.in/en-in/furniture_c628/q-pallet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4477,women clothes suits,22200,41,46,$0.03,100,42,https://www.olx.in/fashion_c87/q-women-suits,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4478,karol bagh bike market,18100,2,3596,$0,1,11,https://www.olx.in/karol-bagh_g5327293/motorcycles_c81,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4479,jobs vacancy in patna,22200,10,333,$0.05,22,21,https://www.olx.in/patna_g4058642/jobs_c4,Patna,Unknown,Unknown,Unknown,Patna,Unknown,,,,1
4480,jobs in goa india,22200,7,1041,$0.04,18,25,https://www.olx.in/goa_g2001153/jobs_c4,Unknown,Goa,India,West,Unknown,Unknown,,,,1
4481,jobs from home in chennai,22200,11,333,$0.14,1,48,https://www.olx.in/en-in/chennai_g4059162/jobs_c4?filter=work_mode_eq_work_from_home,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
4482,jobs from home hyderabad,22200,8,568,$0.08,1,32,https://www.olx.in/hyderabad_g4058526/jobs_c4?filter=work_mode_eq_work_from_home,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
4483,job search in jaipur,22200,7,1041,$0.08,31,29,https://www.olx.in/jaipur_g4059123/jobs_c4,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown,,,,1
4484,jeep vehicle price,22200,41,46,$0.69,1,52,https://www.olx.in/cars_c84/q-jeep,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4485,jaipur jobs,22200,7,750,$0.08,31,30,https://www.olx.in/jaipur_g4059123/jobs_c4,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown,,,,1
4486,iphone se 2,22200,30,46,$0.01,36,46,https://www.olx.in/en-in/mobile-phones_c1453/q-iphone-se2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4487,iphone 13 refurbished,22200,5,1462,$0.02,97,26,https://www.olx.in/mumbai_g4058997/mobile-phones_c1453/q-iPhone-13?filter=make_eq_iphone-and-state_eq_refurbished_mobile_phones,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
4488,infinix gt20 pro price,22200,21,95,$0.01,51,37,https://www.olx.in/en-in/mobile-phones_c1453/q-20-pro?filter=make_eq_infinix,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4489,indian electric car price,22200,27,51,$0.11,23,63,https://www.olx.in/cars_c84?filter=petrol_eq_electric,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
4490,new delhi railway station nearest metro,18100,14,333,$0.02,1,10,https://www.olx.in/blog/expert-advice/nearest-metro-station-new-delhi-railway-station-guide/,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
4491,mercedes benz c class,22200,23,73,$1.67,4,13,https://www.olx.in/en-in/mercedes-benz-cars_c84/q-c-class,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
