No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Area,Category,Business Category,Product Category,Source,URL_Keyword,Unknown,Remaining_Url_Keywords,Priority Rank
25,old delhi railway station delhi,1000000,31,2100.0,$0.08,2,24,https://www.mappls.com/place-old+delhi+railway+station-shyama+prasad+mukherji+marg-near+chandni+chowk+metro+station-mori+gate-chandni+chowk-new+delhi-delhi-110006-BT56ES@zdata=MjguNjYwOTM1Kzc3LjIyNzc4MSsxNytCVDU2RVMrK25yed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,old railway station,,place shyama prasad mukherji marg chandni chowk metro station mori gate chandni chowk new 110006 bt56es zdata mjgunjywotm1kzc3ljiynzc4mssxnytcvdu2rvmrk25yed,1
26,indraprastha gas limited cng station,1000000,15,11300.0,$0,1,35,https://www.mappls.com/place-indraprastha+gas+limited+cng+station-hp+petrol+pump-near+khan+market+metro+station-sujan+park-new+delhi-delhi-110003-HOXFPR@zdata=MjguNjAyMTg1Kzc3LjIzMDA4MSsxNytIT1hGUFIrK25yed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,indraprastha gas limited cng station,,place hp petrol pump khan market metro station sujan park new 110003 hoxfpr zdata mjgunjaymtg1kzc3ljizmda4mssxnytit1hgufirk25yed,1
27,old delhi railway stations,1000000,50,2100.0,$0.08,2,25,https://www.mappls.com/6d3s13,,,,,,,,,,mappls.com,,,6d3s13,1
28,secunderabad junction secunderabad telangana,1000000,29,2200.0,$0.10,4,26,https://www.mappls.com/place-secunderabad+junction+railway+station-secunderabad+railway+station+area-secunderabad-telangana-500003-a11est@zdata=MTcuNDMzNjc1Kzc4LjUwMTcwOCsxNythMTFlc3QrKw==ed,Secunderabad,Telangana,India,South,Secunderabad,,,,,mappls.com,junction,,place railway station railway station area 500003 a11est zdata mtcundmznjc1kzc4ljuwmtcwocsxnythmtflc3qrkw ed,1
29,wine and shop,1000000,10,33800.0,$0.05,1,17,https://www.mappls.com/place-wine+shop-baramunda-bhubaneswar-odisha-751003-OK7O9J@zdata=MjAuMjczMjE2Kzg1Ljc5NDg1MysxNytPSzdPOUorKw==ed,Bhubaneswar,Odisha,India,East,Bhubaneswar,,,,,mappls.com,wine shop,,place baramunda 751003 ok7o9j zdata mjaumjczmje2kzg1ljc5ndg1mysxnytpszdpouorkw ed,1
30,delhi old railway station,1000000,52,2100.0,$0.06,4,22,https://www.mappls.com/6d3s13,,,,,,,,,,mappls.com,,,6d3s13,1
31,old delhi railway station,1000000,44,2100.0,$0.06,4,21,https://www.mappls.com/place-old+delhi+railway+station+parking-18-shyama+prasad+mukherjee+marg-kaccha+bagh+area-chandni+chowk-new+delhi-delhi-110006-DE23MF@zdata=MjguNjYwNDYxKzc3LjIyNzU0NisxNytERTIzTUYrK25yed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,old railway station,,place parking 18 shyama prasad mukherjee marg kaccha bagh area chandni chowk new 110006 de23mf zdata mjgunjywndyxkzc3ljiynzu0nisxnytertiztuyrk25yed,1
32,marine drive,1000000,29,2100.0,$0.53,5,49,https://www.mappls.com/direction-from--to-marine+drive+marine+drive+mumbai?@zdata=ZnJvbSsrdG8rNzIuODI0MTQsMTguOTM4NTA0LDE3MlNUVCt2aWE=,Mumbai,,,,Mumbai,,,,,mappls.com,marine drive,,direction to marine drive,1
33,secunderabad jn railway station,1000000,19,4300.0,$0.10,4,25,https://www.mappls.com/place-secunderabad+junction+railway+station-secunderabad+railway+station+area-secunderabad-telangana-500003-a11est@zdata=MTcuNDMzNjc1Kzc4LjUwMTcwOCsxNythMTFlc3QrKw==ed,Secunderabad,Telangana,India,South,Secunderabad,,,,,mappls.com,railway station,,place junction railway station area 500003 a11est zdata mtcundmznjc1kzc4ljuwmtcwocsxnythmtflc3qrkw ed,1
34,old delhi station,1000000,59,2100.0,$0.08,2,36,https://www.mappls.com/6d3s13,,,,,,,,,,mappls.com,,,6d3s13,1
35,gandhi nagar,1000000,37,2100.0,$0.08,3,43,"https://www.mappls.com/direction-from--to-gandhinagar;gandhi+nagar+ch+road,+sector+10,+gandhinagar,+gujarat,+382010+gandhinagar;gandhi+nagar?@zdata=ZnJvbSsrdG8rNzIuNjU4NjI0LDIzLjIyMDg2MixSRU1SMjcrdmlh",Gandhinagar,,,,Gandhinagar,,,,,mappls.com,,,direction to,1
36,chhatrapati shivaji international airport terminal 2,74000,28,2100.0,$0.12,13,30,https://www.mappls.com/place-chhatrapati+shivaji+international+airport+terminal+2-andheri+east-mumbai-maharashtra-400099-8pylme@zdata=MTkuMDk4OTkrNzIuODc1MzQ2KzE3KzhweWxtZSsred,Mumbai,Maharashtra,India,West,Mumbai,Andheri,,,,mappls.com,chhatrapati shivaji international airport terminal,,place 400099 8pylme zdata mtkumdk4otkrnziuodc1mzq2kze3kzhwewxtzssred,1
37,old delhi junction railway station,1220000,53,2100.0,$0,3,35,https://www.mappls.com/place-old+delhi+railway+station-shyama+prasad+mukherji+marg-near+chandni+chowk+metro+station-mori+gate-chandni+chowk-new+delhi-delhi-110006-BT56ES@zdata=MjguNjYwOTM1Kzc3LjIyNzc4MSsxNytCVDU2RVMrK25yed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,old railway station,,place shyama prasad mukherji marg chandni chowk metro station mori gate chandni chowk new 110006 bt56es zdata mjgunjywotm1kzc3ljiynzc4mssxnytcvdu2rvmrk25yed,1
38,wine shop,1000000,9,33800.0,$0.83,1,47,https://www.mappls.com/place-english+wine+shop-station+road-nahar+para-raipur-chhattisgarh-492009-s71773@zdata=MjEuMjU2MTk3KzgxLjYzMDk2KzE3K3M3MTc3Mysred,Raipur,Chhattisgarh,India,Central,Raipur,,,,,mappls.com,wine shop,,place english station road nahar para 492009 s71773 zdata mjeumju2mtk3kzgxljyzmdk2kze3k3m3mtc3mysred,1
39,old railway station delhi,1000000,45,2100.0,$0.06,4,22,https://www.mappls.com/6d3s13,,,,,,,,,,mappls.com,,,6d3s13,1
40,old delhi railway station location,1220000,40,2100.0,$0.07,3,20,https://www.mappls.com/6d3s13,,,,,,,,,,mappls.com,,,6d3s13,1
41,qutub minar,550000,75,1728.0,$0.47,5,49,https://www.mappls.com/n6oqyb,,,,,,,,,,mappls.com,,,n6oqyb,1
42,ambience mall,673000,17,7489.0,$1.07,10,51,https://www.mappls.com/a71f58,,,,,,,,,,mappls.com,,,a71f58,1
43,sealdah station kolkata,823000,23,4197.0,$0.08,2,34,https://www.mappls.com/direction-from--to-Sealdah%20Railway%20Station(%20Kolkata%20Sealdah%20Railway%20Station%20)@Zdata=ZnJvbSsrdG8rODguMzcwODQ5MDAwMDAwMSwyMi41Njc0MDQwMDAwMDAxK3ZpYQ==,Kolkata,,,,Kolkata,,,,,mappls.com,sealdah station,,direction to railway sealdah railway station,1
44,panvel,673000,35,1728.0,$0,5,62,https://www.mappls.com/place-panvel+railway+station+east-sector+15-new+panvel+east-navi+mumbai-maharashtra-410206-DC2288@zdata=MTguOTkwOTgzKzczLjEyMjUwNysxNytEQzIyODgrK25yed,Mumbai,Maharashtra,India,West,Mumbai,,,,,mappls.com,panvel,,place railway station sector 15 new panvel navi 410206 dc2288 zdata mtguotkwotgzkzczljeymjuwnysxnyteqziyodgrk25yed,1
45,sealdah railway station kolkata,823000,23,2715.0,$0.10,4,27,https://www.mappls.com/direction-from--to-Sealdah%20Railway%20Station(%20Kolkata%20Sealdah%20Railway%20Station%20)@Zdata=ZnJvbSsrdG8rODguMzcwODQ5MDAwMDAwMSwyMi41Njc0MDQwMDAwMDAxK3ZpYQ==,Kolkata,,,,Kolkata,,,,,mappls.com,sealdah railway station,,direction to sealdah railway station,1
46,ambience mall gurgaon,673000,23,2222.0,$1.07,10,46,https://www.mappls.com/8ss1ab,,,,,,,,,,mappls.com,,,8ss1ab,1
47,sealdah station,823000,22,4197.0,$0,8,50,https://www.mappls.com/direction-from--to-Sealdah%20Railway%20Station(%20Kolkata%20Sealdah%20Railway%20Station%20)@Zdata=ZnJvbSsrdG8rODguMzcwODQ5MDAwMDAwMSwyMi41Njc0MDQwMDAwMDAxK3ZpYQ==,Kolkata,,,,Kolkata,,,,,mappls.com,sealdah station,,direction to railway sealdah railway station,1
48,hindustan petroleum,823000,26,2222.0,$0.36,1,48,https://www.mappls.com/p0837k,,,,,,,,,,mappls.com,,,p0837k,1
49,chandni chowk in new delhi,823000,107,1728.0,$0.12,3,26,https://www.mappls.com/place-gandhi+market-1864-chandni+chowk+road-maliwara-chandni+chowk-new+delhi-delhi-110006-5ia3ef@zdata=MjguNjU1OTk1Kzc3LjIzMTM3MysxNys1aWEzZWYrKw==ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,chandni chowk new,,place gandhi market 1864 road maliwara chandni chowk 110006 5ia3ef zdata mjgunju1otk1kzc3ljizmtm3mysxnys1awezzwyrkw ed,1
50,terminal 3 igi airport delhi,673000,39,1413.0,$0.12,3,23,https://www.mappls.com/place-indira+gandhi+international+airport+departure+terminal+3-indira+gandhi+international+airport-igi+t3+road-near+mehram+nagar-new+delhi-delhi-110037-D4CS6S@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0Q0Q1M2UysrbnI=ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,terminal igi airport,,place indira gandhi international departure indira gandhi international airport t3 road mehram nagar new 110037 d4cs6s zdata mjguntu1mdezkzc3lja4ndm3kze3k0q0q1m2uysrbni ed,1
51,post office near me,550000,39,1413.0,$0.41,1,35,https://www.mappls.com/23se1t,,,,,,,,,,mappls.com,,,23se1t,1
52,railway station thane,673000,35,1413.0,$0,4,44,https://www.mappls.com/place-thane+railway+station+west-jambli+naka-thane+west-thane-maharashtra-400601-CBDA35@zdata=MTkuMTg2NjA1KzcyLjk3NTQ2NCsxNytDQkRBMzUrK25yed,Thane,Maharashtra,India,West,Thane,,,,,mappls.com,railway station,,place jambli naka 400601 cbda35 zdata mtkumtg2nja1kzcyljk3ntq2ncsxnytdqkrbmzurk25yed,1
53,city mangalore,673000,30,1547.0,$0.24,1,38,https://www.mappls.com/6bb53s,,,,,,,,,,mappls.com,,,6bb53s,1
54,laxmi nagar,550000,49,1413.0,$0.12,4,49,https://www.mappls.com/place-laxmi+nagar+metro+station-vikas+marg-block+d-lakshmi+nagar-new+delhi-delhi-110092-284TB1@zdata=MjguNjMwNDU2Kzc3LjI3NzM2NCsxNysyODRUQjErK25yed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,laxmi nagar,,place metro station vikas marg block lakshmi nagar new 110092 284tb1 zdata mjgunjmwndu2kzc3lji3nzm2ncsxnysyodruqjerk25yed,1
55,indira gandhi airport terminal 3,673000,48,1413.0,$0.70,3,35,https://www.mappls.com/place-indira+gandhi+international+airport+arrival+terminal+3-indira+gandhi+international+airport-airport+road-new+delhi-delhi-110037-B8X9BD@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0I4WDlCRCsrbnI=ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,indira gandhi airport terminal,,place international arrival indira gandhi international airport airport road new 110037 b8x9bd zdata mjguntu1mdezkzc3lja4ndm3kze3k0i4wdlcrcsrbni ed,1
56,delhi nizamuddin station,673000,49,1413.0,$0.09,3,30,https://www.mappls.com/place-hazrat+nizamuddin+railway+station-station+road-nizamuddin+east-new+delhi-delhi-110013-SHG9VR@zdata=MjguNTg4ODk0Kzc3LjI1MzUwOSsxNytTSEc5VlIrK25yed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,nizamuddin station,,place hazrat railway station road nizamuddin new 110013 shg9vr zdata mjguntg4odk0kzc3lji1mzuwossxnyttsec5vlirk25yed,1
57,block c,673000,16,5047.0,$0.11,3,18,https://www.mappls.com/kdrgo3,,,,,,,,,,mappls.com,,,kdrgo3,1
58,t3 delhi,673000,65,1413.0,$0.12,3,23,https://www.mappls.com/place-indira+gandhi+international+airport+departure+terminal+3-indira+gandhi+international+airport-igi+t3+road-near+mehram+nagar-new+delhi-delhi-110037-D4CS6S@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0Q0Q1M2UysrbnI=ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,t3,,place indira gandhi international airport departure terminal indira gandhi international airport igi road mehram nagar new 110037 d4cs6s zdata mjguntu1mdezkzc3lja4ndm3kze3k0q0q1m2uysrbni ed,1
59,thane railway station,550000,38,1413.0,$0,5,44,https://www.mappls.com/place-thane+railway+station+west-jambli+naka-thane+west-thane-maharashtra-400601-CBDA35@zdata=MTkuMTg2NjA1KzcyLjk3NTQ2NCsxNytDQkRBMzUrK25yed,Thane,Maharashtra,India,West,Thane,,,,,mappls.com,railway station,,place jambli naka 400601 cbda35 zdata mtkumtg2nja1kzcyljk3ntq2ncsxnytdqkrbmzurk25yed,1
60,igi terminal 3 airport,673000,38,1413.0,$0.12,3,32,https://www.mappls.com/place-indira+gandhi+international+airport+departure+terminal+3-indira+gandhi+international+airport-igi+t3+road-near+mehram+nagar-new+delhi-delhi-110037-D4CS6S@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0Q0Q1M2UysrbnI=ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,igi terminal airport,,place indira gandhi international departure indira gandhi international airport t3 road mehram nagar new 110037 d4cs6s zdata mjguntu1mdezkzc3lja4ndm3kze3k0q0q1m2uysrbni ed,1
61,anand vihar,673000,64,1413.0,$0,7,50,https://www.mappls.com/place-anand+vihar+isbt+metro+station-anand+vihar-new+delhi-delhi-110092-bt81et@zdata=MjguNjQ2ODA3Kzc3LjMxNjAzMysxNytidDgxZXQrKw==ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,anand vihar,,place isbt metro station anand vihar new 110092 bt81et zdata mjgunjq2oda3kzc3ljmxnjazmysxnytiddgxzxqrkw ed,1
62,sbi atm near to me,673000,11,7604.0,$0.03,1,23,https://www.mappls.com/search-near-State%20Bank%20of%20India%20ATM(%20SBI%20ATM%20)@zdata=ODUuMjE2MzgsMjUuNzAxNjU3,,,India,,,,,,,mappls.com,sbi atm,,state bank atm,1
63,lakshmi nagar delhi,550000,41,1413.0,$0.32,3,43,https://www.mappls.com/284tb1,,,,,,,,,,mappls.com,,,284tb1,1
64,atm near me sbi,673000,20,3432.0,$0.02,1,19,https://www.mappls.com/search-near-State%20Bank%20of%20India%20ATM(%20SBI%20ATM%20)@zdata=ODUuMjE2MzgsMjUuNzAxNjU3,,,India,,,,,,,mappls.com,atm sbi,,state bank atm,1
65,terminal 3 igi,673000,40,1413.0,$0.12,3,24,https://www.mappls.com/place-indira+gandhi+international+airport+departure+terminal+3-indira+gandhi+international+airport-igi+t3+road-near+mehram+nagar-new+delhi-delhi-110037-D4CS6S@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0Q0Q1M2UysrbnI=ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,terminal igi,,place indira gandhi international airport departure indira gandhi international airport t3 road mehram nagar new 110037 d4cs6s zdata mjguntu1mdezkzc3lja4ndm3kze3k0q0q1m2uysrbni ed,1
66,sbi atm near me,673000,43,1413.0,$0,1,34,https://www.mappls.com/place-state+bank+of+india+atm-railway+station+area-jaipur-rajasthan-302016-E99DWK@zdata=MjYuOTIxMzErNzUuNzg3MDgrMTcrRTk5RFdLKytucg==ed,Jaipur,Rajasthan,India,North,Jaipur,,,,,mappls.com,atm,,place state bank railway station area 302016 e99dwk zdata mjyuotixmzernzuunzg3mdgrmtcrrtk5rfdlkytucg ed,1
67,lokmanya tilak terminus railway station,450000,22,1815.0,$0.50,6,36,https://www.mappls.com/place-lokmanya+tilak+terminus-pipeline+road-lokmanya+tilak+terminus+railway+yard-kurla+east-mumbai-maharashtra-400089-3qfxrq@zdata=MTkuMDcxMTQxKzcyLjg5MTAwNisxNyszcWZ4cnErKw==ed,Mumbai,Maharashtra,India,West,Mumbai,,,,,mappls.com,lokmanya tilak terminus railway,,place pipeline road lokmanya tilak terminus yard kurla 400089 3qfxrq zdata mtkumdcxmtqxkzcyljg5mtawnisxnyszcwz4cnerkw ed,1
68,new delhi lajpat nagar,550000,44,1155.0,$0.16,4,22,https://www.mappls.com/place-lajpat+nagar+central+market-near+ashram+chowk-lajpat+nagar-south+delhi-new+delhi-delhi-110024-BAF345@zdata=MjguNTY5MjYrNzcuMjQxNjQrMTcrQkFGMzQ1Kys=ed,Delhi,Delhi,India,North,Delhi,,,,,mappls.com,new lajpat nagar,,place market ashram chowk lajpat nagar 110024 baf345 zdata mjgunty5mjyrnzcumjqxnjqrmtcrqkfgmzq1kys ed,1
69,ev charging stations near me,301000,52,1155.0,$0.10,5,36,https://www.mappls.com/ev%20charging-near-me,,,,,,,,,,mappls.com,ev charging me,,,1
70,delhi sarojini nagar market,550000,21,2805.0,$0,1,34,https://www.mappls.com/aqoqfb,,,,,,,,,,mappls.com,,,aqoqfb,1
71,india juhu beach,550000,30,1155.0,$0.10,6,31,https://www.mappls.com/place-juhu+beach+area-juhu-mumbai-maharashtra-400049-UAR8G7@appzdata=MTkuMDk2Njg4KzcyLjgyNTU4NSsxNStVQVI4RzcrKzI0MDAwed,Mumbai,Maharashtra,India,West,Mumbai,Juhu,,,,mappls.com,beach,,place area 400049 uar8g7 appzdata mtkumdk2njg4kzcyljgyntu4nssxnstvqvi4rzcrkzi0mdawed,1
72,satara location,450000,36,1155.0,$0.31,1,33,https://www.mappls.com/direction-from--to-Satara@Zdata=ZnJvbSsrdG8rNzQuMDAyOTYsMTcuNjgyMzIrdmlh,,,,,,,,,,mappls.com,satara,,direction to zdata znjvbssrdg8rnzqumdayotysmtcunjgymzirdmlh,1
73,ramnagar nainital,550000,30,1155.0,$0.20,2,48,https://www.mappls.com/place-bus+stand-ramnagar-nainital+district-uttarakhand-244715-JXZ2FT@zdata=MjkuMzkzODU5Kzc5LjA5NDkyMisxNytKWFoyRlQrK25yed,Nainital,Uttarakhand,India,North,Nainital,,,,,mappls.com,ramnagar,,place bus stand district 244715 jxz2ft zdata mjkumzkzodu5kzc5lja5ndkymisxnytkwfoyrlqrk25yed,1
74,majestic ksrtc bus terminal 2a,550000,20,2365.0,$0.11,5,22,https://www.mappls.com/place-kempegowda+bus+terminal+2-tank+bund+road-gandhi+nagar-bengaluru-karnataka-560023-rqxcrj@zdata=MTIuOTc2NjQ1Kzc3LjU3MTg5KzE3K3JxeGNyaisred,Bengaluru,Karnataka,India,South,Bengaluru,,,,,mappls.com,bus terminal,,place kempegowda tank bund road gandhi nagar 560023 rqxcrj zdata mtiuotc2njq1kzc3lju3mtg5kze3k3jxegnyaisred,1
75,delhi rajiv chowk,550000,19,3245.0,$0.12,4,20,https://www.mappls.com/4q0rzr,,,,,,,,,,mappls.com,,,4q0rzr,1
76,dadar mumbai station,550000,44,1155.0,$0.09,3,22,https://www.mappls.com/f74ct3,,,,,,,,,,mappls.com,,,f74ct3,1
77,gateway of india in mumbai,550000,39,1155.0,$0.07,7,24,https://www.mappls.com/ssbsat,,,,,,,,,,mappls.com,,,ssbsat,1
78,vashi,450000,33,1155.0,$0.11,5,62,https://www.mappls.com/31a3t2,,,,,,,,,,mappls.com,,,31a3t2,1
79,tilak terminus,550000,24,2365.0,$0.10,5,19,https://www.mappls.com/place-lokmanya+tilak+terminus-pipeline+road-lokmanya+tilak+terminus+railway+yard-kurla+east-mumbai-maharashtra-400089-3qfxrq@zdata=MTkuMDcxMTQxKzcyLjg5MTAwNisxNyszcWZ4cnErKw==ed,Mumbai,Maharashtra,India,West,Mumbai,,,,,mappls.com,tilak terminus,,place lokmanya pipeline road lokmanya tilak terminus railway yard kurla 400089 3qfxrq zdata mtkumdcxmtqxkzcyljg5mtawnisxnyszcwz4cnerkw ed,1
80,dadar station mumbai,450000,48,1155.0,$0.87,6,44,https://www.mappls.com/f74ct3,,,,,,,,,,mappls.com,,,f74ct3,1
81,mumbai india gate,550000,26,1485.0,$0.07,7,22,https://www.mappls.com/ssbsat,,,,,,,,,,mappls.com,,,ssbsat,1
82,juhu mumbai beach,550000,34,1155.0,$0.09,6,31,https://www.mappls.com/place-juhu+beach-juhu+tara+road-juhu-mumbai-maharashtra-400049-t2b8s2@zdata=MTkuMDk2OTk2KzcyLjgyNjE3NCsxNyt0MmI4czIrKw==ed,Mumbai,Maharashtra,India,West,Mumbai,Juhu,,,,mappls.com,beach,,place tara road 400049 t2b8s2 zdata mtkumdk2otk2kzcyljgynje3ncsxnyt0mmi4czirkw ed,1
83,block d,550000,99,1155.0,$0.11,3,33,https://www.mappls.com/place-block+d+park-block+d-saket-new+delhi-delhi-110017-yc1lyu@zdata=MjguNTIyNDk2Kzc3LjIwNDc5NysxNyt5YzFseXUrKw==ed,Delhi,Delhi,India,North,Delhi,Saket,,,,mappls.com,block,,place park block new 110017 yc1lyu zdata mjguntiyndk2kzc3ljiwndc5nysxnyt5yzfsexurkw ed,1
84,juhu beach in mumbai,550000,32,1155.0,$0.41,6,36,https://www.mappls.com/place-juhu+beach+area-juhu-mumbai-maharashtra-400049-UAR8G7@appzdata=MTkuMDk2Njg4KzcyLjgyNTU4NSsxNStVQVI4RzcrKzI0MDAwed,Mumbai,Maharashtra,India,West,Mumbai,Juhu,,,,mappls.com,beach,,place area 400049 uar8g7 appzdata mtkumdk2njg4kzcyljgyntu4nssxnstvqvi4rzcrkzi0mdawed,1
