No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Category
42,thane,1220000,12,31232.0,$0.59,4,62,https://www.tripadvisor.in/Attractions-g660976-Activities-Thane_Thane_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
43,burger king,1000000,35,2562.0,$0.25,2,48,https://www.tripadvisor.in/ShowUserReviews-g297654-d943375-r291316861-Burger_King-Pune_Pune_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
44,bars near me,1000000,11,24034.0,$0.16,6,44,https://www.tripadvisor.in/Restaurants-g12389092-zfg11776-Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Restaurant
45,ujjain,1220000,9,57218.0,$0.30,1,61,https://www.tripadvisor.in/Attraction_Review-g679024-d3605858-Reviews-Shree_Mahakaleshwar_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html,Unknown,Unknown,Unknown,Unknown
46,patna junction,823000,16,13786.0,$0,9,50,https://www.tripadvisor.in/AttractionsNear-g297592-d4144710-Patna_Junction_Station-Patna_Patna_District_Bihar.html,Unknown,Unknown,Unknown,Unknown
47,indore,1220000,12,18300.0,$0.17,1,61,https://www.tripadvisor.in/Tourism-g494941-Indore_Indore_District_Madhya_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
48,noida 62,1220000,42,2562.0,$0.11,5,20,https://www.tripadvisor.in/Attractions-g644043-Activities-Noida_Gautam_Buddha_Nagar_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
49,coimbatore,1000000,9,80398.0,$0.43,1,61,https://www.tripadvisor.in/Tourism-g297675-Coimbatore_Coimbatore_District_Tamil_Nadu-Vacations.html,Unknown,Unknown,Unknown,Unknown
50,gurugram,1220000,10,80398.0,$0.70,5,62,https://www.tripadvisor.in/Tourism-g297615-Gurugram_Gurgaon_Gurgaon_District_Haryana-Vacations.html,Unknown,Unknown,Unknown,Unknown
51,mumbai,1220000,12,41236.0,$0.31,1,52,https://www.tripadvisor.in/Tourism-g304554-Mumbai_Maharashtra-Vacations.html,Unknown,Unknown,Unknown,Unknown
52,mysore,1000000,9,80398.0,$0.73,3,76,https://www.tripadvisor.in/Attractions-g304553-Activities-Mysuru_Mysore_Mysore_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
53,faridabad,823000,17,11300.0,$0.04,4,62,https://www.tripadvisor.in/Attractions-g677469-Activities-Faridabad_Faridabad_District_Haryana.html,Unknown,Unknown,Unknown,Unknown
54,haryana faridabad,823000,14,11300.0,$0.04,2,48,https://www.tripadvisor.in/Attractions-g677469-Activities-Faridabad_Faridabad_District_Haryana.html,Unknown,Unknown,Unknown,Unknown
55,karnataka bangalore,1000000,37,2100.0,$0.13,1,72,https://www.tripadvisor.in/Tourism-g297628-Bengaluru_Bangalore_District_Karnataka-Vacations.html,Unknown,Unknown,Unknown,Unknown
56,howrah train station,1000000,51,2100.0,$0.04,4,25,https://www.tripadvisor.in/ShowUserReviews-g1234703-d12063574-r621704877-Howrah_Junction_Railway_Station-Howrah_Howrah_District_West_Bengal.html,Unknown,Unknown,Unknown,Unknown
57,udhagamandalam,1000000,9,33800.0,$0.14,1,61,https://www.tripadvisor.in/Attractions-g297679-Activities-Ooty_Udhagamandalam_The_Nilgiris_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
58,terminal 2 bom,823000,29,2100.0,$0.09,6,32,https://www.tripadvisor.in/Attraction_Review-g304554-d25409148-Reviews-Chhatrapati_Shivaji_Airport_Terminal-Mumbai_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
59,vrindavan in uttar pradesh,1000000,7,65900.0,$0.39,1,40,https://www.tripadvisor.in/Attractions-g951350-Activities-Vrindavan_Mathura_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
60,uttar pradesh varanasi,1000000,21,5600.0,$0.32,1,58,https://www.tripadvisor.in/Tourism-g297685-Varanasi_Varanasi_District_Uttar_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
61,park near me,823000,4,304000.0,$0.98,1,35,https://www.tripadvisor.in/Attractions-g297586-Activities-c57-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
62,old delhi junction,1220000,9,65900.0,$0,3,43,https://www.tripadvisor.in/Attraction_Review-g304551-d7299200-Reviews-Delhi_Junction_Railway_Station-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
63,indira nagar in bangalore,823000,11,25600.0,$0.31,7,37,https://www.tripadvisor.in/Attractions-g297628-Activities-zfn13087477-Bengaluru_Bangalore_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
64,hyderabad secunderabad railway station,1000000,37,2100.0,$0.08,4,39,https://www.tripadvisor.in/LocationPhotoDirectLink-g297586-i44577577-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
65,howrah station,1000000,37,2100.0,$0.21,5,49,https://www.tripadvisor.in/ShowUserReviews-g1234703-d12063574-r621704877-Howrah_Junction_Railway_Station-Howrah_Howrah_District_West_Bengal.html,Unknown,Unknown,Unknown,Unknown
66,howrah rail,1000000,62,2100.0,$0.05,4,23,https://www.tripadvisor.in/ShowUserReviews-g1234703-d12063574-r513391339-Howrah_Junction_Railway_Station-Howrah_Howrah_District_West_Bengal.html,Unknown,Unknown,Unknown,Unknown
67,krishna vijayawada,1000000,19,5900.0,$0.16,2,19,https://www.tripadvisor.in/Attraction_Review-g303876-d3207813-Reviews-Radha_Krishna_Temple-Vijayawada_Krishna_District_Andhra_Pradesh.html,Unknown,Unknown,Unknown,Unknown
68,kolkata wb,1000000,24,4300.0,$0.21,1,51,https://www.tripadvisor.in/Tourism-g304558-Kolkata_Calcutta_Kolkata_District_West_Bengal-Vacations.html,Unknown,Unknown,Unknown,Unknown
69,kashi varanasi,1000000,16,15000.0,$0.34,1,41,https://www.tripadvisor.in/Attraction_Review-g297685-d13859556-Reviews-Kashi_Vishwanath_Temple-Varanasi_Varanasi_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
70,madras chennai,823000,12,65900.0,$0.41,1,72,https://www.tripadvisor.in/Tourism-g304556-Chennai_Madras_Chennai_District_Tamil_Nadu-Vacations.html,Unknown,Unknown,Unknown,Unknown
71,delhi junction station,1000000,7,97300.0,$0.08,4,23,https://www.tripadvisor.in/Attraction_Review-g304551-d7299200-Reviews-Delhi_Junction_Railway_Station-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
72,vrindavan up,1000000,18,7500.0,$0.36,1,48,https://www.tripadvisor.in/Attractions-g951350-Activities-Vrindavan_Mathura_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
73,pune railway station,1000000,10,33800.0,$0.04,9,45,https://www.tripadvisor.in/Attraction_Review-g297654-d12558472-Reviews-Pune_Junction_Railway_Station-Pune_Pune_District_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
74,rishikesh in india,1000000,11,46900.0,$0.27,1,38,https://www.tripadvisor.in/Tourism-g580106-Rishikesh_Dehradun_District_Uttarakhand-Vacations.html,Unknown,Unknown,Unknown,Unknown
75,south india ooty,1000000,7,97300.0,$0.20,2,37,https://www.tripadvisor.in/Attractions-g297679-Activities-Ooty_Udhagamandalam_The_Nilgiris_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
76,gujarat gandhinagar,823000,14,19700.0,$0.10,3,41,https://www.tripadvisor.in/Attractions-g297609-Activities-Gandhinagar_Gandhinagar_District_Gujarat.html,Unknown,Unknown,Unknown,Unknown
77,dehradun,823000,9,46900.0,$0.69,3,61,https://www.tripadvisor.in/Attractions-g297687-Activities-Dehradun_Dehradun_District_Uttarakhand.html,Unknown,Unknown,Unknown,Unknown
78,connaught place,823000,8,46900.0,$0.93,5,49,https://www.tripadvisor.in/ShowUserReviews-g304551-d324103-r647274326-Connaught_Place-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
79,connaught in delhi,1000000,7,97300.0,$0.31,3,45,https://www.tripadvisor.in/Attraction_Review-g304551-d324103-Reviews-Connaught_Place-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
80,dominos,1000000,17,5900.0,$0.16,4,62,https://www.tripadvisor.in/Restaurant_Review-g297613-d8652774-Reviews-Domino_s-Vadodara_Vadodara_District_Gujarat.html,Unknown,Unknown,Unknown,Restaurant
81,delhi old delhi railway station,1000000,24,4300.0,$0.08,2,24,https://www.tripadvisor.in/Attraction_Review-g304551-d7299200-Reviews-Delhi_Junction_Railway_Station-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
82,tajmahal,1000000,29,2400.0,$0.76,8,50,https://www.tripadvisor.in/Attraction_Review-g297683-d24576776-Reviews-Tajmahal_Agra-Agra_Agra_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
83,old delhi railway,1220000,32,2100.0,$0.07,3,19,https://www.tripadvisor.in/Attraction_Review-g304551-d7299200-Reviews-Delhi_Junction_Railway_Station-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
84,kolkata,1000000,13,25600.0,$0.25,1,52,https://www.tripadvisor.in/Tourism-g304558-Kolkata_Calcutta_Kolkata_District_West_Bengal-Vacations.html,Unknown,Unknown,Unknown,Unknown
85,marine drive mumbai,40500,7,97300.0,$0.31,1,26,https://www.tripadvisor.in/Attraction_Review-g304554-d321437-Reviews-Marine_Drive-Mumbai_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
86,marine dr,1000000,6,97300.0,$0.10,5,32,https://www.tripadvisor.in/Attraction_Review-g304554-d321437-Reviews-Marine_Drive-Mumbai_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
87,ooty tamil nadu,823000,11,65900.0,$0.20,2,35,https://www.tripadvisor.in/Attractions-g297679-Activities-Ooty_Udhagamandalam_The_Nilgiris_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
88,ooty south india,823000,8,97300.0,$0.22,2,34,https://www.tripadvisor.in/Attractions-g297679-Activities-Ooty_Udhagamandalam_The_Nilgiris_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
89,ooty nilgiri,823000,9,97300.0,$0.24,2,48,https://www.tripadvisor.in/Attraction_Review-g297679-d3440016-Reviews-Nilgiri_Mountain_Railway-Ooty_Udhagamandalam_The_Nilgiris_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
90,delhi junction railway station,1000000,6,162000.0,$0,4,36,https://www.tripadvisor.in/Attraction_Review-g304551-d7299200-Reviews-Delhi_Junction_Railway_Station-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
91,indira nagar,823000,14,11300.0,$0.47,8,50,https://www.tripadvisor.in/Attractions-g297628-Activities-zfn13087477-Bengaluru_Bangalore_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
92,indian kolkata,1000000,11,46900.0,$0.25,1,46,https://www.tripadvisor.in/Tourism-g304558-Kolkata_Calcutta_Kolkata_District_West_Bengal-Vacations.html,Unknown,Unknown,Unknown,Unknown
93,banaras kashi,1000000,12,33800.0,$0.34,1,40,https://www.tripadvisor.in/Attractions-g297685-Activities-Varanasi_Varanasi_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
94,vijayawada,1000000,6,162000.0,$0.58,1,61,https://www.tripadvisor.in/Tourism-g303876-Vijayawada_Krishna_District_Andhra_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
95,veg cafe near me,1000000,7,65900.0,$0.23,10,32,https://www.tripadvisor.in/Restaurants-g304556-zfn13087587-zfz10665-Chennai_Madras_Chennai_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Restaurant
96,varanasi in uttar pradesh,1000000,12,46900.0,$0.20,1,42,https://www.tripadvisor.in/Tourism-g297685-Varanasi_Varanasi_District_Uttar_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
97,kolkata and kolkata,1000000,12,25600.0,$0.29,1,58,https://www.tripadvisor.in/Attractions-g304558-Activities-Kolkata_Calcutta_Kolkata_District_West_Bengal.html,Unknown,Unknown,Unknown,Unknown
98,mcdonald's nearest to me,1000000,12,19700.0,$0.03,4,46,https://www.tripadvisor.in/Restaurant_Review-g677469-d8052188-Reviews-McDonald_s-Faridabad_Faridabad_District_Haryana.html,Unknown,Unknown,Unknown,Restaurant
99,mall near me,1000000,6,304000.0,$0.31,5,44,https://www.tripadvisor.in/Attractions-g297586-Activities-c26-t143-Hyderabad_Hyderabad_District_Telangana.html,Unknown,Unknown,Unknown,Unknown
100,park close to me,823000,4,304000.0,$0.03,1,37,https://www.tripadvisor.in/Attractions-g644043-Activities-c57-t70-Noida_Gautam_Buddha_Nagar_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
101,ooty,823000,12,25600.0,$0.19,3,61,https://www.tripadvisor.in/Tourism-g297679-Ooty_Udhagamandalam_The_Nilgiris_District_Tamil_Nadu-Vacations.html,Unknown,Unknown,Unknown,Unknown
102,rishikesh,1000000,8,65900.0,$0.28,2,61,https://www.tripadvisor.in/Tourism-g580106-Rishikesh_Dehradun_District_Uttarakhand-Vacations.html,Unknown,Unknown,Unknown,Unknown
103,chennai madras,1000000,9,46900.0,$0.27,1,44,https://www.tripadvisor.in/Tourism-g304556-Chennai_Madras_Chennai_District_Tamil_Nadu-Vacations.html,Unknown,Unknown,Unknown,Unknown
104,calcutta and kolkata,1000000,18,5900.0,$0.29,1,46,https://www.tripadvisor.in/Tourism-g304558-Kolkata_Calcutta_Kolkata_District_West_Bengal-Vacations.html,Unknown,Unknown,Unknown,Unknown
105,delhi junction,1000000,6,162000.0,$0,4,49,https://www.tripadvisor.in/Attraction_Review-g304551-d7299200-Reviews-Delhi_Junction_Railway_Station-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
106,and kolkata,1000000,10,46900.0,$0.20,1,53,https://www.tripadvisor.in/Attractions-g304558-Activities-Kolkata_Calcutta_Kolkata_District_West_Bengal.html,Unknown,Unknown,Unknown,Unknown
107,wb kolkata,1000000,27,2400.0,$0.29,1,56,https://www.tripadvisor.in/Attractions-g304558-Activities-Kolkata_Calcutta_Kolkata_District_West_Bengal.html,Unknown,Unknown,Unknown,Unknown
108,vrindavan,1000000,11,33800.0,$0.25,2,61,https://www.tripadvisor.in/Tourism-g951350-Vrindavan_Mathura_District_Uttar_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
109,vadodara,1000000,12,46900.0,$0.33,1,61,https://www.tripadvisor.in/Tourism-g297613-Vadodara_Vadodara_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
110,taj mahal,1000000,29,2400.0,$0.70,7,50,https://www.tripadvisor.in/Attraction_Review-g297683-d25416853-Reviews-Taj_Mahal-Agra_Agra_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
111,malls near to me,1000000,6,162000.0,$0.04,8,28,https://www.tripadvisor.in/Attractions-g304553-Activities-c26-t143-Mysuru_Mysore_Mysore_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
112,near me mcdonald,1000000,28,2200.0,$0.03,3,29,https://www.tripadvisor.in/Restaurant_Review-g304551-d4313784-Reviews-McDonald_s-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Restaurant
113,park closest to me,1000000,6,97300.0,$0.02,2,19,https://www.tripadvisor.in/Attractions-g2140594-Activities-c57-Greater_Noida_Gautam_Buddha_Nagar_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
114,ooty in india,823000,10,97300.0,$0.27,2,53,https://www.tripadvisor.in/Attractions-g297679-Activities-Ooty_Udhagamandalam_The_Nilgiris_District_Tamil_Nadu.html,Unknown,Unknown,Unknown,Unknown
115,rishikesh city,1000000,9,65900.0,$0.20,2,48,https://www.tripadvisor.in/Tourism-g580106-Rishikesh_Dehradun_District_Uttarakhand-Vacations.html,Unknown,Unknown,Unknown,Unknown
116,gujarat gandhi nagar,823000,51,2100.0,$0.10,3,50,https://www.tripadvisor.in/Tourism-g297609-Gandhinagar_Gandhinagar_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
117,indian varanasi,1000000,11,33800.0,$0.30,1,34,https://www.tripadvisor.in/Tourism-g297685-Varanasi_Varanasi_District_Uttar_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
118,kashi varanasi banaras,1000000,13,15000.0,$0.34,1,34,https://www.tripadvisor.in/Attractions-g297685-Activities-Varanasi_Varanasi_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
119,garden city of india,1220000,22,5100.0,$0.19,1,16,https://www.tripadvisor.in/ShowUserReviews-g297628-d631367-r360330301-Lalbagh_Botanical_Garden-Bengaluru_Bangalore_District_Karnataka.html,Unknown,Unknown,Unknown,Unknown
120,baroda in india,1000000,11,33800.0,$0.10,1,29,https://www.tripadvisor.in/Tourism-g297613-Vadodara_Vadodara_District_Gujarat-Vacations.html,Unknown,Unknown,Unknown,Unknown
121,banaras uttar pradesh,1000000,10,65900.0,$0.32,1,51,https://www.tripadvisor.in/Attractions-g297685-Activities-Varanasi_Varanasi_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
122,uttar pradesh kashi,1000000,10,33800.0,$0.20,1,45,https://www.tripadvisor.in/Attractions-g297685-Activities-Varanasi_Varanasi_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
123,railway station old delhi,1000000,9,65900.0,$0.06,4,21,https://www.tripadvisor.in/Attraction_Review-g304551-d7299200-Reviews-Delhi_Junction_Railway_Station-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
124,mumbai marine drive,823000,8,65900.0,$0.28,11,46,https://www.tripadvisor.in/Attraction_Review-g304554-d321437-Reviews-Marine_Drive-Mumbai_Maharashtra.html,Unknown,Unknown,Unknown,Unknown
125,mathura,823000,10,25600.0,$0.26,1,61,https://www.tripadvisor.in/Tourism-g297688-Mathura_Mathura_District_Uttar_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
126,agra up india,1000000,10,46900.0,$0.23,1,45,https://www.tripadvisor.in/Tourism-g297683-Agra_Agra_District_Uttar_Pradesh-Vacations.html,Unknown,Unknown,Unknown,Unknown
127,banaras and varanasi,1000000,14,19700.0,$0.20,1,28,https://www.tripadvisor.in/Attractions-g297685-Activities-Varanasi_Varanasi_District_Uttar_Pradesh.html,Unknown,Unknown,Unknown,Unknown
128,chennai,1000000,11,46900.0,$0.42,2,61,https://www.tripadvisor.in/Tourism-g304556-Chennai_Madras_Chennai_District_Tamil_Nadu-Vacations.html,Unknown,Unknown,Unknown,Unknown
129,connaught place new delhi india,1000000,6,162000.0,$0.31,3,33,https://www.tripadvisor.in/Attraction_Review-g304551-d324103-Reviews-Connaught_Place-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
130,connaught place in delhi,1000000,4,162000.0,$0.31,3,27,https://www.tripadvisor.in/Attraction_Review-g304551-d324103-Reviews-Connaught_Place-New_Delhi_National_Capital_Territory_of_Delhi.html,Unknown,Unknown,Unknown,Unknown
