No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Area,Category,URL_Keyword,Unknown,Remaining_Url_Keywords,Priority Rank
14,metro chart delhi,823000,47,1728.0,$0.07,1,41,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,metro,,map,1
15,metro delhi map,823000,39,1728.0,$0.03,1,44,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,metro map,,,1
16,india delhi metro map,823000,47,1728.0,$0.08,1,45,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,metro map,,,1
17,ambience mall gurgaon,673000,40,1728.0,$1.07,10,46,https://magicpin.in/india/Gurgaon/Ambience-Mall/All/,Gurugram,,India,,Gurugram,,,ambience mall gurgaon,,all,1
18,delhi metro map,823000,38,1728.0,$0.01,1,42,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,metro map,,,1
19,delhi ncr metro map,823000,47,1728.0,$0.03,1,36,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,metro map,,,1
20,united fried chicken,673000,14,9299.0,$0.29,1,21,https://magicpin.in/Guntur/Srinivasa-Nagar-Colony/Restaurant/Ufc---United-Fried-Chicken/store/15602b8/,Guntur,,,,Guntur,,Restaurant,united fried chicken,,srinivasa nagar colony ufc store 15602b8,1
21,map metro,673000,97,1413.0,$0.01,1,47,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,map metro,,,1
22,adyar ananda bhavan a2b,550000,36,1413.0,$0.21,6,33,https://magicpin.in/Chennai/Anna-Nagar-East/Restaurant/A2b---Adyar-Ananda-Bhavan/store/88854/delivery/,Chennai,,,,Chennai,,Restaurant,adyar ananda bhavan a2b,,anna nagar store 88854 delivery,1
23,metro map,673000,48,1413.0,$0.14,1,47,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,metro map,,,1
24,koramangala,673000,34,1413.0,$0.67,6,62,https://magicpin.in/blog/category/Travel/what-do-koramangala-bangalores-coolest-neighborhood,,,,,Koramangala,Koramangala,Tourism,,,blog category what do bangalores coolest neighborhood,1
25,jio shop near me,673000,35,1413.0,$0.05,1,19,https://magicpin.in/Hyderabad/Isnapur/Electronics/Reliance-Jio-Store/store/15c8c81/?utm_source=aroundyou,Hyderabad,,,,Hyderabad,,,jio,,isnapur electronics reliance store store 15c8c81,1
26,bangalore orion mall,673000,36,1413.0,$0.11,5,44,https://magicpin.in/@orion-mall-brigade-gateway-bangalore,Bengaluru,,,,Bengaluru,,,bangalore orion mall,,brigade gateway,1
27,sarojini nagar market new delhi,550000,31,1155.0,$0.04,1,19,https://magicpin.in/blog/category/fashion/sarojini-nagar-market-delhi-guide,Delhi,Delhi,India,North,Delhi,,,sarojini nagar market,,blog category fashion guide,1
28,rajiv chowk in delhi,550000,46,1155.0,$0.12,4,28,"https://magicpin.in/New-Delhi/Rajiv-Chowk,-Connaught-Place-(Cp)/Other/Rajiv-Chowk-Metro-Station/store/1a48644/",New Delhi,Delhi,India,North,New Delhi,Connaught Place,,rajiv chowk,,cp,1
29,majestic ksrtc bus terminal 2a,550000,17,3080.0,$0.11,5,22,https://magicpin.in/Bangalore/Majestic/Other/Majestic-Ksrtc-Bus-Terminal-2A/store/1b11c96,Bengaluru,,,,Bengaluru,,,majestic ksrtc bus terminal 2a,,bangalore other majestic store 1b11c96,1
30,delhi rajiv chowk,550000,37,1155.0,$0.12,4,20,"https://magicpin.in/New-Delhi/Rajiv-Chowk,-Connaught-Place-(Cp)/Other/Rajiv-Chowk-Metro-Station/store/1a48644/",New Delhi,Delhi,India,North,New Delhi,Connaught Place,,rajiv chowk,,cp,1
31,vashi,450000,111,1155.0,$0.11,5,62,https://magicpin.in/Navi-Mumbai/Turbhe/Electronics/Vashi-Integrated-Solutions-Limited/store/774c31/,Navi Mumbai,,,,Navi Mumbai,,,vashi,,turbhe electronics integrated solutions limited store 774c31,1
32,sarojini market in new delhi,550000,33,1155.0,$0.03,1,26,https://magicpin.in/blog/category/fashion/sarojini-nagar-market-delhi-guide,Delhi,Delhi,India,North,Delhi,,,sarojini market,,blog category fashion nagar guide,1
33,pizza,550000,46,1155.0,$0.14,7,63,https://magicpin.in/india/Noida/Restaurant/Restaurant/Pizza/,Noida,,India,,Noida,,Restaurant,pizza,,,1
34,dlf mall noida,550000,34,1155.0,$0.21,5,44,https://magicpin.in/@dlf-mall-of-india-noida,Noida,,India,,Noida,,,dlf mall,,,1
35,sarojini nagar market in delhi,550000,24,1815.0,$0,1,34,https://magicpin.in/blog/india/delhi/Travel/sarojini-nagar-market-timing-metro-speciality,Delhi,Delhi,India,North,Delhi,,Tourism,sarojini nagar market,,blog timing metro speciality,1
36,dlf mall of noida,550000,28,1155.0,$0.25,5,35,https://magicpin.in/@dlf-mall-of-india-noida,Noida,,India,,Noida,,,dlf mall,,,1
37,decathlon near me,450000,9,18590.0,$0.13,8,45,https://magicpin.in/New-Delhi/attribute/Decathlon2/,New Delhi,Delhi,India,North,New Delhi,,,,,attribute decathlon2,1
38,pharmacy close to me,450000,9,18590.0,$0.12,7,16,https://magicpin.in/india/Visakhapatnam/Visakhapatnam/Pharmacy/,Visakhapatnam,,India,,Visakhapatnam,,,pharmacy,,,1
39,sarojini nagar delhi market,550000,23,1815.0,$0.19,1,39,https://magicpin.in/blog/india/delhi/Travel/sarojini-nagar-market-timing-metro-speciality,Delhi,Delhi,India,North,Delhi,,Tourism,sarojini nagar market,,blog timing metro speciality,1
40,iffco chowk gurgaon,550000,40,1155.0,$0.61,5,44,https://magicpin.in/Gurgaon/Iffco-Chowk-Metro-Station/Other/Iffco-Chowk/store/20033a2/,Gurugram,,,,Gurugram,,,iffco chowk gurgaon,,metro station other iffco chowk store 20033a2,1
41,sarojini market of delhi,550000,33,1155.0,$0.09,1,30,https://magicpin.in/blog/india/delhi/Travel/sarojini-nagar-market-timing-metro-speciality,Delhi,Delhi,India,North,Delhi,,Tourism,sarojini market,,blog nagar timing metro speciality,1
42,rajiv chowk station,550000,31,1155.0,$0.29,6,44,"https://magicpin.in/New-Delhi/Rajiv-Chowk,-Connaught-Place-(Cp)/Other/Rajiv-Chowk-Metro-Station/store/1a48644/",New Delhi,Delhi,India,North,New Delhi,Connaught Place,,rajiv chowk,,cp,1
43,third wave coffee,550000,20,3245.0,$0.33,6,44,https://magicpin.in/Bangalore/Restaurant/brands/6636/Third-Wave-Coffee-Roasters/,Bengaluru,,,,Bengaluru,,Restaurant,third wave coffee,,bangalore brands 6636 roasters,1
44,naturals ice cream,368000,21,2805.0,$0.09,5,44,https://magicpin.in/Mumbai/R-Mall/Restaurant/Natural-Ice-Cream/store/291ba0/,Mumbai,,,,Mumbai,,Restaurant,ice cream,,mall natural store 291ba0,1
45,lajpat nagar delhi,550000,33,1155.0,$0.16,4,44,https://magicpin.in/blog/india/delhi/Travel/lajpat-nagar-market-guide,Delhi,Delhi,India,North,Delhi,Lajpat Nagar,Tourism,,,blog market guide,1
46,lulu mall kochi kerala,450000,37,945.0,$0.04,5,44,https://magicpin.in/india/Kochi/Lulu-Mall/All/,Kochi,,India,,Kochi,,,lulu mall,,all,1
47,croma near me,368000,13,8865.0,$0.03,12,46,https://magicpin.in/Ahmedabad/C-G-Road/Electronics/Croma/store/625b2b/,Ahmedabad,,,,Ahmedabad,,,croma,,road electronics store 625b2b,1
48,indian karnal,450000,35,945.0,$0.13,1,21,https://magicpin.in/india/Karnal/All/Restaurant/North-Indian/?feat=SEATING_AVAILABLE,,,India,,,,Restaurant,indian karnal,,all,1
49,cut and style hair,450000,23,1935.0,$0.45,1,30,https://magicpin.in/Mumbai/Kurla/Beauty/Cut-and-Style/store/64c96/,Mumbai,,,,Mumbai,,,cut style,,kurla beauty store 64c96,1
50,select citywalk new delhi delhi,368000,21,1214.0,$0.07,4,29,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,,,select,,city walk,1
51,hairdressing salon near me,368000,15,4158.0,$0.15,26,20,https://magicpin.in/india/Pune/Pimpri-Chinchwad/Beauty/Haircut/,Pune,,India,,Pune,,,,,pimpri chinchwad beauty haircut,1
52,hair beauty shop near me,368000,15,5520.0,$0.15,26,36,https://magicpin.in/india/Pune/Pimpri-Chinchwad/Beauty/?feat=FEMALE,Pune,,India,,Pune,,,beauty,,pimpri chinchwad,1
53,select citywalk mall delhi,368000,25,883.0,$0.11,5,24,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,,,select,,city walk,1
54,hair salon near me,368000,88,772.0,$0.31,17,40,https://magicpin.in/blog/salons-in-bangalore,Bengaluru,,,,Bengaluru,,,,,blog salons bangalore,1
55,bangalore u b city,368000,26,846.0,$0.14,5,26,https://magicpin.in/@ub-city-mall-bangalore,Bengaluru,,,,Bengaluru,,,bangalore city,,ub mall,1
56,starbucks near me,301000,13,5520.0,$0.71,3,43,https://magicpin.in/@starbucks-near-me-in-nagpur,Nagpur,,,,Nagpur,,,starbucks me,,,1
57,bandra bkc,301000,52,772.0,$0.33,7,50,https://magicpin.in/india/Mumbai/Bandra-Kurla-Complex/,Mumbai,,India,,Mumbai,Bandra,,,,kurla complex,1
58,star box near me,368000,32,772.0,$0.05,3,38,https://magicpin.in/New-Delhi/Restaurant/brands/7832/Starbucks/,New Delhi,Delhi,India,North,New Delhi,,Restaurant,,,brands 7832 starbucks,1
59,church street,301000,34,772.0,$0.01,15,52,https://magicpin.in/india/Bangalore/Church-Street/,Bengaluru,,India,,Bengaluru,,,church street,,bangalore,1
60,ub city,301000,37,772.0,$0,7,50,https://magicpin.in/@ub-city-mall-bangalore,Bengaluru,,,,Bengaluru,,,ub city,,mall bangalore,1
61,nexus mall koramangala,301000,27,772.0,$0.20,15,47,https://magicpin.in/@nexus-koramangala-mall-bangalore,Bengaluru,,,,Bengaluru,Koramangala,,nexus mall,,bangalore,1
62,max fashion,368000,19,2060.0,$0.04,88,56,https://magicpin.in/Chennai/Grocery/brands/7821/Max-Fashion/,Chennai,,,,Chennai,,,max fashion,,grocery brands 7821,1
63,haircut salons near me,368000,16,4158.0,$0.15,26,20,https://magicpin.in/india/Pune/Pimpri-Chinchwad/Beauty/Haircut/,Pune,,India,,Pune,,,haircut,,pimpri chinchwad beauty,1
64,select city walk new delhi,368000,35,772.0,$0.11,5,31,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,,,select city walk,,,1
65,phoenix mall of the millennium,368000,23,883.0,$0.10,6,36,https://magicpin.in/india/Pune/Phoenix-Mall-Of-The-Millennium-Wakad/,Pune,,India,,Pune,,,phoenix mall millennium,,wakad,1
66,gift shops near me,368000,10,9420.0,$0.19,17,40,https://magicpin.in/india/Hyderabad/Kondapur/Gift-Store/,Hyderabad,,India,,Hyderabad,,,gift,,kondapur store,1
67,gift shops close to me,368000,7,35806.0,$0.10,22,21,https://magicpin.in/india/Greater-Noida/All/Gift-Store/,Greater Noida,,India,,Greater Noida,,,gift,,all store,1
68,khan market,368000,40,772.0,$0.03,1,31,https://magicpin.in/india/New-Delhi/Khan-Market/,New Delhi,Delhi,India,North,New Delhi,,,khan market,,,1
69,select citywalk new delhi,368000,23,993.0,$0.11,5,25,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,,,select,,city walk,1
70,fitness clubs near me,368000,25,883.0,$0.12,12,33,https://magicpin.in/india/Indi/Indi/Fitness/?filter=near_me,,,India,,,,,fitness,,indi indi,1
71,select city walk,368000,27,846.0,$0,9,45,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,,,select city walk,,,1
72,swimming pool,368000,21,2171.0,$0.21,21,54,https://magicpin.in/india/New-Delhi/All/Swimming-Pools/,New Delhi,Delhi,India,North,New Delhi,,,swimming,,all pools,1
73,clothing stores near me,301000,12,5929.0,$0.42,20,41,https://magicpin.in/india/Noida/All/Fashion/,Noida,,India,,Noida,,,,,all fashion,1
74,nexus shantiniketan,246000,18,1535.0,$0.90,15,52,https://magicpin.in/@nexus-shantiniketan-mall-bangalore,Bengaluru,,,,Bengaluru,,,nexus shantiniketan,,mall bangalore,1
75,quilon kerala,246000,84,632.0,$0.43,1,37,https://magicpin.in/Kollam/Kollam/Restaurant/Quilon-Kitchen/store/341097/,Kollam,,,,Kollam,,Restaurant,quilon,,kitchen store 341097,1
76,mantri square mall bangalore,301000,49,632.0,$0.08,5,28,https://magicpin.in/Bangalore/Mantri-Square-Mall/Beauty/Mantri-Square-Mall/store/18150ca,Bengaluru,,,,Bengaluru,,,mantri square mall bangalore,,beauty mantri square mall store 18150ca,1
77,delhi pitampura,301000,40,632.0,$0.15,3,33,https://magicpin.in/@pitampura_d-block-saraswati-vihar_new-delhi,New Delhi,Delhi,India,North,New Delhi,,,pitampura,,block saraswati vihar,1
78,clothes shopping stores near me,301000,11,7705.0,$0.13,28,15,https://magicpin.in/india/Greater-Noida/All/Fashion/,Greater Noida,,India,,Greater Noida,,,,,all fashion,1
79,super market close to me,301000,8,19835.0,$0.27,3,36,https://magicpin.in/india/Ranchi/All/Supermarket/,Ranchi,,India,,Ranchi,,,,,all supermarket,1
80,dance classes near me,301000,18,1775.0,$0.42,5,36,https://magicpin.in/india/Noida/All/Dance-Class/,Noida,,India,,Noida,,,dance,,all class,1
81,clothing stores close to me,301000,19,1685.0,$0.11,30,15,https://magicpin.in/india/Hyderabad/Kukatpally/Fashion/,Hyderabad,,India,,Hyderabad,,,,,kukatpally fashion,1
82,city centre mall,246000,26,722.0,$0.04,7,45,https://magicpin.in/india/Patna/City-Centre-Mall/All/,Patna,,India,,Patna,,,city centre mall,,all,1
83,sukhdev dhaba,301000,38,632.0,$0.14,1,48,https://magicpin.in/Sonipat/Murthal/Restaurant/Amrik-Sukhdev/store/a2062/menu,,,,,,,Restaurant,sukhdev,,sonipat murthal amrik store a2062 menu,1
84,delhi india metro,301000,75,632.0,$0.01,1,55,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,,,metro,,map,1
85,gurgaon huda city center,301000,25,1294.0,$0.08,6,35,https://magicpin.in/india/Gurgaon/Huda-City-Center/,Gurugram,,India,,Gurugram,,,gurgaon huda city center,,,1
86,supermarket close to me,301000,11,7705.0,$0.21,4,25,https://magicpin.in/india/Visakhapatnam/All/Grocery/,Visakhapatnam,,India,,Visakhapatnam,,,,,all grocery,1
87,matka chennai,301000,9,4515.0,$0,1,11,https://magicpin.in/Chennai/Chromepet/Restaurant/Itminaan-Matka-Biryani---Slow-Cooked/store/1580ab5/,Chennai,,,,Chennai,,Restaurant,matka,,chromepet itminaan biryani slow cooked store 1580ab5,1
88,florist shop near me,301000,28,662.0,$0.21,27,43,https://magicpin.in/india/Mangalore/Surathkal/Florist/,Mangaluru,,India,,Mangaluru,,,florist,,mangalore surathkal,1
89,elante mall,246000,34,632.0,$0.04,5,49,https://magicpin.in/Chandigarh/Nexus-Elante-Mall/Fashion/And/store/85c815/,Chandigarh,Chandigarh,India,North,Chandigarh,,,elante mall,,nexus fashion store 85c815,1
90,crawford market mumbai,12100,15,3401.0,$0,1,16,https://magicpin.in/blog/india/mumbai/Travel/crawford-market-mumbai,Mumbai,,India,,Mumbai,,Tourism,crawford market,,blog,1
91,massage republic,301000,25,632.0,$0.75,1,23,https://magicpin.in/india/Coimbatore/Fun-Republic-Mall/Beauty/Body-Massage/,Coimbatore,,India,,Coimbatore,,,massage republic,,fun mall beauty body,1
92,cinemall pvr,301000,19,1294.0,$0.02,6,20,https://magicpin.in/Kota/City-Mall/Entertainment/Pvr-Cinemall-Kota/store/20280cb/,Kota,,,,Kota,,,cinemall pvr,,city mall entertainment store 20280cb,1
93,amazon mini tv,450000,6,10173.0,$0.27,18,48,https://magicpin.in/blog/category/entertainment/new-web-series-amazon-minitv,,,,,,,,amazon,,blog category entertainment new web series minitv,1
94,crawford market india,301000,30,632.0,$0.05,1,19,https://magicpin.in/blog/category/Travel/crawford-market-mumbai,Mumbai,,,,Mumbai,,Tourism,crawford market,,blog category,1
95,crawford market in mumbai,12100,17,2257.0,$0,1,8,https://magicpin.in/blog/india/mumbai/Travel/crawford-market-mumbai,Mumbai,,India,,Mumbai,,Tourism,crawford market,,blog,1
96,commercial street,301000,13,4515.0,$0.83,9,50,https://magicpin.in/blog/category/Travel/commercial-street-banglore,,,,,,,Tourism,commercial street,,blog category banglore,1
97,supermarkets close to me,301000,6,29287.0,$0.27,3,32,https://magicpin.in/india/Ranchi/All/Supermarket/,Ranchi,,India,,Ranchi,,,,,all supermarket,1
98,dance studios close to me,301000,9,19835.0,$0.06,7,20,https://magicpin.in/india/Greater-Noida/All/Dance-Class/,Greater Noida,,India,,Greater Noida,,,dance,,all class,1
99,grocery store,368000,17,2739.0,$0.36,1,48,https://magicpin.in/india/Jaipur/All/Grocery/,Jaipur,,India,,Jaipur,,,grocery,,all,1
100,amrik sukhdev,301000,28,722.0,$0.11,1,47,https://magicpin.in/Sonipat/Murthal/Restaurant/Amrik-Sukhdev/store/a2062/menu/,,,,,,,Restaurant,amrik sukhdev,,sonipat murthal store a2062 menu,1
101,liquor shop near me,301000,28,632.0,$0,1,34,https://magicpin.in/india/Greater-Noida/All/Liquor-Store/,Greater Noida,,India,,Greater Noida,,,liquor,,all store,1
102,las vegas mall shopping,301000,17,2739.0,$0.44,5,40,https://magicpin.in/@vegas-mall-delhi,Delhi,Delhi,India,North,Delhi,,,vegas mall,,,1
103,pharmacy,301000,50,632.0,$0.14,9,63,https://magicpin.in/india/Kolkata/All/Pharmacy/,Kolkata,,India,,Kolkata,,,pharmacy,,all,1
104,clothing store near me,301000,28,692.0,$0.42,20,41,https://magicpin.in/india/Noida/All/Fashion/,Noida,,India,,Noida,,,,,all fashion,1
105,phoenix palladium,246000,30,632.0,$0.02,8,50,https://magicpin.in/@phoenix-palladium-mall-mumbai,Mumbai,,,,Mumbai,,,phoenix palladium,,mall,1
106,apparel shopping near me,301000,15,2739.0,$0.13,28,15,https://magicpin.in/india/Noida/All/Fashion/,Noida,,India,,Noida,,,,,all fashion,1
107,dance lessons near me,301000,29,632.0,$0.30,5,36,https://magicpin.in/india/Secunderabad/All/Dance-Class/,Secunderabad,,India,,Secunderabad,,,dance,,all class,1
108,dance class near me,301000,11,7705.0,$0.30,5,36,https://magicpin.in/india/Secunderabad/All/Dance-Class/,Secunderabad,,India,,Secunderabad,,,dance class,,all,1
109,grocery stores and,301000,20,1685.0,$0.18,1,34,https://magicpin.in/india/New-Delhi/All/Grocery/,New Delhi,Delhi,India,North,New Delhi,,,grocery,,all,1
110,grocery store and,301000,19,1775.0,$0.19,1,64,https://magicpin.in/india/Jaipur/All/Grocery/,Jaipur,,India,,Jaipur,,,grocery,,all,1
111,dtdc near me,301000,15,3401.0,$0.05,4,44,https://magicpin.in/Bhopal/Arera-Colony/Other/Dtdc-Courier-Domestic-And-International-Services/store/110b846/?utm_source=aroundyou,Bhopal,,,,Bhopal,,,dtdc,,arera colony other courier domestic international services store 110b846,1
112,bata near me,301000,12,4515.0,$0.06,13,46,https://magicpin.in/Amritsar/Fashion/brands/7860/Bata/,Amritsar,,,,Amritsar,,,bata,,fashion brands 7860,1
113,shoppers stop,368000,37,632.0,$0.40,86,73,https://magicpin.in/Navi-Mumbai/Fashion/brands/7761/Shoppers-Stop/,Navi Mumbai,,,,Navi Mumbai,,,shoppers stop,,fashion brands 7761,1
114,mojo pizza 2x toppings,246000,13,3690.0,$0.15,1,21,https://magicpin.in/New-Delhi/Rajinder-Nagar/Restaurant/Mojo-Pizza---2X-Toppings/store/586963/reviews/,New Delhi,Delhi,India,North,New Delhi,,Restaurant,mojo pizza 2x toppings,,rajinder nagar store 586963,1
115,metro map of bangalore,246000,54,516.0,$0.02,1,27,https://magicpin.in/metro/map/bangalore,Bengaluru,,,,Bengaluru,,,metro map bangalore,,,1
116,photoshoot shop,246000,23,1057.0,$0.78,27,35,https://magicpin.in/india/Pune/Pimpri/Photo-Studio/,Pune,,India,,Pune,,,,,pimpri photo studio,1
117,momo wow,246000,37,516.0,$0.14,2,38,https://magicpin.in/Chennai/Teynampet/Restaurant/Wow!-Momo/store/465737/delivery/,Chennai,,,,Chennai,,Restaurant,momo wow,,teynampet store 465737 delivery,1
118,metro rail map bangalore,246000,60,516.0,$0.02,1,27,https://magicpin.in/metro/map/bangalore,Bengaluru,,,,Bengaluru,,,metro map bangalore,,,1
119,cyber hub dlf cyber city,246000,28,565.0,$0.04,5,39,https://magicpin.in/blog/category/food-and-beverage/what-to-do-at-dlf-cyber-hub-gurgaon,Gurugram,,,,Gurugram,,Restaurant,cyber hub dlf,,blog category beverage what to do at gurgaon,1
120,breakfast near me,201000,19,1377.0,$0.36,8,45,https://magicpin.in/india/Secunderabad/All/Restaurant/-Breakfast/,Secunderabad,,India,,Secunderabad,,Restaurant,breakfast,,all,1
121,yoga classes near me,246000,24,664.0,$0.23,14,39,https://magicpin.in/india/Visakhapatnam/Madhurawada/Yoga-Class/,Visakhapatnam,,India,,Visakhapatnam,,,yoga,,madhurawada class,1
122,wow momo,201000,39,516.0,$0.28,3,48,https://magicpin.in/Kolkata/Restaurant/brands/7828/Wow!-Momo/,Kolkata,,,,Kolkata,,Restaurant,wow momo,,brands 7828,1
123,the magnolia bakery,246000,22,1057.0,$0.11,5,40,https://magicpin.in/Bangalore/Indiranagar/Restaurant/Magnolia-Bakery/store/372498/menu/,Bengaluru,,,,Bengaluru,Indiranagar,Restaurant,magnolia bakery,,bangalore store 372498 menu,1
124,hotel fountain,246000,40,516.0,$0.48,4,49,https://magicpin.in/Thane/Mira-Road/Restaurant/Hotel-Fountain/store/2aa50/photos,Thane,,,,Thane,,Restaurant,hotel fountain,,mira road store 2aa50 photos,1
125,ambience mall vasant kunj,201000,26,541.0,$0.62,8,37,https://magicpin.in/@ambience-mall-delhi,Delhi,Delhi,India,North,Delhi,,,ambience mall,,,1
126,ambience mall delhi,246000,40,516.0,$0,8,45,https://magicpin.in/@ambience-mall-delhi,Delhi,Delhi,India,North,Delhi,,,ambience mall,,,1
127,new delhi bazar,201000,16,1254.0,$0,1,42,https://magicpin.in/New-Delhi/Batla-House/Electronics/Delhi-Bazar/store/15b1b58/,New Delhi,Delhi,India,North,New Delhi,,,bazar,,batla house electronics store 15b1b58,1
128,cyber hub in gurugram,246000,32,516.0,$0.05,5,40,https://magicpin.in/@dlf-cyberhub-gurgaon,Gurugram,,,,Gurugram,,,,,dlf cyberhub gurgaon,1
129,ambience vasant kunj,246000,20,1057.0,$0.49,4,44,https://magicpin.in/@ambience-mall-delhi,Delhi,Delhi,India,North,Delhi,,,ambience,,mall,1
130,titan world,246000,38,516.0,$0.15,8,50,"https://magicpin.in/Chennai/Phoenix-Market-City/Fashion/Titan-World-Indira-Gandhi-Nagar,-Chennai/store/1896bb0/",Chennai,,,,Chennai,,,titan world,,phoenix market city fashion indira gandhi nagar store 1896bb0,1
131,thane viviana mall,246000,53,516.0,$0.12,5,22,https://magicpin.in/Thane/Viviana-Mall/Other/Viviana-Mall/store/16b4379/,Thane,,,,Thane,,,viviana mall,,other viviana mall store 16b4379,1
132,ambience mall delhi vasant kunj,246000,40,516.0,$0.20,7,24,https://magicpin.in/@ambience-mall-delhi,Delhi,Delhi,India,North,Delhi,,,ambience mall,,,1
133,pankaj chain,301000,25,516.0,$1.03,1,27,https://magicpin.in/Kanpur/Barra/Fashion/Pankaj-Chain-And-Jewellers/store/1c621a/,Kanpur,,,,Kanpur,,,pankaj chain,,barra fashion jewellers store 1c621a,1
134,restaurant with bar near me,246000,15,3690.0,$0.06,18,23,https://magicpin.in/india/Secunderabad/All/Restaurant/?feat=SERVES_ALCOHOL,Secunderabad,,India,,Secunderabad,,Restaurant,,,all,1
135,ice cream near me,201000,47,516.0,$0.36,5,36,https://magicpin.in/india/Howrah/All/Restaurant/Ice-Cream/,,,India,,,,Restaurant,ice cream,,howrah all,1
136,beer shop near me,246000,11,4846.0,$0,1,34,https://magicpin.in/New-Delhi/Restaurant/brands/7548/Wine-And-Beer-Shop/,New Delhi,Delhi,India,North,New Delhi,,Restaurant,beer shop,,brands 7548 wine,1
137,cyber hub,246000,38,516.0,$0,6,49,https://magicpin.in/india/Gurgaon/Cyber-Hub/,Gurugram,,India,,Gurugram,,,cyber hub,,gurgaon,1
138,yoga clubs near me,246000,11,6297.0,$0.14,12,26,https://magicpin.in/india/Pune/Pimpri/Yoga-Class/,Pune,,India,,Pune,,,yoga,,pimpri class,1
139,palladium ahmedabad,201000,19,1057.0,$0,14,31,https://magicpin.in/india/Ahmedabad/Palladium-Mall/Fashion/,Ahmedabad,,India,,Ahmedabad,,,palladium,,mall fashion,1
