No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank
70,fitness clubs near me,368000,25,883,$0.12,12,33,https://magicpin.in/india/Indi/Indi/Fitness/?filter=near_me,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
71,select city walk,368000,27,846,$0,9,45,https://magicpin.in/@select-city-walk-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
72,swimming pool,368000,21,2171,$0.21,21,54,https://magicpin.in/india/New-Delhi/All/Swimming-Pools/,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
73,clothing stores near me,301000,12,5929,$0.42,20,41,https://magicpin.in/india/Noida/All/Fashion/,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
74,nexus shantiniketan,246000,18,1535,$0.90,15,52,https://magicpin.in/@nexus-shantiniketan-mall-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
75,quilon kerala,246000,84,632,$0.43,1,37,https://magicpin.in/Kollam/Kollam/Restaurant/Quilon-Kitchen/store/341097/,Kollam,Unknown,Unknown,Unknown,Kollam,Restaurant,,,,1
76,mantri square mall bangalore,301000,49,632,$0.08,5,28,https://magicpin.in/Bangalore/Mantri-Square-Mall/Beauty/Mantri-Square-Mall/store/18150ca,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
77,delhi pitampura,301000,40,632,$0.15,3,33,https://magicpin.in/@pitampura_d-block-saraswati-vihar_new-delhi,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
78,clothes shopping stores near me,301000,11,7705,$0.13,28,15,https://magicpin.in/india/Greater-Noida/All/Fashion/,Greater Noida,Unknown,Unknown,Unknown,Greater Noida,Unknown,,,,1
79,super market close to me,301000,8,19835,$0.27,3,36,https://magicpin.in/india/Ranchi/All/Supermarket/,Ranchi,Unknown,Unknown,Unknown,Ranchi,Unknown,,,,1
80,dance classes near me,301000,18,1775,$0.42,5,36,https://magicpin.in/india/Noida/All/Dance-Class/,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
81,clothing stores close to me,301000,19,1685,$0.11,30,15,https://magicpin.in/india/Hyderabad/Kukatpally/Fashion/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
82,city centre mall,246000,26,722,$0.04,7,45,https://magicpin.in/india/Patna/City-Centre-Mall/All/,Patna,Unknown,Unknown,Unknown,Patna,Unknown,,,,1
83,sukhdev dhaba,301000,38,632,$0.14,1,48,https://magicpin.in/Sonipat/Murthal/Restaurant/Amrik-Sukhdev/store/a2062/menu,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant,,,,1
84,delhi india metro,301000,75,632,$0.01,1,55,https://magicpin.in/metro/map/delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
85,gurgaon huda city center,301000,25,1294,$0.08,6,35,https://magicpin.in/india/Gurgaon/Huda-City-Center/,Gurugram,Unknown,Unknown,Unknown,Gurugram,Unknown,,,,1
86,supermarket close to me,301000,11,7705,$0.21,4,25,https://magicpin.in/india/Visakhapatnam/All/Grocery/,Visakhapatnam,Unknown,Unknown,Unknown,Visakhapatnam,Unknown,,,,1
87,matka chennai,301000,9,4515,$0,1,11,https://magicpin.in/Chennai/Chromepet/Restaurant/Itminaan-Matka-Biryani---Slow-Cooked/store/1580ab5/,Chennai,Unknown,Unknown,Unknown,Chennai,Restaurant,,,,1
88,florist shop near me,301000,28,662,$0.21,27,43,https://magicpin.in/india/Mangalore/Surathkal/Florist/,Mangaluru,Unknown,Unknown,Unknown,Mangaluru,Unknown,,,,1
89,elante mall,246000,34,632,$0.04,5,49,https://magicpin.in/Chandigarh/Nexus-Elante-Mall/Fashion/And/store/85c815/,Unknown,Chandigarh,India,North,Unknown,Unknown,,,,1
90,crawford market mumbai,12100,15,3401,$0,1,16,https://magicpin.in/blog/india/mumbai/Travel/crawford-market-mumbai,Mumbai,Unknown,Unknown,Unknown,Mumbai,Tourism,,,,1
91,massage republic,301000,25,632,$0.75,1,23,https://magicpin.in/india/Coimbatore/Fun-Republic-Mall/Beauty/Body-Massage/,Coimbatore,Unknown,Unknown,Unknown,Coimbatore,Unknown,,,,1
92,cinemall pvr,301000,19,1294,$0.02,6,20,https://magicpin.in/Kota/City-Mall/Entertainment/Pvr-Cinemall-Kota/store/20280cb/,Kota,Unknown,Unknown,Unknown,Kota,Unknown,,,,1
93,amazon mini tv,450000,6,10173,$0.27,18,48,https://magicpin.in/blog/category/entertainment/new-web-series-amazon-minitv,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
94,crawford market india,301000,30,632,$0.05,1,19,https://magicpin.in/blog/category/Travel/crawford-market-mumbai,Mumbai,Unknown,Unknown,Unknown,Mumbai,Tourism,,,,1
95,crawford market in mumbai,12100,17,2257,$0,1,8,https://magicpin.in/blog/india/mumbai/Travel/crawford-market-mumbai,Mumbai,Unknown,Unknown,Unknown,Mumbai,Tourism,,,,1
96,commercial street,301000,13,4515,$0.83,9,50,https://magicpin.in/blog/category/Travel/commercial-street-banglore,Unknown,Unknown,Unknown,Unknown,Unknown,Tourism,,,,1
97,supermarkets close to me,301000,6,29287,$0.27,3,32,https://magicpin.in/india/Ranchi/All/Supermarket/,Ranchi,Unknown,Unknown,Unknown,Ranchi,Unknown,,,,1
98,dance studios close to me,301000,9,19835,$0.06,7,20,https://magicpin.in/india/Greater-Noida/All/Dance-Class/,Greater Noida,Unknown,Unknown,Unknown,Greater Noida,Unknown,,,,1
99,grocery store,368000,17,2739,$0.36,1,48,https://magicpin.in/india/Jaipur/All/Grocery/,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown,,,,1
100,amrik sukhdev,301000,28,722,$0.11,1,47,https://magicpin.in/Sonipat/Murthal/Restaurant/Amrik-Sukhdev/store/a2062/menu/,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant,,,,1
101,liquor shop near me,301000,28,632,$0,1,34,https://magicpin.in/india/Greater-Noida/All/Liquor-Store/,Greater Noida,Unknown,Unknown,Unknown,Greater Noida,Unknown,,,,1
102,las vegas mall shopping,301000,17,2739,$0.44,5,40,https://magicpin.in/@vegas-mall-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
103,pharmacy,301000,50,632,$0.14,9,63,https://magicpin.in/india/Kolkata/All/Pharmacy/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
104,clothing store near me,301000,28,692,$0.42,20,41,https://magicpin.in/india/Noida/All/Fashion/,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
105,phoenix palladium,246000,30,632,$0.02,8,50,https://magicpin.in/@phoenix-palladium-mall-mumbai,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
106,apparel shopping near me,301000,15,2739,$0.13,28,15,https://magicpin.in/india/Noida/All/Fashion/,Noida,Unknown,Unknown,Unknown,Noida,Unknown,,,,1
107,dance lessons near me,301000,29,632,$0.30,5,36,https://magicpin.in/india/Secunderabad/All/Dance-Class/,Secunderabad,Unknown,Unknown,Unknown,Secunderabad,Unknown,,,,1
108,dance class near me,301000,11,7705,$0.30,5,36,https://magicpin.in/india/Secunderabad/All/Dance-Class/,Secunderabad,Unknown,Unknown,Unknown,Secunderabad,Unknown,,,,1
109,grocery stores and,301000,20,1685,$0.18,1,34,https://magicpin.in/india/New-Delhi/All/Grocery/,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
110,grocery store and,301000,19,1775,$0.19,1,64,https://magicpin.in/india/Jaipur/All/Grocery/,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown,,,,1
111,dtdc near me,301000,15,3401,$0.05,4,44,https://magicpin.in/Bhopal/Arera-Colony/Other/Dtdc-Courier-Domestic-And-International-Services/store/110b846/?utm_source=aroundyou,Bhopal,Unknown,Unknown,Unknown,Bhopal,Unknown,,,,1
112,bata near me,301000,12,4515,$0.06,13,46,https://magicpin.in/Amritsar/Fashion/brands/7860/Bata/,Amritsar,Unknown,Unknown,Unknown,Amritsar,Unknown,,,,1
113,shoppers stop,368000,37,632,$0.40,86,73,https://magicpin.in/Navi-Mumbai/Fashion/brands/7761/Shoppers-Stop/,Navi Mumbai,Unknown,Unknown,Unknown,Navi Mumbai,Unknown,,,,1
114,mojo pizza 2x toppings,246000,13,3690,$0.15,1,21,https://magicpin.in/New-Delhi/Rajinder-Nagar/Restaurant/Mojo-Pizza---2X-Toppings/store/586963/reviews/,New Delhi,Delhi,India,North,New Delhi,Restaurant,,,,1
115,metro map of bangalore,246000,54,516,$0.02,1,27,https://magicpin.in/metro/map/bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
116,photoshoot shop,246000,23,1057,$0.78,27,35,https://magicpin.in/india/Pune/Pimpri/Photo-Studio/,Pune,Unknown,Unknown,Unknown,Pune,Unknown,,,,1
117,momo wow,246000,37,516,$0.14,2,38,https://magicpin.in/Chennai/Teynampet/Restaurant/Wow!-Momo/store/465737/delivery/,Chennai,Unknown,Unknown,Unknown,Chennai,Restaurant,,,,1
118,metro rail map bangalore,246000,60,516,$0.02,1,27,https://magicpin.in/metro/map/bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
119,cyber hub dlf cyber city,246000,28,565,$0.04,5,39,https://magicpin.in/blog/category/food-and-beverage/what-to-do-at-dlf-cyber-hub-gurgaon,Gurugram,Unknown,Unknown,Unknown,Gurugram,Unknown,,,,1
120,breakfast near me,201000,19,1377,$0.36,8,45,https://magicpin.in/india/Secunderabad/All/Restaurant/-Breakfast/,Secunderabad,Unknown,Unknown,Unknown,Secunderabad,Restaurant,,,,1
121,yoga classes near me,246000,24,664,$0.23,14,39,https://magicpin.in/india/Visakhapatnam/Madhurawada/Yoga-Class/,Visakhapatnam,Unknown,Unknown,Unknown,Visakhapatnam,Unknown,,,,1
122,wow momo,201000,39,516,$0.28,3,48,https://magicpin.in/Kolkata/Restaurant/brands/7828/Wow!-Momo/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Restaurant,,,,1
123,the magnolia bakery,246000,22,1057,$0.11,5,40,https://magicpin.in/Bangalore/Indiranagar/Restaurant/Magnolia-Bakery/store/372498/menu/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant,,,,1
124,hotel fountain,246000,40,516,$0.48,4,49,https://magicpin.in/Thane/Mira-Road/Restaurant/Hotel-Fountain/store/2aa50/photos,Thane,Unknown,Unknown,Unknown,Thane,Restaurant,,,,1
125,ambience mall vasant kunj,201000,26,541,$0.62,8,37,https://magicpin.in/@ambience-mall-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
126,ambience mall delhi,246000,40,516,$0,8,45,https://magicpin.in/@ambience-mall-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
127,new delhi bazar,201000,16,1254,$0,1,42,https://magicpin.in/New-Delhi/Batla-House/Electronics/Delhi-Bazar/store/15b1b58/,New Delhi,Delhi,India,North,New Delhi,Unknown,,,,1
128,cyber hub in gurugram,246000,32,516,$0.05,5,40,https://magicpin.in/@dlf-cyberhub-gurgaon,Gurugram,Unknown,Unknown,Unknown,Gurugram,Unknown,,,,1
129,ambience vasant kunj,246000,20,1057,$0.49,4,44,https://magicpin.in/@ambience-mall-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
130,titan world,246000,38,516,$0.15,8,50,https://magicpin.in/Chennai/Phoenix-Market-City/Fashion/Titan-World-Indira-Gandhi-Nagar,,,,,,,,,,
131,thane viviana mall,246000,53,516,$0.12,5,22,https://magicpin.in/Thane/Viviana-Mall/Other/Viviana-Mall/store/16b4379/,Thane,Unknown,Unknown,Unknown,Thane,Unknown,,,,1
132,ambience mall delhi vasant kunj,246000,40,516,$0.20,7,24,https://magicpin.in/@ambience-mall-delhi,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
133,pankaj chain,301000,25,516,$1.03,1,27,https://magicpin.in/Kanpur/Barra/Fashion/Pankaj-Chain-And-Jewellers/store/1c621a/,Kanpur,Unknown,Unknown,Unknown,Kanpur,Unknown,,,,1
134,restaurant with bar near me,246000,15,3690,$0.06,18,23,https://magicpin.in/india/Secunderabad/All/Restaurant/?feat=SERVES_ALCOHOL,Secunderabad,Unknown,Unknown,Unknown,Secunderabad,Restaurant,,,,1
135,ice cream near me,201000,47,516,$0.36,5,36,https://magicpin.in/india/Howrah/All/Restaurant/Ice-Cream/,Howrah,Unknown,Unknown,Unknown,Howrah,Restaurant,,,,1
136,beer shop near me,246000,11,4846,$0,1,34,https://magicpin.in/New-Delhi/Restaurant/brands/7548/Wine-And-Beer-Shop/,New Delhi,Delhi,India,North,New Delhi,Restaurant,,,,1
137,cyber hub,246000,38,516,$0,6,49,https://magicpin.in/india/Gurgaon/Cyber-Hub/,Gurugram,Unknown,Unknown,Unknown,Gurugram,Unknown,,,,1
138,yoga clubs near me,246000,11,6297,$0.14,12,26,https://magicpin.in/india/Pune/Pimpri/Yoga-Class/,Pune,Unknown,Unknown,Unknown,Pune,Unknown,,,,1
139,palladium ahmedabad,201000,19,1057,$0,14,31,https://magicpin.in/india/Ahmedabad/Palladium-Mall/Fashion/,Ahmedabad,Unknown,Unknown,Unknown,Ahmedabad,Unknown,,,,1
140,naturals salon,201000,12,8314,$0.27,3,48,https://magicpin.in/Hyderabad/Tolichowki/Beauty/Naturals/store/170731/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
141,r city,246000,30,516,$0.23,7,41,https://magicpin.in/Mumbai/R-City-Mall/Other/R-City/store/1894b06/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
142,mall,246000,104,516,$0.25,3,61,https://magicpin.in/@korum-mall-mumbai,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
143,bangalore metro map,246000,50,516,$0.02,1,42,https://magicpin.in/metro/map/bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
144,smiles,246000,68,516,$0.73,1,60,https://magicpin.in/Bangalore/Beml-Layout,,,,,,,,,,1
145,world trade park mall jaipur,201000,30,422,$0.08,2,22,https://magicpin.in/india/Jaipur/World-Trade-Park/,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown,,,,1
146,world trade park jaipur rajasthan,201000,47,422,$0.03,1,23,https://magicpin.in/india/Jaipur/World-Trade-Park/,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown,,,,1
