No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank
36,bangalore orion mall,673000,16,3970,$0.11,5,44,https://lbb.in/bangalore/orion-mall/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
37,lakshmi nagar delhi,550000,88,1413,$0.32,3,43,https://lbb.in/delhi/locality/laxmi-nagar-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
38,bangalore koramangala,673000,14,7604,$0.18,6,33,https://lbb.in/bangalore/food-shopping-top-things-to-do-in-koramangala/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
39,swimming pool near me,550000,29,1480,$0.20,5,36,https://lbb.in/delhi/swimming-pools-delhi-ncr/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
40,swimming pool closest to me,550000,10,22747,$0.06,5,41,https://lbb.in/delhi/swimming-pools-delhi-ncr/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
41,swimming pools close to me,550000,9,31563,$0.05,5,28,https://lbb.in/bangalore/public-swimming-pools-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
42,sarojini market in new delhi,550000,22,2365,$0.03,1,26,https://lbb.in/delhi/sarojini-nagar-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
43,bangalore hsr,550000,18,3245,$0.13,7,42,https://lbb.in/bangalore/locality/hsr-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
44,borivali,368000,38,1155,$0.31,9,63,https://lbb.in/mumbai/things-to-do-borivali/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
45,hsr bangalore,550000,16,3245,$0.13,9,50,https://lbb.in/bangalore/things-to-do-hsr-layout/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
46,gachibowli hyd,550000,51,1155,$0.16,7,38,https://lbb.in/hyderabad/gachibowli-9db624/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
47,new delhi lajpat nagar,550000,40,1155,$0.16,4,22,https://lbb.in/delhi/things-to-do-in-lajpat-nagar-in-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
48,delhi sarojini nagar market,550000,24,1815,$0,1,34,https://lbb.in/delhi/sarojini-nagar-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
49,dad's day,550000,84,1155,$0.37,1,67,https://lbb.in/delhi/daddys-day-out-fathers-day/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
50,lajpat nagar new delhi,550000,32,1155,$0.16,4,21,https://lbb.in/delhi/things-to-do-in-lajpat-nagar-in-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
51,sarojini nagar market new delhi,550000,11,14080,$0.04,1,19,https://lbb.in/delhi/sarojini-nagar-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
52,sarojini nagar market in delhi,550000,20,2805,$0,1,34,https://lbb.in/delhi/sarojini-nagar-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
53,gachibowli,550000,69,1155,$0.31,8,63,https://lbb.in/hyderabad/top-things-to-do-gachibowli/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
54,sarojini nagar market,550000,16,6215,$0,1,43,https://lbb.in/delhi/sarojini-nagar-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
55,sarojini nagar delhi market,550000,18,3245,$0.19,1,39,https://lbb.in/delhi/sarojini-nagar-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
56,new delhi sarojini nagar market,550000,27,1815,$0.04,1,21,https://lbb.in/delhi/sarojini-nagar-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
57,sarojini market of delhi,550000,22,2365,$0.09,1,30,https://lbb.in/delhi/sarojini-nagar-shopping-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
58,gachibowli hyderabad,550000,33,1155,$0.16,11,39,https://lbb.in/hyderabad/gachibowli-9db624/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
59,lajpat nagar delhi,550000,17,4125,$0.16,4,44,https://lbb.in/delhi/things-to-do-in-lajpat-nagar-in-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
60,hyderabad to golconda fort,450000,30,945,$0.07,10,34,https://lbb.in/hyderabad/golconda-fort-hyderabad/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
61,bla bla,368000,15,2520,$0.19,2,48,https://lbb.in/delhi/carpool-cities-india-bla-bla-car/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
62,delhi nehru place,450000,42,945,$0.13,5,24,https://lbb.in/delhi/nehru-place-674e99/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
63,nehru place new delhi delhi,450000,40,945,$0.14,5,29,https://lbb.in/delhi/nehru-place-674e99/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
64,victoria memorial hall kolkata,450000,36,945,$0.05,7,39,https://lbb.in/kolkata/calcutta-victoria-memorial/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
65,victoria memorial,450000,41,945,$0.45,6,49,https://lbb.in/kolkata/calcutta-victoria-memorial/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
66,mumbai bandra,201000,18,2655,$0.36,4,49,https://lbb.in/mumbai/things-to-do-in-bandra/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
67,kolkata memorial victoria,450000,47,945,$0.03,8,29,https://lbb.in/kolkata/calcutta-victoria-memorial/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
68,victoria memorial calcutta,450000,29,945,$0.10,6,34,https://lbb.in/kolkata/calcutta-victoria-memorial/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
69,tilak nagar delhi,450000,54,945,$13.74,4,44,https://lbb.in/delhi/locality/tilak-nagar-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
70,temple shiva,450000,50,945,$0.15,1,27,https://lbb.in/bangalore/citys-400-years-old-beautiful-7b2c20/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
71,t nagar,450000,12,8865,$0.17,7,30,https://lbb.in/chennai/guide-to-fun-and-shopping-t-nagar-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
72,nehru place in new delhi,450000,50,945,$0.12,4,20,https://lbb.in/delhi/locality/nehru-place-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
73,nehru place in delhi,450000,64,945,$0.12,4,25,https://lbb.in/delhi/nehru-place-6a7d61/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
74,bla bla car,450000,28,945,$0.17,1,43,https://lbb.in/mumbai/blabla-car-6103bc/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
75,bangalore chickpet,450000,8,29655,$0.03,5,49,https://lbb.in/bangalore/chickpet-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
76,icecream,550000,33,945,$0.24,33,70,https://lbb.in/mumbai/best-iconic-ice-cream-parlours-in-mumbai/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
77,dilsukhnagar,450000,27,1080,$0.44,5,62,https://lbb.in/hyderabad/top-things-to-do-dilsukhnagar/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
78,bandra in india,450000,43,945,$0.19,3,29,https://lbb.in/mumbai/things-to-do-in-bandra/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
79,victoria memorial kolkata,27100,34,945,$0,11,25,https://lbb.in/kolkata/calcutta-victoria-memorial/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
80,andheri,368000,36,945,$0.10,11,64,https://lbb.in/mumbai/things-to-do-in-andheri-hood-guide/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
81,delhi tilak nagar,450000,51,945,$0.14,5,19,https://lbb.in/delhi/locality/tilak-nagar-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
82,banashankari in bangalore,450000,30,945,$0.12,5,20,https://lbb.in/bangalore/things-to-do-around-banashankari/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
83,velachery in chennai,450000,70,945,$0.09,7,35,https://lbb.in/chennai/locality/velachery-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
84,hair styling cut,450000,56,945,$0.51,1,25,https://lbb.in/mumbai/hair-cut-salons/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
85,bangalore palace,450000,38,945,$0.51,7,50,https://lbb.in/bangalore/bangalore-palace/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
86,bangalore banashankari,450000,36,945,$0.16,5,21,https://lbb.in/bangalore/locality/banashankari-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
87,bandra,450000,21,2520,$0.43,4,62,https://lbb.in/mumbai/things-to-do-in-bandra/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
88,velachery chennai,450000,83,945,$0.09,6,30,https://lbb.in/chennai/locality/velachery-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
89,hauz khas new delhi delhi,450000,56,945,$0.09,4,24,https://lbb.in/delhi/hauz-khas-village-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
90,t nagar chennai,368000,10,21105,$0.28,16,47,https://lbb.in/chennai/guide-to-fun-and-shopping-t-nagar-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
91,bandra mumbai,201000,16,5085,$0.37,4,49,https://lbb.in/mumbai/things-to-do-in-bandra/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
92,jayanagar,368000,12,7249,$0.50,9,63,https://lbb.in/bangalore/hood-guide-to-jayanagar-restaurants-shopping/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant,,,,1
93,new delhi malviya nagar,368000,38,772,$0.10,3,22,https://lbb.in/delhi/locality/malviya-nagar-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
94,bannerghatta national park in bangalore,368000,40,772,$0.08,4,20,https://lbb.in/bangalore/bannerghatta-biological-park/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
95,kurla mumbai,368000,50,772,$0.20,4,49,https://lbb.in/mumbai/locality/kurla-mumbai/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
96,chembur mumbai,368000,48,772,$0.14,5,21,https://lbb.in/mumbai/things-to-do-in-chembur-hood-guide/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
97,jayanagar bangalore,368000,12,9420,$0.50,9,50,https://lbb.in/bangalore/hood-guide-to-jayanagar-restaurants-shopping/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant,,,,1
98,hair salon near me,368000,79,772,$0.31,17,40,https://lbb.in/bangalore/best-womens-salons-in-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
99,select citywalk mall delhi,368000,22,1214,$0.11,5,24,https://lbb.in/delhi/select-city-walk-men-fashion-mall-guide/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
100,resort near me,450000,18,3348,$0.19,31,52,https://lbb.in/delhi/resorts-near-delhi-ncr/,Delhi,Delhi,India,North,Delhi,Hotel,,,,1
101,oberoi mall,368000,17,1876,$0.30,4,49,https://lbb.in/mumbai/oberoi-mall-guide/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
102,goregaon east,368000,56,772,$0.16,3,48,https://lbb.in/mumbai/locality/goregaon-east-mumbai/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
103,express avenue mall chennai,301000,41,772,$0,12,38,https://lbb.in/chennai/mall/express-avenue-mall-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
104,express avenue mall,301000,35,772,$0.67,6,44,https://lbb.in/chennai/mall/express-avenue-mall-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
105,bangalore u b city,368000,21,1582,$0.14,5,26,https://lbb.in/bangalore/ub-city-e232f4/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
106,amb cinemas,246000,14,2760,$0,15,52,https://lbb.in/hyderabad/amb-cinemas-sarath-city-capital-mall/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
107,chembur,368000,31,772,$0.30,4,62,https://lbb.in/mumbai/things-to-do-in-chembur-hood-guide/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
108,sriperumbudur,368000,71,772,$0,2,61,https://lbb.in/chennai/locality/sriperumbudur-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
109,majnu ka tilla delhi,368000,40,772,$0.10,3,25,https://lbb.in/delhi/majnu-ka-tila-tibetan-market/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
110,ub city,301000,19,1582,$0,7,50,https://lbb.in/bangalore/ub-city-e232f4/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
111,select city walk new delhi,368000,23,1582,$0.11,5,31,https://lbb.in/delhi/select-citywalk-65aad0/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
112,haircut salons near me,368000,45,772,$0.15,26,20,https://lbb.in/mumbai/hair-cut-salons/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
113,khan market in delhi,368000,16,3348,$0.09,1,31,https://lbb.in/delhi/khan-market-hood-guide-shop-eat-drink/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
114,khan market new delhi,368000,18,2060,$0.03,1,20,https://lbb.in/delhi/khan-market-hood-guide-shop-eat-drink/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
115,select citywalk new delhi delhi,368000,29,772,$0.07,4,29,https://lbb.in/delhi/mall/select-citywalk-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
116,bar,368000,43,772,$0.14,2,36,https://lbb.in/delhi/budget-alcohol-bars-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
117,baskin robbins,301000,22,1582,$0.04,4,49,https://lbb.in/bangalore/baskin-robbins-58b063/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
118,bannerghatta zoo bangalore,368000,40,772,$0.34,7,45,https://lbb.in/bangalore/bannerghatta-biological-park/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
119,majnu ka tila,301000,73,772,$0,2,43,https://lbb.in/delhi/majnu-ka-tila-68a283/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
120,bannerghatta national park zoo,368000,26,883,$0.09,4,22,https://lbb.in/bangalore/bannerghatta-biological-park/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
121,waterfall near me,368000,34,772,$0.61,1,42,https://lbb.in/delhi/waterfalls-around-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
122,stationery shop near me,368000,9,17259,$0.34,6,36,https://lbb.in/bangalore/stationery-stores-bangalore/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
123,jaya nagar bangalore,368000,10,17259,$0.19,6,23,https://lbb.in/bangalore/hood-guide-to-jayanagar-restaurants-shopping/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant,,,,1
124,jaya nagar,368000,10,9420,$0.24,6,20,https://lbb.in/bangalore/hood-guide-to-jayanagar-restaurants-shopping/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant,,,,1
125,malviya nagar delhi,368000,44,772,$0.16,5,25,https://lbb.in/delhi/things-to-do-in-malviya-nagar/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
126,express avenue chennai,301000,48,772,$0.63,12,46,https://lbb.in/chennai/mall/express-avenue-mall-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
127,delhi majnu tilla,301000,12,7249,$0.12,3,26,https://lbb.in/delhi/little-tibet-majnu-ka-tila/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
128,malviya nagar new delhi delhi,368000,28,772,$0.12,4,30,https://lbb.in/delhi/things-to-do-in-malviya-nagar/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
129,kurla india,368000,88,772,$0.10,4,22,https://lbb.in/mumbai/locality/kurla-mumbai/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
130,khan market new delhi delhi,368000,32,772,$0.03,1,29,https://lbb.in/delhi/khan-market-hood-guide-shop-eat-drink/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
131,khan market,368000,14,4158,$0.03,1,31,https://lbb.in/delhi/khan-market-hood-guide-shop-eat-drink/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
132,express avenue in chennai,368000,41,772,$0.18,5,25,https://lbb.in/chennai/mall/express-avenue-mall-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
133,select citywalk new delhi,368000,18,2060,$0.11,5,25,https://lbb.in/delhi/everything-new-citywalk/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
134,oberoi mall in mumbai,368000,26,846,$0.10,5,31,https://lbb.in/mumbai/oberoi-mall-guide/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
135,fitness clubs near me,368000,22,1214,$0.12,12,33,https://lbb.in/hyderabad/top-gyms-secunderabad/,Secunderabad,Unknown,Unknown,Unknown,Secunderabad,Unknown,,,,1
136,bannerghatta zoo in bangalore,368000,31,772,$0.07,5,20,https://lbb.in/bangalore/bannerghatta-biological-park/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
137,delhi khan market,368000,15,3348,$0.03,1,28,https://lbb.in/delhi/khan-market-hood-guide-shop-eat-drink/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
138,khan market delhi,368000,15,2760,$0.03,1,30,https://lbb.in/delhi/khan-market-hood-guide-shop-eat-drink/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
139,hussain sagar in hyderabad,368000,23,1582,$0.12,12,31,https://lbb.in/hyderabad/hussain-sagar-things-to-do/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
140,rajouri delhi,368000,69,772,$0.14,3,25,https://lbb.in/delhi/locality/rajouri-garden-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
141,swimming pool,368000,17,4158,$0.21,21,54,https://lbb.in/delhi/swimming-pools-noida/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
142,select city walk,368000,26,883,$0,9,45,https://lbb.in/delhi/select-citywalk-65aad0/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
143,science city,368000,27,809,$0.11,5,46,https://lbb.in/kolkata/science-city-in-kolkata/,Kolkata,Unknown,Unknown,Unknown,Kolkata,Unknown,,,,1
144,khan market in new delhi,368000,17,2760,$0.09,1,29,https://lbb.in/delhi/khan-market-hood-guide-shop-eat-drink/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
145,chembur in mumbai,368000,42,772,$0.13,4,22,https://lbb.in/mumbai/things-to-do-in-chembur-hood-guide/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
146,delhi khan market,368000,15,3348,$0.03,1,28,https://lbb.in/delhi/khan-market-hood-guide-shop-eat-drink/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
147,express avenue,301000,39,772,$0.63,12,51,https://lbb.in/chennai/mall/express-avenue-mall-chennai/,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1
148,bannerghatta national park,368000,37,772,$0.32,4,44,https://lbb.in/bangalore/bannerghatta-biological-park/,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown,,,,1
149,grocery stores and,301000,19,1775,$0.18,1,34,https://lbb.in/delhi/grocery-stores-in-delhi/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
150,film malayalam movie,301000,35,632,$0.02,1,59,https://lbb.in/all/best-malayalam-movies/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
151,dance lessons near me,301000,8,19835,$0.30,5,36,https://lbb.in/delhi/dance-schools-noida/,Delhi,Delhi,India,North,Delhi,Unknown,,,,1
152,badminton court near me,246000,33,632,$0.14,6,36,https://lbb.in/mumbai/badminton-courts-mumbai/,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown,,,,1
153,mantri square mall bangalore,301000,47,632,$0.08,5,28,https://lbb.in/places/Mantri-Square-malleshwaran-ea9973/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1
154,begumpet in hyderabad,301000,56,632,$0.11,5,27,https://lbb.in/hyderabad/locality/begumpet-hyderabad/,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown,,,,1
