No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
37,capitals vs royal challengers,2240000,3,362880,$0.17,1,34,https://www.district.in/events/tata-ipl-2026-match-39--delhi-capitals-vs-royal-challengers-bengaluru-buy-tickets
38,dc vs rcb,5000000,1,680960,$0.05,1,42,https://www.district.in/events/tata-ipl-2026-match-39--delhi-capitals-vs-royal-challengers-bengaluru-buy-tickets
39,to,2240000,31,4704,$0.06,1,45,https://www.district.in/events/naram-lehja-20-by-kanha-kamboj-delhi-jul5-2026-buy-tickets
40,movie,2240000,8,75712,$0.58,2,62,https://www.district.in/movies/
41,csk vs gt,2740000,5,217952,$0,1,42,https://www.district.in/events/screening-of-gt-vs-csk-tata-ipl-2026-apr26-2026-buy-tickets
42,mi vs rr,4090000,13,33600,$0,1,23,https://www.district.in/events/screening-vs-rr-vs-mi-tata-ipl-2026-apr7-2026-buy-tickets
43,sunrisers hyderabad vs royal challengers bengaluru,1830000,6,178059,$0.13,1,21,https://www.district.in/events/screening-of-srh-vs-rcb-sunrisers-hyderabad-vs-royal-challengers-bengaluru-may22-2026-buy-tickets
44,zomato,1830000,11,27450,$0.05,5,78,https://www.district.in/
45,sa vs wi,1830000,46,3843,$0.06,1,21,https://www.district.in/
46,dhurandhar 2,70,13,36051,$0,1,18,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-MV211577
47,jaipur,1500000,40,3150,$0.12,1,61,https://www.district.in/play/jaipur-pickleball-by-pay-and-play-parks-jaipur-pickleball-jaipur-slots-booking
48,wpl schedule,27100,10,29550,$0,1,26,https://www.district.in/events/womens-premier-league-2026-team
49,2025 movies,1500000,37,3150,$2.26,1,52,https://www.district.in/movies/upcoming-movies
50,movies of 2025,2240000,11,22500,$2,1,49,https://www.district.in/movies/upcoming-movies
51,uhd movies,1500000,38,3150,$0.49,1,47,https://www.district.in/movies/vinayaka-cineluxe-4k-rgb-laser-dolby-atmos-marathahalli-in-bengaluru-CD43628
52,ahmedabad,1500000,49,3150,$0.41,2,78,https://www.district.in/events/naram-lehja-20-by-kanha-kamboj-jun14-2026-buy-tickets
53,super kings vs titans,2240000,12,29550,$0,1,34,https://www.district.in/events/screening-of-csk-vs-gt-chennai-super-kings-vs-gujarat-titans-may21-2026-buy-tickets
54,2026,823000,34,3150,$0.06,1,38,https://www.district.in/movies/upcoming-hindi-movies
55,movies in 2025,2240000,13,16950,$2,1,45,https://www.district.in/movies/upcoming-movies
56,2025 movie,2240000,11,22500,$2,1,46,https://www.district.in/movies/upcoming-movies
57,csk vs rr,823000,15,11250,$0.12,1,42,https://www.district.in/events/ipl-ticket-booking
58,super kings vs royals,2240000,17,6832,$0,1,34,https://www.district.in/events/ipl-ticket-booking
59,lucknow,1220000,34,2562,$0.09,1,43,https://www.district.in/events/naram-lehja-20-by-kanha-kamboj-may30-2026-buy-tickets
60,bengaluru,1220000,94,2562,$0.35,2,79,https://www.district.in/events/isl-2025-26-bengaluru-fc-vs-mumbai-city-fc-buy-tickets
61,indians vs sunrisers,301000,24,2928,$0,1,42,https://www.district.in/events/ipl-ticket-booking
62,royal challengers vs titans,2740000,26,2806,$0,1,34,https://www.district.in/events/ipl-ticket-booking
63,mumbai indians vs punjab kings timeline,1000000,6,80398,$0,1,34,https://www.district.in/events/tata-ipl-2026-match-58-punjab-kings-vs-mumbai-indians-buy-tickets
64,sunrisers vs royals,4090000,5,197640,$0,1,42,https://www.district.in/events/tata-ipl-2026-match-36-rajasthan-royals-vs-sunrisers-hyderabad-apr25-2026-buy-tickets
65,wpl 2026,18100,10,18300,$0,1,25,https://www.district.in/events/womens-premier-league-2026-team
66,kkr vs rcb,3350000,32,2562,$0,1,42,https://www.district.in/events/ipl-ticket-booking
67,kings vs royals,1830000,9,41236,$2.59,1,42,https://www.district.in/events/screening-of-pbks-vs-rr-punjab-kings-vs-rajasthan-royals-apr28-2026-buy-tickets
68,ind vs,1220000,20,6222,$0,1,23,https://www.district.in/events/india-vs-afghanistan-1st-odi-jun14-2026-buy-tickets
69,dhurandhar the revenge,390,17,11102,$0,1,28,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-in-gurgaon-MV211577
70,chandigarh district,1000000,9,65900,$0.15,1,48,https://www.district.in/movies/chandigarh-movie-tickets
71,films new,1600,7,46900,$0.21,1,65,https://www.district.in/movies/upcoming-movies
72,que,1000000,28,2100,$0.19,1,34,https://www.district.in/play/que-hub-snooker-academy-bommasandra-industrial-area-hebbagodi-slots-booking
73,faridabad,823000,112,2100,$0.04,4,62,https://www.district.in/play/rj-box-cricket-sector-143-faridabad-slots-booking
74,it,1000000,77,2100,$0.02,1,72,https://www.district.in/events/dance-workshop-by-beat-it-unclub-low-may17-2026-buy-tickets
75,indira nagar,823000,88,2100,$0.47,8,50,https://www.district.in/events/perfumers-palette-perfume-making-workshop-may9-2026-buy-tickets
76,vijayawada,1000000,39,2100,$0.58,1,61,https://www.district.in/events/hindi-bhajan-jamming-vijayawada-may17-2026-buy-tickets
77,new movie,1000000,4,97300,$0.41,2,60,https://www.district.in/movies/upcoming-movies
78,capitals vs super kings,1000000,17,7500,$0.17,1,35,https://www.district.in/events/ipl-ticket-booking
79,ipl match tomorrow,673000,11,11300,$0.02,1,42,https://www.district.in/events/ipl-ticket-booking
80,punjab kings vs delhi capitals,246000,3,162000,$0,1,23,https://www.district.in/events/tata-ipl-2026-match-35---delhi-capitals-vs-punjab-kings-buy-tickets
81,cinema,1000000,6,46900,$0.29,1,60,https://www.district.in/movies/cinema-near-me
82,district,368000,1,304000,$0.39,3,61,https://www.district.in/
83,new movies new movie,1000000,6,65900,$0.31,1,66,https://www.district.in/movies/upcoming-movies
84,new in movies,1000000,5,65900,$0.14,1,82,https://www.district.in/movies/upcoming-movies
85,new movies,1000000,10,25600,$0.41,2,64,https://www.district.in/movies/upcoming-movies
86,shivaji nagar,823000,76,2100,$0.18,5,49,https://www.district.in/events/perfumers-palette-perfume-making-workshop-apr25-2026-buy-tickets
87,united fried chicken,673000,12,12345,$0.29,1,21,https://www.district.in/dining/kolkata/ufc-unique-fried-chicken-barasat
88,tamil movies,673000,10,16213,$0.04,1,47,https://www.district.in/movies/tamil-movies-tickets-in-chennai
89,bookmyshow in hyd,823000,21,2222,$0.26,1,42,https://www.district.in/movies/hyderabad-movie-tickets
90,ambience mall,673000,22,3538,$1.07,10,51,https://www.district.in/movies/pepsi-pvr-ambience-ambience-mall-gurugram-in-gurgaon-CD1022302
91,qutub minar,550000,18,6172,$0.47,5,49,https://www.district.in/events/qutub-minar-jan1-1970-buy-tickets
92,pro kabaddi league 2025,823000,7,27817,$0,1,27,https://www.district.in/events/pkl-2025-delhi-team
93,lal qila red fort,823000,6,80077,$0.05,7,32,https://www.district.in/events/red-fort-jan1-1970-buy-tickets
94,bookmyshow hyderabad,823000,7,21068,$0.06,1,47,https://www.district.in/movies/
95,tamil movie,673000,7,54235,$0.03,1,47,https://www.district.in/movies/tamil-movies-tickets-in-chennai
96,tamil cinema movies,673000,9,27817,$0.10,1,77,https://www.district.in/movies/tamil-movies-tickets-in-chennai
97,by,823000,30,1728,$0.62,1,40,https://www.district.in/events/board-games-by-playdate-unclub-gurgaon-may10-2026-buy-tickets
98,love,823000,67,1728,$0.64,1,71,https://www.district.in/events/screening-of-in-the-mood-for-lovescc-candlelight-cinema-may24-2026-buy-tickets
99,red fort located,823000,11,21068,$0.05,7,47,https://www.district.in/events/red-fort-jan1-1970-buy-tickets
100,hyderabad bookmyshow,823000,10,9299,$0.01,1,41,https://www.district.in/movies/hyderabad-movie-tickets
101,lal qila new delhi,823000,9,54235,$0.04,6,37,https://www.district.in/events/red-fort-jan1-1970-buy-tickets
102,r r vs c s k,823000,30,1728,$0.36,1,20,https://www.district.in/events/ipl-ticket-booking
103,movies coimbatore,823000,4,80077,$0.08,1,47,https://www.district.in/movies/coimbatore-movie-tickets
104,yo movies,823000,18,3538,$0,1,47,https://www.district.in/events/my-story-india-chapter-yo-yo-honey-singh-live-in-kolkata-2026-buy-tickets
105,bms hyd,823000,9,12345,$0.01,1,40,https://www.district.in/movies/hyderabad-movie-tickets
106,movie coimbatore,823000,4,80077,$0.22,1,39,https://www.district.in/movies/coimbatore-movie-tickets
107,raja saab,165000,11,21068,$0,1,47,https://www.district.in/movies/the-raja-saab-movie-tickets-in-ron-MV169449
108,p k l 2025,823000,4,54235,$0,1,38,https://www.district.in/events/pkl-2025-delhi-team
109,nandi hills,823000,13,16213,$0.56,3,48,https://www.district.in/events/nandi-hills-sunrise-trek-by-tripbae-jul19-2024-buy-tickets
110,english to bangalore,823000,91,1728,$0.49,1,37,https://www.district.in/movies/bengaluru-movie-tickets
111,cricket match live ipl,823000,43,1728,$0.03,1,65,https://www.district.in/events/ipl-ticket-booking
112,movies download movie,823000,31,1728,$0.12,1,75,https://www.district.in/movies/kangula-maa-kali-ra-danda-nacha-movie-tickets-MV219753
113,raja saab movie,201000,15,7489,$0,1,42,https://www.district.in/movies/the-raja-saab-movie-tickets-in-ron-MV169449
114,kantara chapter 1,110000,16,9299,$0.12,1,42,https://www.district.in/movies/kantara-a-legend-chapter-1-movie-tickets-in-ambajogai-MV165830
115,tamil movies tamil movie,823000,14,12345,$0.05,1,62,https://www.district.in/movies/tamil-movies-tickets-in-chennai
116,jolly llb 3,90500,11,21068,$0,1,40,https://www.district.in/movies/jolly-llb-3-movie-tickets-in-ron-MV172789
117,red fort,823000,18,7489,$0.56,6,49,https://www.district.in/events/red-fort-jan1-1970-buy-tickets
118,pro kabaddi 2025,823000,8,21068,$0,1,31,https://www.district.in/events/pkl-2025-delhi-team
119,bms hyderabad,823000,14,4855,$0.01,1,47,https://www.district.in/movies/hyderabad-movie-tickets
120,ambience mall gurgaon,673000,7,27817,$1.07,10,46,https://www.district.in/movies/pepsi-pvr-ambience-ambience-mall-gurugram-in-gurgaon-CD1022302
121,dhurandhar 2 release date,0,15,9299,$0,1,4,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-MV211577
122,red fort in delhi india,823000,8,27817,$0.05,4,44,https://www.district.in/events/red-fort-jan1-1970-buy-tickets
123,pkl 2025,368000,4,54235,$0,1,25,https://www.district.in/events/pkl-2025-delhi-team
124,picture,823000,31,1728,$0.87,1,78,https://www.district.in/movies/picture-boyz-movie-tickets-in-nagda-MV218974
125,films tamil,673000,22,2715,$0.10,1,73,https://www.district.in/movies/upcoming-tamil-movies
126,jodhpur jodhpur,673000,55,1413,$0.26,1,48,https://www.district.in/events/naram-lehja-20-by-kanha-kamboj-jun20-2026-buy-tickets
127,adyar ananda bhavan a2b,550000,17,6124,$0.21,6,33,https://www.district.in/dining/chennai/a2b-adyar-ananda-bhavan-adyar
128,real madrid versus barcelona,1220000,15,10095,$0.56,1,34,https://www.district.in/events/watch-el-clsico-live-at-smaaash-real-madrid-vs-fc-barcelona-mumbai-may9-2026-buy-tickets
129,telugu,823000,19,3432,$0.11,1,60,https://www.district.in/events/ilakathamafiliya-a-telugu-standup-comedy-show-apr25-2026-buy-tickets
130,koramangala,673000,92,1413,$0.67,6,62,https://www.district.in/events/perform-may30-2026-buy-tickets
131,bhajan,673000,13,7604,$0.24,1,60,https://www.district.in/events/bhajan-clubbing-live-with-krsna-sansaar-mumbai-29-may-2026--may29-2026-buy-tickets
132,as,673000,47,1413,$0.02,1,52,https://www.district.in/events/grin-revolution-twice-as-good-w-urooj-raunaq-may19-2026-buy-tickets
133,live,673000,37,1413,$0.09,1,60,https://www.district.in/events/ashwin-srinivas-live-in-chennai-may9-2026-buy-tickets
134,rajasthan,673000,27,1615,$0.16,1,72,https://www.district.in/events/tata-ipl-2026-match-40-punjab-kings-vs-rajasthan-royals-buy-tickets
135,friends,673000,34,1413,$0.26,1,75,https://www.district.in/play/friends-badminton-academy-malviya-nagar-jaipur-slots-booking
136,rajkot,673000,46,1413,$0.22,1,61,https://www.district.in/events/mere-krishn-a-live-theatrical-experience-of-shree-krishns-life-rajkot-2026-buy-tickets
137,swimming pool near me,550000,7,65482,$0.20,5,36,https://www.district.in/play/swimming-pools-in-gurgaon
138,bangalore bookmyshow,673000,9,13258,$0.03,1,48,https://www.district.in/movies/
139,do,673000,42,1413,$0.31,1,70,https://www.district.in/movies/pati-patni-aur-woh-do-movie-tickets-in-narwana-MV186836
140,dhurandhar movie,550000,11,22747,$0.03,1,47,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-in-gurgaon-MV211577
141,tamanna bhatia,673000,15,13258,$0,1,47,https://www.district.in/events/tamanna-bhatia/artist
142,gurgaon city,550000,99,1413,$0.68,2,48,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-in-gurgaon-MV211577
143,gujarat titans vs sunrisers hyderabad standings,301000,31,1413,$0,1,32,https://www.district.in/events/ipl-ticket-booking
144,bookmyshow bangalore,673000,10,10095,$0.04,1,47,https://www.district.in/movies/
145,punjab kings vs mumbai indians standings,301000,53,1413,$0,1,22,https://www.district.in/events/ipl-ticket-booking
146,gurugram in haryana,550000,90,1413,$0.25,1,47,https://www.district.in/events/music-in-gurgaon-book-tickets
147,gurgaon,550000,28,1547,$0.81,2,56,https://www.district.in/events/board-games-by-playdate-unclub-gurgaon-may10-2026-buy-tickets
148,vaazha 2,550000,11,18590,$0.01,1,27,https://www.district.in/movies/vaazha-ii-biopic-of-a-billion-bros-movie-tickets-MV214231
149,ganesha ganesha,550000,45,1155,$0.08,1,47,https://www.district.in/movies/mythri-theatres-ganesh-70mm-2k-barco-digital-projection-shamshabad-in-hyderabad-CD1102120
150,play,550000,24,2365,$0.04,2,74,https://www.district.in/play/striker-turf-by-pay-play-parks-harmada-jaipur-slots-booking
151,param sundari,550000,10,18590,$0,1,47,https://www.district.in/movies/param-sundari-movie-tickets-in-una-MV186420
152,tamil x play,550000,5,36245,$0,1,25,https://www.district.in/movies/mr-x-movie-tickets-MV162388
153,movie roles telugu 2026,0,2,89100,$0,1,4,https://www.district.in/movies/upcoming-telugu-movies
154,movies tamil,550000,11,8250,$0.13,1,58,https://www.district.in/movies/tamil-movies-tickets-in-chennai
155,movies hub,550000,12,5005,$0.39,1,47,https://www.district.in/movies/movietime-hub-mall-goregaon-e-mumbai-in-thane-CD1040385
156,gachibowli hyd,550000,99,1155,$0.16,7,38,https://www.district.in/movies/dhurandhar-the-revenge-movie-tickets-in-hyderabad-MV211577
157,disha patani,550000,19,5005,$0,1,47,https://www.district.in/disha-patani/artist
158,hindi movie in bollywood,550000,15,6215,$0.04,1,60,https://www.district.in/movies/upcoming-hindi-movies
159,royals vs royal challengers,2240000,17,4125,$0,1,34,https://www.district.in/events/ipl-ticket-booking
160,meet,550000,48,1155,$0.58,1,63,https://www.district.in/events/play-board-games-meet-new-people-beginner-friendly-may17-2026-buy-tickets
161,tamil play,673000,34,1155,$0,1,47,https://www.district.in/events/thalapathified-tamil-singalong-jamming-bangalore-may17-2026-buy-tickets
162,karuppu,90500,11,25795,$0,1,58,https://www.district.in/movies/karuppu-movie-tickets-MV200421
163,toxic,110000,11,18590,$0,1,60,https://www.district.in/movies/toxic-a-fairy-tale-for-grown-ups-movie-tickets-MV168613
164,thamma,1300,12,14080,$0,1,28,https://www.district.in/movies/thamma-movie-tickets-MV181726
165,ramoji film city,550000,20,2805,$0.14,7,48,https://www.district.in/events/ramoji-studio-tour-jan23-2025-buy-tickets
166,pvr,550000,15,3245,$0.05,14,65,https://www.district.in/movies/pvr-vr-mall-anna-nagar-chennai-in-chennai-CD1022304
167,vizag and visakhapatnam,550000,53,1155,$0.19,1,26,https://www.district.in/events/jamming-night-vizag-may16-2026-buy-tickets
168,rewari in haryana,450000,35,1155,$0.08,1,33,https://www.district.in/movies/bmg-cinema-bmg-mall-leo-chowk-rewari-in-rewari-CD5105
169,playing,450000,52,1155,$0.04,1,61,https://www.district.in/play/force-playing-fields-dahisar-eastt-force-playing-fields-dahisar-turf-mumbai-slots-booking
170,places to visit near me,450000,23,1935,$0.39,5,49,https://www.district.in/activities/
171,avengers doomsday,301000,21,2520,$0,1,47,https://www.district.in/movies/avengers-doomsday-movie-tickets-in-bidar-MV176735
172,rajasthan royals vs gujarat titans timeline,74000,6,72900,$0,1,27,https://www.district.in/events/tata-ipl-2026-match-52-rajasthan-royals-vs-gujarat-titans-may9-2026-buy-tickets
173,thug life,201000,12,11520,$0,1,47,https://www.district.in/movies/thug-life-movie-tickets-MV167821
174,konark temple,450000,11,15210,$0.08,4,49,https://www.district.in/events/sun-temple-konark-jan1-1970-buy-tickets
175,surya temple konark,450000,12,11520,$0.03,5,39,https://www.district.in/events/sun-temple-konark-jan1-1970-buy-tickets
176,bms chennai,450000,18,1935,$0.04,1,29,https://www.district.in/movies/chennai-movie-tickets
177,near petrol pump,450000,64,945,$0.12,1,43,https://www.district.in/movies/sm2-cherish-cinema-badlapur-in-badlapur-CD1047917
178,sultanpur,368000,22,1485,$8.67,1,61,https://www.district.in/dining/sultanpur/crazy-point-sultanpur-locality
179,kurukshetra india,550000,43,945,$0.19,1,33,https://www.district.in/movies/divine-cineplex-kurukshetra-in-kurukshetra-CD1089013
180,bhoot bangla,33100,15,4095,$0,1,27,https://www.district.in/movies/bhooth-bangla-movie-tickets-MV177766
181,konark sun temple,450000,11,15210,$0.08,4,44,https://www.district.in/events/sun-temple-konark-jan1-1970-buy-tickets
182,indian karnal,450000,18,3375,$0.13,1,21,https://www.district.in/dining/karnal/hashtag-sector-13
183,radha krishna wallpaper,368000,78,945,$0.05,28,51,https://www.district.in/movies/krishnavataram-part-1-the-heart-hridayam-movie-tickets-MV219513
184,drishyam 3,450000,10,21105,$0.04,1,47,https://www.district.in/movies/drishyam-3-movie-tickets-MV207254
185,de de pyaar de 2,450000,12,8865,$0,1,34,https://www.district.in/movies/de-de-pyaar-de-2-movie-tickets-MV171264
186,open,450000,35,945,$0.14,1,46,https://www.district.in/events/open-mic-and-musical-jamming-may10-2026-buy-tickets
187,with love,450000,14,8865,$0.06,1,38,https://www.district.in/movies/with-love-movie-tickets-MV212336
188,chennai bookmyshow,450000,17,1935,$0.04,1,42,https://www.district.in/movies/chennai-movie-tickets
189,games games,368000,36,945,$0.19,3,48,https://www.district.in/events/board-games-by-playdate-unclub-gurgaon-may10-2026-buy-tickets
190,date,550000,52,945,$0.01,28,72,https://www.district.in/events/coffee-painting-date-kolkata-may9-2026-buy-tickets
191,where to watch royal challengers bengaluru vs punjab kings,673000,4,136800,$0.06,1,36,https://www.district.in/events/screening-of-pbks-vs-rcb-punjab-kings-vs-royal-challengers-bengaluru-may17-2026-buy-tickets
192,kurukshetra kurukshetra,450000,25,1485,$0,1,47,https://www.district.in/movies/divine-cineplex-kurukshetra-in-kurukshetra-CD1089013
193,konark sun temple in india,450000,11,11520,$0.02,2,39,https://www.district.in/events/sun-temple-konark-jan1-1970-buy-tickets
194,dilsukhnagar,450000,29,990,$0.44,5,62,https://www.district.in/movies/asian-mukta-a2-cinemas-konark-70mm-dilsukhnagar-hyderabad-in-hyderabad-CD1041684
195,heart,450000,88,945,$0.75,1,76,https://www.district.in/movies/krishnavataram-part-1-the-heart-hridayam-movie-tickets-MV219513
196,kurnool,450000,23,1935,$0.81,1,60,https://www.district.in/movies/kurnool-movie-tickets
197,bookmyshow chennai,450000,17,1935,$0.04,1,47,https://www.district.in/movies/chennai-movie-tickets
198,kurukshetra,450000,29,945,$0,1,60,https://www.district.in/movies/divine-cineplex-kurukshetra-in-kurukshetra-CD1089013
199,eid 2026,8100,85,945,$0,1,45,https://www.district.in/movies/upcoming-hindi-movies
200,dharamshala,368000,41,945,$0.28,1,61,https://www.district.in/events/tata-ipl-2026-match-55-punjab-kings-vs-delhi-capitals-buy-tickets
201,velachery in chennai,450000,97,945,$0.09,7,35,https://www.district.in/movies/tn-2026-movie-tickets-in-chennai-MV217870
202,mahabalipuram,450000,93,945,$0.26,4,62,https://www.district.in/events/evening-outing-ideal-beach-resort-may8-2026-buy-tickets
203,pkl live,450000,42,945,$0.04,1,47,https://www.district.in/
204,chinchwad pune,450000,58,945,$0.10,4,25,https://www.district.in/movies/krishnavataram-part-1-the-heart-hridayam-movie-tickets-in-pune-MV219513
205,tata,450000,97,945,$0.34,6,72,https://www.district.in/events/tata-ipl-2026-match-58-punjab-kings-vs-mumbai-indians-buy-tickets
206,sun temple konark,368000,10,15210,$0.30,2,43,https://www.district.in/events/sun-temple-konark-jan1-1970-buy-tickets
207,royal challengers bengaluru vs mumbai indians timeline,246000,12,6750,$0,1,33,https://www.district.in/events/screening-of-rcb-vs-mi-tata-ipl-2026-may10-2026-buy-tickets
208,charan teja,550000,24,1485,$0.03,1,48,https://www.district.in/movies/peddi-movie-tickets-MV194276
209,tamil movies latest download,450000,20,1935,$0.24,1,42,https://www.district.in/movies/tamil-movies-tickets-in-chennai
210,velachery chennai,450000,91,945,$0.09,6,30,https://www.district.in/movies/power-to-the-people-movie-tickets-in-chennai-MV221241
211,kis kisko pyaar karoon 2,14800,12,4158,$0,1,26,https://www.district.in/movies/kis-kisko-pyaar-karoon-2-movie-tickets-in-ropar-MV194544
212,anand,368000,25,1214,$0,1,61,https://www.district.in/movies/anand-movie-tickets
213,multi movie,368000,6,17259,$0.34,1,27,https://www.district.in/movies/multi-language-movies-tickets-in-bayad
214,uttar,368000,12,7249,$0.05,1,23,https://www.district.in/movies/uttar-movie-tickets-MV209391
215,kalamkaval,368000,8,24251,$0.26,1,25,https://www.district.in/movies/kalamkaval-movie-tickets-MV190445
216,rajasthan royals vs chennai super kings players,368000,30,772,$0,1,34,https://www.district.in/events/chennai-super-kings-team
217,book tickets movie,368000,3,59616,$0.07,8,45,https://www.district.in/movies/
218,krishna and radha photo,368000,71,772,$0.01,89,40,https://www.district.in/movies/krishnavataram-part-1-the-heart-hridayam-movie-tickets-MV219513
219,express avenue mall chennai,301000,8,17259,$0,12,38,https://www.district.in/movies/hdfc-millennia-pvr-escape-express-avenue-mall-chennai-in-chennai-CD1022257
220,express avenue mall,301000,10,7249,$0.67,6,44,https://www.district.in/movies/hdfc-millennia-pvr-escape-express-avenue-mall-chennai-in-chennai-CD1022257
221,badlapur film,368000,20,1876,$0.09,2,35,https://www.district.in/movies/sm2-cherish-cinema-badlapur-in-badlapur-CD1047917
222,amb cinemas,246000,17,1876,$0,15,52,https://www.district.in/movies/
223,jayanagar,368000,97,772,$0.50,9,63,https://www.district.in/activities/bengaluru-activity-tickets/
224,movie ramayana,301000,11,7249,$0,1,32,https://www.district.in/movies/ramayana-movie-tickets-MV176276
225,show,368000,33,772,$0.30,1,37,https://www.district.in/events/meri-bandi-a-comedy-show-by-mishra-ji-may17-2026-buy-tickets
226,ramayana the movie,301000,13,5520,$0.06,1,45,https://www.district.in/movies/ramayana-movie-tickets-MV176276
227,pushpa 2,450000,10,12438,$0.07,1,47,https://www.district.in/movies/pushpa-2-the-rule-2024-movie-tickets-in-jamtara-MV160594
