No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
46,tambaram chennai,550000,25,2715,$0.99,10,51,https://www.olx.in/tambaram_g4059211/jobs_c4
47,phone,823000,65,1728,$0.02,64,70,https://www.olx.in/mobiles_c1411
48,c m to inch,823000,107,1728,$0.01,1,29,https://www.olx.in/item/tvs-video-audio-c1523-xiaomi-by-mi-4a-100-cm-40-inch-full-hd-in-mayur-vihar-phase-3-delhi-iid-1840368205
49,trichy and tiruchirapalli,201000,76,1728,$0.61,1,30,https://www.olx.in/en-in/trichy-city_g5337557/jobs_c4
50,zara,823000,27,1728,$0.15,22,67,https://www.olx.in/hi-in/women_c1795/q-zara
51,rangoli,823000,20,4608,$0.19,2,61,https://www.olx.in/item/other-jobs-c65-part-time-in-amraiwadi-ahmedabad-iid-1840287680
52,job alert,1000000,31,1728,$0.46,1,47,https://www.olx.in/item/bpo-telecaller-c164-full-time-in-vyasarpadi-sivakami-amman-colony-chennai-iid-1839554722
53,kanchipuram tamil nadu,673000,40,1413,$0.14,1,32,https://www.olx.in/en-in/kancheepuram_g4059177/jobs_c4
54,lalbag park,49500,49,,$0.13,5,25,https://www.olx.in/en-in/loni_g5461134/sales-marketing_c62
55,boats and boating,673000,86,1413,$0.02,66,27,https://www.olx.in/en-in/commercial-vehicles_c85/q-boat
56,s24 ultra,673000,53,1413,$0.13,99,77,https://www.olx.in/item/mobile-phones-c1453-used-samsung-in-ram-chandra-nagar-coimbatore-iid-1840847342
57,r15,673000,24,2220,$0.01,18,66,https://www.olx.in/tamil-nadu_g2001173/q-yamaha-r15
58,bhopal bhopal,673000,88,1413,$0.04,1,33,https://www.olx.in/item/mobile-phones-c1453-used-xiaomi-in-nakkar-khana-bhopal-iid-1840357468
59,scorpio,673000,28,1480,$3.55,2,62,https://www.olx.in/cars_c84/q-scorpio
60,palwal in haryana,550000,83,1413,$0.39,1,20,https://www.olx.in/palwal_g4058758/for-rent-houses-apartments_c1723?filter=type_eq_houses&page=5
61,gkp india,550000,101,1413,$0.13,1,44,https://www.olx.in/en-in/gorakhpur_g4059284/bikes_c2198
62,jama masjid,673000,62,1413,$0.88,2,48,https://www.olx.in/jama-masjid_g5327278/mobiles_c1411
63,vitara grand,450000,28,1265,$0.08,12,50,https://www.olx.in/cars_c84/q-grand-vitara
64,ganesha ganesha,550000,75,1155,$0.08,1,47,https://www.olx.in/item/other-hobbies-c755-ganesha-painting-in-ashok-nagar-bengaluru-iid-1840243090
65,kia carens automatic,33100,89,1155,$0.34,9,25,https://www.olx.in/item/cars-c84-used-kia-carens-in-laxmi-nagar-delhi-iid-1840311565
66,bangalore hsr,550000,99,1155,$0.13,7,42,https://www.olx.in/item/delivery-collection-c2205-full-time-in-hsr-layout-bengaluru-iid-1840248710
67,harley davidson x440,550000,31,1155,$0.21,7,26,https://www.olx.in/en-in/motorcycles_c81?filter=model_eq_motorcycles-harley-davidson-x440
68,oppo f7,27100,22,2805,$0.23,25,34,https://www.olx.in/en-in/mobiles_c1411/q-oppo-f7
69,solapur in india,550000,69,1155,$0.25,1,29,https://www.olx.in/item/other-jobs-c65-full-time-in-forest-nagar-solapur-iid-1840283782
70,satara satara,550000,74,1155,$0.08,1,36,https://www.olx.in/satara_g4059020/for-rent-houses-apartments_c1723?filter=furnished_eq_no&page=43
71,bmw m5,368000,31,1155,$3.04,2,48,https://www.olx.in/cars_c84/q-bmw-m5
72,weather of jalandhar,301000,102,1155,$0,1,42,https://www.olx.in/item/hard-disks-printers-monitors-c1509-air-cooler-in-daulatpura-jalandhar-iid-1840313683
73,gwalior in mp,550000,77,1155,$0.12,1,28,https://www.olx.in/en-in/gwalior_g4058913
74,gt 650 price,450000,22,2365,$0.02,3,43,https://www.olx.in/motorcycles_c81/q-continental-gt
75,gachibowli hyd,550000,108,1155,$0.16,7,38,https://www.olx.in/item/hotel-travel-executive-c1439-full-time-in-gachibowli-hyderabad-iid-1840325297
76,price thar,550000,63,1155,$0.10,2,18,https://www.olx.in/en-in/item/cars-c84-used-mahindra-thar-in-revenue-colony-vijayawada-iid-1840310645
77,99acres,550000,28,1155,$0.11,36,71,https://www.olx.in/properties_c3
78,ns 200,550000,18,3080,$0.02,1,48,https://www.olx.in/maharashtra_g2001163/q-pulsar-200-ns
79,muzaffarnagar in up,450000,21,2365,$0.12,1,28,https://www.olx.in/en-in/muzaffarnagar_g4059322/properties_c3
80,pg near me,1600,13,8250,$0.18,23,44,https://www.olx.in/en-in/bengaluru_g4058803/pg-guest-houses_c1449
81,bmw m5 car,368000,15,8250,$0.81,1,36,https://www.olx.in/cars_c84/q-bmw-m5
82,tirupur in tamil nadu,550000,56,1155,$0.15,1,22,https://www.olx.in/item/warehouse-staff-c401-full-time-in-rakiyaplayam-tiruppur-iid-1840379103
83,gwalior india,550000,42,1155,$0.12,1,30,https://www.olx.in/en-in/gwalior_g4058913
84,lokmanya station,550000,75,1155,$0.10,5,20,https://www.olx.in/lokmanya-nagar_g5326810/for-sale-new-projects-properties_c301
85,bmw car m5,301000,17,4125,$0.62,1,40,https://www.olx.in/cars_c84/q-bmw-m5
86,tiruppur,450000,21,2365,$0,4,35,https://www.olx.in/tiruppur_g4059223/properties_c3
87,tamil nadu kodaikanal,550000,95,1155,$0.28,2,38,https://www.olx.in/item/pg-guest-houses-c1449-cottages-lease-available-kodaikanal-homestay-lease-available-in-naidupuram-kodaikanal-iid-1840373048
88,n s 200,550000,19,2805,$0.02,3,28,https://www.olx.in/en-in/tamil-nadu_g2001173/motorcycles_c81/q-ns200
89,yamaha xsr 155,550000,21,2805,$0.01,2,43,https://www.olx.in/en-in/motorcycles_c81?filter=model_eq_yamaha-xsr-155
90,saharanpur in uttar pradesh,550000,25,1815,$0.12,1,40,https://www.olx.in/en-in/saharanpur_g4059335/jobs_c4
91,suzuki access 125,550000,11,10835,$0.01,2,43,https://www.olx.in/en-in/scooters_c1413/q-suzuki-access-125
92,kia carens car,33100,24,1815,$0.22,9,44,https://www.olx.in/cars_c84/q-kia-carens
93,access 125,450000,17,5005,$0.13,5,49,https://www.olx.in/en-in/scooters_c1413/q-suzuki-access-125
94,tvs ronin,450000,28,1265,$0.02,6,49,https://www.olx.in/en-in/motorcycles_c81/q-tvs?filter=model_eq_tvs-ronin
95,samsung a35,673000,30,1155,$0.09,100,78,https://www.olx.in/en-in/mobile-phones_c1453/q-a35
96,bhagat singh bhagat singh,550000,55,1155,$1.35,1,58,https://www.olx.in/item/other-services-c625-pinapple-for-sale-in-bhagat-singh-market-delhi-iid-1840376434
97,bata shoe shop,450000,21,2365,$0.11,3,35,https://www.olx.in/item/sales-marketing-c62-full-time-in-ganga-nagar-tiruppur-iid-1840356707
98,dot mobile phones,550000,5,36245,$0,1,25,https://www.olx.in/mobile-phones_c1453/q-dot
99,car kia carens,12100,19,3080,$0.28,8,37,https://www.olx.in/cars_c84/q-kia-carens
100,satara in maharashtra,450000,32,1155,$0.07,1,40,https://www.olx.in/en-in/satara_g4059020
101,radha with krishna,550000,60,1155,$0.01,11,45,https://www.olx.in/item/other-hobbies-c755-radha-krishna-statue-in-chand-nagar-delhi-iid-1840340062
102,pulsar 125,550000,20,2805,$0.02,7,50,https://www.olx.in/motorcycles_c81/q-bajaj-125
103,gt650 price,550000,22,1815,$0.05,1,28,https://www.olx.in/en-in/motorcycles_c81/q-continental-gt
104,google chromebook,550000,66,1155,$7.74,1,48,https://www.olx.in/en-in/computers-laptops_c1505/q-chromebook
105,smart watch and,550000,110,1155,$0.01,97,53,https://www.olx.in/item/tvs-video-audio-c1523-smart-watch-amazfit-v10762-virsion-in-bharlai-varanasi-iid-1840360864
106,pondicherry,450000,88,1155,$0.29,3,61,https://www.olx.in/pondicherry_g2001169
107,lamborghini,673000,30,1155,$0.43,1,61,https://www.olx.in/en-in/cars_c84/q-lamborghini
108,city of visakhapatnam,550000,104,1155,$0.19,1,19,https://www.olx.in/item/cars-c84-used-honda-city-in-gajuwaka-visakhapatnam-iid-1839775700
109,speaker,550000,38,945,$0.04,94,89,https://www.olx.in/en-in/mumbai_g4058997/q-sound-speaker
110,fortuner,550000,28,990,$0.01,2,61,https://www.olx.in/cars_c84/q-fortuner
111,calangute beach goa india,450000,104,945,$0.13,5,38,https://www.olx.in/calangute_g4393685/lands-plots_c1729
112,jhansi in up,450000,24,1215,$0.08,1,27,https://www.olx.in/jhansi_g4059292
113,hero xtreme 125r,450000,26,1215,$0.05,5,44,https://www.olx.in/motorcycles_c81?filter=model_eq_hero-motorcycle-xtreme-125r
114,rolex watch rolex,550000,33,945,$0.22,95,45,https://www.olx.in/men_c1793/q-rolex-watch
115,new year wishes 2026,450000,7,21105,$0,1,29,https://www.olx.in/blog/expert-advice/best-new-year-wishes-and-messages/
116,city of ranchi,450000,56,945,$0.12,1,20,https://www.olx.in/en-in/item/other-jobs-c65-full-time-in-lalpur-ranchi-iid-1840308101
117,broach gujarat,450000,111,945,$0.10,1,30,https://www.olx.in/en-in/bharuch_g4058683/properties_c3
118,dwarka mor,450000,28,1080,$0.06,5,49,https://www.olx.in/dwarka-mor_g5459399/other-jobs_c65
119,bulandshahr up,450000,17,5085,$0,1,48,https://www.olx.in/en-in/bulandshahr_g4059264
120,thar,450000,25,1215,$2.15,2,61,https://www.olx.in/cars_c84/q-mahindra-thar
121,rampur,368000,23,2295,$0,1,60,https://www.olx.in/en-in/rampur_g4059332
122,wrist watches rolex,550000,44,945,$0.22,95,34,https://www.olx.in/men_c1793/q-rolex-watch
123,triumph speed 400,450000,27,1080,$0.04,7,45,https://www.olx.in/en-in/motorcycles_c81/q-triumph?filter=model_eq_triumph-speed-400
124,rolex watches watches,550000,32,945,$0.17,95,30,https://www.olx.in/men_c1793/q-rolex-watch
125,pune pimpri chinchwad,450000,75,945,$0.10,4,28,https://www.olx.in/item/other-jobs-c65-part-time-in-pimpri-chinchwad-pune-iid-1840301416
126,haryana sonipat,450000,45,945,$0.08,1,29,https://www.olx.in/en-in/sonipat_g4058764/bikes_c2198
127,innova car crysta,450000,24,1080,$0.10,2,46,https://www.olx.in/cars_c84/q-innova-crysta
128,fort of golconda,450000,99,945,$0.07,8,38,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-500-sq-ft-in-golconda-fort-area-hyderabad-iid-1840383659
129,dindigul city,450000,91,945,$0.15,1,22,https://www.olx.in/item/for-rent-shops-offices-c1731-560-sq-ft-in-govindpuram-east-dindigul-iid-1840370076
130,zirakpur,450000,39,945,$0.47,2,61,https://www.olx.in/zirakpur_g4399775
131,swift dzire,450000,16,4095,$0.07,9,50,https://www.olx.in/cars_c84/q-swift-dzire
132,gta 5 for 5,368000,22,1485,$0.03,20,60,https://www.olx.in/en-in/games-entertainment_c93/q-gta-5
133,kotas,450000,45,945,$0.06,1,33,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-10-sq-ft-in-riddhi-siddhi-nagar-part-1-kota-iid-1840372368
134,porsche,550000,29,945,$0.31,1,61,https://www.olx.in/en-in/cars_c84/q-porsche
135,sonipat haryana india,450000,33,945,$0.13,1,38,https://www.olx.in/en-in/sonipat_g4058764/for-rent-houses-apartments_c1723
136,north goa panjim,450000,29,990,$0.18,3,41,https://www.olx.in/en-in/panaji_g4058676/jobs_c4
137,mt 15 price,673000,40,945,$0.01,1,43,https://www.olx.in/en-in/kerala_g2001160/motorcycles_c81/q-mt15
138,bulandshahr uttar pradesh,450000,28,1035,$0.12,1,31,https://www.olx.in/en-in/bulandshahr_g4059264
139,e scooter,368000,44,945,$0.15,95,76,https://www.olx.in/en-in/tamil-nadu_g2001173/scooters_c1413/q-scooter-electric
140,india karnal,450000,31,945,$0.13,1,32,https://www.olx.in/en-in/karnal_g4058754/motorcycles_c81
141,bangalore chickpet,450000,85,945,$0.03,5,49,https://www.olx.in/en-in/chickpet_g5313815/mobile-phones_c1453
142,zirakpur zirakpur,450000,74,945,$0.06,2,33,https://www.olx.in/item/other-jobs-c65-full-time-in-vip-road-zirakpur-iid-1840371261
143,room near me,450000,4,43785,$0.27,38,54,https://www.olx.in/gujarat_g2001154/q-room-rent
144,tekken tekken 3,450000,36,945,$0.02,1,38,https://www.olx.in/item/sports-equipment-c100-tekken-3-gameb-ps2-in-kotwali-ganj-rampur-iid-1840375845
145,kurukshetra kurukshetra,450000,106,945,$0,1,47,https://www.olx.in/item/education-classes-c1429-skill-development-in-sector-13-kurukshetra-iid-1840347555
146,jawa 42 bobber,368000,22,1935,$0.03,3,43,https://www.olx.in/motorcycles_c81?filter=model_eq_motorcycles-jawa-42-bobber
147,innova crysta,450000,26,1215,$0.08,2,48,https://www.olx.in/cars_c84/q-innova-crysta
148,classic 350,368000,37,945,$0.07,1,48,https://www.olx.in/chennai_g4059162/motorcycles_c81/q-classic-350-classic
149,near me rooms,450000,22,2520,$0.25,38,62,https://www.olx.in/en-in/jaipur_g4059123/q-room-for-rent
150,rolex and watch,450000,39,945,$0.42,63,38,https://www.olx.in/men_c1793/q-rolex-watch
151,splendor,450000,25,1080,$0.01,1,61,https://www.olx.in/motorcycles_c81/q-splendor
152,rooms near by me,450000,97,945,$0.26,36,58,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1000-sq-ft-in-sadpur-patna-iid-1840368073
153,nike shoe,450000,19,1935,$0.04,97,77,https://www.olx.in/men_c1793/q-nike-shoes
154,banashankari in bangalore,450000,71,945,$0.12,5,20,https://www.olx.in/bargur_g4400829/delivery-collection_c2205?page=7
155,velachery in chennai,450000,109,945,$0.09,7,35,https://www.olx.in/item/hotel-travel-executive-c1439-full-time-in-velacheri-chennai-iid-1840377502
156,karnal city,450000,76,945,$0,1,47,https://www.olx.in/en-in/karnal_g4058754/driver_c2206
157,nike shoes,550000,39,945,$0.02,93,75,https://www.olx.in/men_c1793/q-nike-shoes
158,sultanpur u p,450000,36,945,$0.16,1,43,https://www.olx.in/en-in/sultanpur_g4059345/driver_c2206
159,wrist watch rolex,450000,92,945,$0.53,64,33,https://www.olx.in/men_c1793/q-rolex-watch
160,watch rolex watch,550000,20,1935,$0.17,95,34,https://www.olx.in/en-in/delhi_g4058659/q-rolex-watches
161,shastri nagar,368000,16,4095,$0.13,3,48,https://www.olx.in/shastri-nagar_g5342620/properties_c3
162,tirunelveli,368000,28,1080,$0.36,2,31,https://www.olx.in/tirunelveli_g4059221/q-maruti-800
163,krishnagiri town,450000,25,1215,$0.28,1,29,https://www.olx.in/en-in/krishnagiri_g4059182/properties_c3
164,jhansi in uttar pradesh,368000,109,945,$0.20,1,37,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1500-sq-ft-in-dadiyapura-jhansi-iid-1840281926
165,nagar tilak,450000,66,945,$0.11,4,30,https://www.olx.in/item/other-jobs-c65-part-time-in-tilak-nagar-padrauna-iid-1840356043
166,pulsar 150,450000,16,4095,$0.03,5,49,https://www.olx.in/en-in/motorcycles_c81/q-pulsar-150
167,sultanpur up india,450000,53,945,$0.16,1,34,https://www.olx.in/en-in/amethi-sultanpur-district_g4403393/jobs_c4
168,xuv 700,550000,35,945,$0.61,5,49,https://www.olx.in/cars_c84/q-xuv700
169,krishnagiri india,450000,46,945,$0.20,1,30,https://www.olx.in/en-in/krishnagiri_g4059182/cars_c84
170,jhansi up,368000,23,1485,$0,1,48,https://www.olx.in/en-in/jhansi_g4059292/jobs_c4
171,nearby me room,450000,8,15210,$0.22,52,20,https://www.olx.in/en-in/ahmedabad_g4058677/q-room-rent
172,maharashtra mahabaleshwar,450000,45,945,$0.28,3,33,https://www.olx.in/en-in/mahabaleshwar_g4397787/motorcycles_c81
173,rolex watch,450000,33,945,$0.12,56,58,https://www.olx.in/men_c1793/q-rolex-watch
174,coimbatore gandhipuram,450000,50,945,$0.40,5,49,https://www.olx.in/item/sales-marketing-c62-part-time-in-gandhipuram-coimbatore-iid-1840363756
175,n s 125,368000,16,2760,$0.01,5,25,https://www.olx.in/motorcycles_c81?filter=model_eq_motorcycles-bajaj-pulsar-ns-125
176,rrb tamilnadu,368000,75,772,$0.07,1,27,https://www.olx.in/tamil-nadu_g2001173/books_c453/q-rrb
177,fridges,301000,18,2171,$0.11,98,90,https://www.olx.in/fridges_c1617
178,ather,246000,48,772,$0.11,35,45,https://www.olx.in/en-in/scooters_c1413?filter=make_eq_scooters-ather
179,jawa bikes,368000,26,993,$0.01,7,50,https://www.olx.in/motorcycles_c81/q-jawa
180,up fatehpur,368000,18,2760,$0.09,1,22,https://www.olx.in/fatehpur_g4059276/lands-plots_c1729
181,muvattupuzha,368000,31,772,$0,1,61,https://www.olx.in/en-in/muvattupuzha_g4395779/other-jobs_c65
182,swift,368000,50,772,$0.08,12,64,https://www.olx.in/cars_c84/q-swift
183,mobile phone mobile phone,368000,26,809,$0.02,93,86,https://www.olx.in/en-in/mobile-phones_c1453
184,new delhi malviya nagar,368000,26,883,$0.10,3,22,https://www.olx.in/malviya-nagar_g5327968/jobs_c4
185,sriperumbudur,368000,22,1582,$0,2,61,https://www.olx.in/en-in/sriperumbudur_g4401469/jobs_c4
186,scooty,368000,11,7249,$0.01,5,62,https://www.olx.in/en-in/scooters_c1413
187,job,450000,51,772,$0.09,16,74,https://www.olx.in/en-in/bhubaneshwar_g4059049/jobs_c4
188,honda cb350,301000,26,883,$0.10,1,48,https://www.olx.in/en-in/motorcycles_c81?filter=model_eq_honda-hness-cb350
189,range rover,368000,37,772,$2.18,14,52,https://www.olx.in/en-in/cars_c84/q-range-rover
190,phones cell phones,368000,28,846,$0.02,93,70,https://www.olx.in/mobile-phones_c1453
191,haldwani uttarakhand india,368000,62,772,$0.23,2,19,https://www.olx.in/en-in/haldwani_g4059237
192,cost of a rolex watch,368000,36,772,$0.09,82,40,https://www.olx.in/men_c1793/q-rolex-watch
193,tata bike,368000,8,24251,$0.02,45,32,https://www.olx.in/tata-motors_g5325343/motorcycles_c81
194,swimming in pool,368000,74,772,$0.02,55,53,https://www.olx.in/item/sports-equipment-c100-big-size-swimming-pool-24-x-12-x-52-metal-frame-outdoor-pool-in-mango-jamshedpur-iid-1840381059
195,swiggy instamart,368000,21,993,$0.04,14,52,https://www.olx.in/en-in/kochi_g4058873/delivery-collection_c2205/q-swiggy
196,ns 125,368000,11,7249,$0.02,7,50,https://www.olx.in/motorcycles_c81?filter=model_eq_motorcycles-bajaj-pulsar-ns-125
197,rolex wrist watch price,368000,39,772,$0.09,92,30,https://www.olx.in/men_c1793/q-rolex-watch
198,jharkhand deoghar,1300,28,846,$0,1,18,https://www.olx.in/en-in/deoghar_g4058785
199,rolex watch cost,368000,43,772,$0.20,57,60,https://www.olx.in/men_c1793/q-rolex-watch
200,fridge,301000,9,12438,$0.08,96,89,https://www.olx.in/fridges_c1617
201,himalayan 450,368000,17,3348,$0.01,1,48,https://www.olx.in/en-in/motorcycles_c81/q-royale?filter=model_eq_royal-enfield-himalayan-450
202,bmw m4 car,165000,24,1582,$1.05,1,42,https://www.olx.in/cars_c84?filter=model_eq_bmw-m4-competition
203,rolex watch rate,368000,94,772,$0.10,97,32,https://www.olx.in/men_c1793/q-rolex-watch
204,rolex cost,301000,45,772,$0.19,56,65,https://www.olx.in/men_c1793/q-rolex-watch
205,cost of rolex watch,368000,35,772,$0.09,92,31,https://www.olx.in/men_c1793/q-rolex-watch
206,bannerghatta in bangalore,368000,102,772,$0.07,5,18,https://www.olx.in/en-in/item/data-entry-back-office-c1737-full-time-in-bannerghatta-main-road-bengaluru-iid-1840341228
207,baleno,301000,26,993,$0.09,11,64,https://www.olx.in/cars_c84/q-baleno
208,car wale,301000,22,993,$0.01,10,51,https://www.olx.in/en-in/jaipur_g4059123/cars_c84
209,rolex watch price,368000,48,772,$0.16,37,54,https://www.olx.in/men_c1793/q-rolex-watch
210,jawa bike,450000,27,846,$0.01,6,49,https://www.olx.in/motorcycles_c81/q-jawa
211,hp notebook laptop,368000,43,772,$0.19,93,70,https://www.olx.in/hi-in/computers-laptops_c1505/q-hp-laptops-notebook
212,hf deluxe,368000,35,772,$0.01,1,48,https://www.olx.in/motorcycles_c81/q-hero-hf-deluxe
213,sofa sets,368000,23,1214,$0.14,100,78,https://www.olx.in/en-in/sofa-dining_c1593
214,sofa set,450000,10,7249,$0.14,100,42,https://www.olx.in/en-in/sofa-dining_c1593
215,tvs jupiter,368000,18,2060,$0.02,8,50,https://www.olx.in/en-in/scooters_c1413/q-tvs-jupiter
216,price of bmw m5 in india,368000,9,9420,$1.26,1,22,https://www.olx.in/cars_c84/q-bmw-m5
217,jobs,450000,26,846,$0.09,16,56,https://www.olx.in/en-in/jobs_c4
218,bmw m4,201000,33,772,$3.82,1,48,https://www.olx.in/cars_c84/q-bmw-m4
219,ertiga,368000,19,2060,$0.06,7,63,https://www.olx.in/cars_c84/q-ertiga
220,duke 250,301000,21,1582,$0.06,2,48,https://www.olx.in/motorcycles_c81?filter=model_eq_ktm-250-duke
221,district fatehpur up,368000,17,2760,$0.11,1,42,https://www.olx.in/fatehpur_g4059276/lands-plots_c1729
222,price rolex,368000,47,772,$0.09,82,41,https://www.olx.in/men_c1793/q-rolex-watch
223,rolex watch and prices,368000,45,772,$0.09,92,35,https://www.olx.in/men_c1793/q-rolex-watch
224,inv,368000,101,772,$0.40,7,63,https://www.olx.in/item/acs-c1619-voltas-15-ton-inv-split-ac-regent-magnum-in-anand-vihar-delhi-iid-1840576782
225,hp laptop notebook,368000,27,846,$0.19,96,71,https://www.olx.in/en-in/computers-laptops_c1505/q-hp-laptops-notebook
226,house,368000,48,772,$0.70,1,72,https://www.olx.in/hyderabad_g4058526/for-sale-houses-apartments_c1725/q-house-for-sale?filter=type_eq_houses
227,kurti female,301000,77,772,$0.01,100,48,https://www.olx.in/item/women-c1795-kurti-for-ladies-in-malad-west-mumbai-iid-1840308161
