No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
109,majnu tilla delhi,301000,16,3348,$0.16,5,28,https://www.swiggy.com/city/delhi/majnu-ka-tila-restaurants
110,majnu ka tila,301000,7,24251,$0,2,43,https://www.swiggy.com/city/delhi/majnu-ka-tila-restaurants
111,pizza hut,550000,10,9420,$0.22,10,51,https://www.swiggy.com/city/chennai/pizza-hut
112,nearest starbucks to me,368000,9,17259,$0.10,2,20,https://www.swiggy.com/starbucks-coffee-near-me
113,pizza near me,301000,7,24251,$0.19,9,45,https://www.swiggy.com/veg-pizza-dish-restaurants-near-me
114,house,368000,47,772,$0.70,1,72,https://www.swiggy.com/city/chennai/house-of-andhra-mmda-colony-valasaravakkam-rest1254678
115,pizza near me near me,368000,8,17259,$0.14,8,23,https://www.swiggy.com/city/haridwar/pizzas-dish-restaurants
116,og's,368000,11,17259,$0.13,1,29,https://www.swiggy.com/restaurants/ogs-pizza-and-grill-sector-104-noida-826183/dineout
117,restaurants nearby near me,165000,5,59616,$0.04,13,72,https://www.swiggy.com/restaurants-near-me
118,herb rosemary,301000,54,772,$0.19,96,76,https://www.swiggy.com/instamart/p/rosemary-2J982W6OO6
119,hdfc cards login,450000,33,772,$0.31,1,42,https://www.swiggy.com/swiggy-hdfc-bank-credit-card
120,peni,301000,23,1294,$0.02,1,24,https://www.swiggy.com/city/kottayam/peni-ice-candy-chalukunnu-kottayam-rest921282
121,momos,450000,8,29287,$0.18,1,61,https://www.swiggy.com/collections/80461?collection_id=80461&tags=layout_CCS_Momos&type=rcv2
122,jobs careers near me,301000,9,5929,$0.11,1,85,https://careers.swiggy.com/
123,jobs career near me,301000,7,10173,$0.13,1,32,https://careers.swiggy.com/
124,quilon kerala,246000,30,692,$0.43,1,37,https://www.swiggy.com/city/kollam/quilon-lunch-home-chengotta-road-chamakkada-rest132048
125,non veg restaurants near me,246000,4,91504,$0.23,9,37,https://www.swiggy.com/non-veg-restaurants-near-me
126,strawberry,301000,38,632,$0.13,56,46,https://www.swiggy.com/instamart/p/mahabaleshwar-strawberry-RC0Y143AUT
127,biryani,368000,7,29287,$0.16,2,61,https://www.swiggy.com/collections/83639?collection_id=83639&search_context=biryani&tags=layout_CCS_Biryani&type=rcv2
128,supermarket close to me,301000,8,19835,$0.21,4,25,https://www.swiggy.com/instamart
129,matka chennai,301000,8,5929,$0,1,11,https://www.swiggy.com/city/chennai/itminaan-matka-biryani-slow-cooked-chrompet-rest585276
130,delhi vasant vihar,301000,34,632,$0.11,4,23,https://www.swiggy.com/city/delhi/vasant-vihar-restaurants
131,non vegetarian restaurants near me,246000,4,91504,$0.19,10,38,https://www.swiggy.com/non-veg-restaurants-near-me
132,nexus shantiniketan,246000,13,3401,$0.90,15,52,https://www.swiggy.com/city/bangalore/nexus-shantiniketan-mall-landmark-restaurants-dineout
133,momo,368000,20,1535,$0.17,1,61,https://www.swiggy.com/city/medinipur/momo-kraft-rabindra-nagar-midnapore-rest1100251
134,grocery store,368000,10,14116,$0.36,1,48,https://www.swiggy.com/instamart
135,kerala quilon,246000,56,632,$0.23,1,37,https://www.swiggy.com/city/kollam/quilon-lunch-home-chengotta-road-chamakkada-rest132048
136,supermarket near me,246000,7,29287,$1.29,4,44,https://www.swiggy.com/instamart
137,subway,368000,23,1294,$0.25,1,61,https://www.swiggy.com/city/delhi/subway
138,dot and key sunscreen,246000,20,1294,$0.13,100,65,https://www.swiggy.com/instamart/p/dot-key-vitamin-c-e-super-bright-sunscreen-spf-50-pa-P935LA9R76
139,dosa wala near me,201000,6,39852,$0.21,6,36,https://www.swiggy.com/city/delhi/masala-dosa-dish-restaurants
140,restaurant with bar near me,246000,6,39852,$0.06,18,23,https://www.swiggy.com/city/vizag/best-bars-restaurants-dineout
141,ice cream near me,201000,6,23935,$0.36,5,36,https://www.swiggy.com/city/patna/ice-cream-dish-restaurants
142,breakfast meal near me,246000,5,39852,$0.08,10,23,https://www.swiggy.com/breakfast-dish-restaurants-near-me
143,vijayawada station,246000,88,516,$0,1,48,https://www.swiggy.com/order-food-online-in-train
144,kritaa nagar,246000,7,16211,$0.17,4,20,https://www.swiggy.com/restaurants/kritaa-nagar-nanakramguda-hyderabad-1066683/dineout
145,near food restaurant,246000,5,39852,$0.07,15,30,https://www.swiggy.com/restaurants-near-me
146,momo wow,246000,17,2238,$0.14,2,38,https://www.swiggy.com/instamart/p/wow-momo-chicken-cheese-momos-TFNXC8FUVM
147,cyber hub dlf cyber city,246000,21,1254,$0.04,5,39,https://www.swiggy.com/restaurants/cyberhub-social-dlf-cyber-city-gurgaon-853586/dineout
148,breakfast near me,201000,7,23935,$0.36,8,45,https://www.swiggy.com/breakfast-dish-restaurants-near-me
149,wow momo,201000,17,2238,$0.28,3,48,https://www.swiggy.com/city/hyderabad/wow-momo
150,bhopal jn,246000,66,516,$0.08,4,19,https://www.swiggy.com/order-food-online-in-train
151,the magnolia bakery,246000,19,1377,$0.11,5,40,https://www.swiggy.com/city/mumbai/magnolia-bakery-panchasheel-nagar-bandra-west-rest799856
152,nearby restaurants,246000,1,74784,$0.28,15,52,https://www.swiggy.com/restaurants-near-me
153,sabja seeds,301000,9,11537,$0.03,96,76,https://www.swiggy.com/instamart/p/popular-essentials-sabja-basil-seeds-1YZ6ZCRY4P
154,mojo pizza 2x toppings,246000,9,11537,$0.15,1,21,https://www.swiggy.com/city/bangalore/mojo-pizza-2x-toppings
155,mojo pizza 2x toppings,246000,9,11537,$0.15,1,21,https://www.swiggy.com/city/bangalore/mojo-pizza-2x-toppings
156,kitchenware mixer grinder,246000,51,516,$0.03,99,34,https://www.swiggy.com/instamart/campaign-collection/listing?custom_back=true&layoutId=6558
157,thane viviana mall,246000,27,516,$0.12,5,22,https://www.swiggy.com/city/mumbai/viviana-mall-landmark-restaurants-dineout
158,pizza hut near me,246000,8,11537,$0.24,7,57,https://www.swiggy.com/pizza-hut-near-me
159,restaurant near me bar,246000,5,39852,$0.05,11,25,https://www.swiggy.com/city/vizag/best-bars-restaurants-dineout
160,mandi,246000,28,590,$0,1,60,https://www.swiggy.com/city/hyderabad/indian-mandi-restaurant-manikonda-rest1213708
161,restaurant with bar near me,246000,6,39852,$0.06,18,23,https://www.swiggy.com/city/vizag/best-bars-restaurants-dineout
162,ice cream near me,201000,6,23935,$0.36,5,36,https://www.swiggy.com/city/patna/ice-cream-dish-restaurants
163,dosa wala near me,201000,6,39852,$0.21,6,36,https://www.swiggy.com/city/delhi/masala-dosa-dish-restaurants
164,beer shop near me,246000,42,516,$0,1,34,https://www.swiggy.com/city/kolkata/beer-shop-dumdum-dum-dum-rest146376
165,cetaphil moisturising,246000,20,1057,$0.08,100,23,https://www.swiggy.com/instamart/p/cetaphil-moisturising-cream-1X45O4WVQG
166,simple face cleanser,246000,19,1451,$0.04,98,23,https://www.swiggy.com/instamart/p/simple-kind-to-skin-refreshing-facial-wash-KJFWFDBJZ4
167,pizza hut nearest to me,246000,10,8314,$0.14,4,20,https://www.swiggy.com/pizza-hut-near-me
168,red bull,246000,32,516,$0.50,60,66,https://www.swiggy.com/instamart/p/red-bull-energy-drink-N0KO7KQUD0
169,chemist at play,201000,22,811,$0.09,97,72,https://www.swiggy.com/instamart/city/bangalore/b/chemist-at-play
170,bar and restaurant near me,246000,5,39852,$0.31,12,38,https://www.swiggy.com/best-bars-restaurants-dineout-near-me
171,near restaurant,246000,5,39852,$0.14,13,51,https://www.swiggy.com/restaurants-near-me
172,limcee tablet,201000,29,422,$0.24,62,66,https://www.swiggy.com/instamart/p/limcee-500mg-orange-flavour-chewable-immunity-booster-vitamin-c-ascorbic-acid-YALRUQ0GHW
173,railway station in vadodara,165000,59,422,$0,9,37,https://www.swiggy.com/order-food-online-in-train
174,nearby wine shop,201000,59,422,$0,1,42,https://www.swiggy.com/instamart/city/kolkata/sc/paan-corner/drinks-682462130c0f930001b218a3
175,belgium waffle,165000,9,9426,$0.19,1,48,https://www.swiggy.com/city/hyderabad/the-belgian-waffle-co
176,sector 29,201000,19,1125,$0.23,4,49,https://www.swiggy.com/city/delhi/sector-29-gurgaon-restaurants/dance-floor-restaurants-dineout
177,indian coffee house,201000,8,19557,$0,3,43,https://www.swiggy.com/city/sidhi/indian-coffee-house-sidhi-city-rest830469
178,earphone,201000,107,422,$0.06,94,89,https://www.swiggy.com/instamart/campaign-collection/listing?custom_back=true&layoutId=5663
179,defence colony,201000,18,1185,$0.15,4,49,https://www.swiggy.com/city/delhi/defence-colony-restaurants
180,cafe niloufer,201000,10,6793,$0.02,3,48,https://www.swiggy.com/city/hyderabad/cafe-niloufer-premium-lounge-banjara-hills-rest228215
181,burgers,201000,4,61104,$0.14,1,61,https://www.swiggy.com/city/delhi/burgers-dish-restaurants
182,oia bangalore,201000,15,3015,$0.33,9,50,https://www.swiggy.com/restaurants/oia-hennur-bangalore-711661/dineout
183,mtr,201000,20,1125,$0.35,3,61,https://www.swiggy.com/city/bangalore/mtr
184,egg,165000,32,422,$0.21,50,76,https://www.swiggy.com/instamart/p/fresh-eggs-white-eggs-UCX9XSR1L6
185,bento cakes,165000,41,422,$0.24,84,73,https://www.swiggy.com/city/noida-1/bento-cakes-noida-block-c-sector-53-sector-50-rest865286
186,waffle belgian,201000,11,3959,$0.14,1,53,https://www.swiggy.com/the-belgian-waffle-co-near-me
187,royal meenakshi mall bangalore,201000,21,663,$0.12,6,27,https://www.swiggy.com/city/bangalore/royal-meenakshi-mall-landmark-restaurants-dineout
188,railway station mathura,165000,76,422,$0,4,44,https://www.swiggy.com/order-food-online-in-train
189,earphones,201000,38,422,$0.05,93,88,https://www.swiggy.com/instamart/campaign-collection/listing?custom_back=true&layoutId=5663
190,bento cake,201000,11,3959,$0.18,92,75,https://www.swiggy.com/city/mumbai/korean-bento-cakes-andheri-east-rest1189805
191,near subway near me,201000,8,13245,$0.12,1,21,https://www.swiggy.com/subway-near-me
192,popeyes near me,165000,9,9426,$0.38,7,45,https://www.swiggy.com/city/bangalore/popeyes
193,momos near me,165000,4,61104,$0.17,4,55,https://www.swiggy.com/momos-dish-restaurants-near-me
194,railway station vadodara,201000,81,422,$0.15,6,21,https://www.swiggy.com/order-food-online-in-train
195,careers,201000,42,422,$0.15,3,89,https://careers.swiggy.com/
196,belgian waffle,201000,9,9426,$0.16,1,48,https://www.swiggy.com/city/bangalore/the-belgian-waffle-co
197,trivandrum lulu mall,201000,18,1125,$0.40,2,43,https://www.swiggy.com/city/thiruvananthapuram/lulu-hypermarket-lulu-mall-lulu-tvm-rest510599
198,momo near me,165000,6,32562,$0.18,4,44,https://www.swiggy.com/momos-dish-restaurants-near-me
199,place,201000,49,422,$0.80,1,67,https://www.swiggy.com/city/kolkata/6-ballygunge-place-takeaway-jadavpur-rest435176
200,i pill tablet,201000,60,422,$0.11,7,45,https://www.swiggy.com/instamart/p/i-pill-DVT559RBZQ
201,eggs,201000,19,1025,$0.16,52,76,https://www.swiggy.com/instamart/city/bangalore/sc/dairy-bread-and-eggs/eggs-681f5930eb76ab0001691dd0
202,subway near me,201000,9,9426,$0.54,1,43,https://www.swiggy.com/subway-near-me
203,sec29 gurgaon,201000,10,5145,$0.13,4,20,https://www.swiggy.com/city/delhi/sector-29-gurgaon-restaurants
204,kalyan nagar,201000,43,422,$0.39,7,50,https://www.swiggy.com/city/bangalore/kalyan-nagar-restaurants
205,dadar shivaji park,165000,24,663,$0.29,9,45,https://www.swiggy.com/city/mumbai/shivaji-park-gymkhana-dadar-west-rest125777
206,bakingo,201000,10,9426,$0.44,98,90,https://www.swiggy.com/city/bangalore/bakingo
207,watermelons,201000,72,422,$0.02,16,35,https://www.swiggy.com/instamart/p/kiran-watermelon-medium-tarbuj-4SZ3YOFZ49
208,tiffin service near me,201000,43,422,$0.07,9,37,https://www.swiggy.com/city/delhi/home-food-tiffin-services-pd-block-pitampura-rest285103
209,maggi,201000,9,6793,$0.08,61,79,https://www.swiggy.com/instamart/p/maggi-2-minute-instant-noodles-made-with-quality-spices-C065XMRW6S
210,kailash parbat,246000,10,6793,$0.15,1,48,https://www.swiggy.com/city/bangalore/kailash-parbat
211,earphones headphones,201000,25,663,$0.02,94,67,https://www.swiggy.com/instamart/campaign-collection/listing?custom_back=true&layoutId=5663
212,e booking train,201000,75,422,$0.04,47,86,https://www.swiggy.com/order-food-online-in-train
213,tomato,165000,89,422,$0.18,12,64,https://www.swiggy.com/instamart/p/indian-tomato-tamatar-0GWBSRKMYQ
214,table and dining,201000,54,422,$0.04,100,58,https://www.swiggy.com/dineout
215,south indian restaurants near me,201000,5,32562,$0.16,9,37,https://www.swiggy.com/city/faridabad/south-indian-cuisine-restaurants
216,south indian food restaurants near me,201000,5,32562,$0.14,9,22,https://www.swiggy.com/city/noida/south-indian-cuisine-restaurants
217,near me subway restaurant,201000,3,19557,$0.06,1,21,https://www.swiggy.com/subway-near-me
218,ramamurthy nagar bangalore,201000,110,422,$0.13,6,28,https://www.swiggy.com/city/bangalore/order-online
219,gurgaon 29 sector,201000,15,2271,$0.13,4,20,https://www.swiggy.com/city/delhi/sector-29-gurgaon-restaurants
220,burger,201000,5,61104,$0.17,2,61,https://www.swiggy.com/city/delhi/burgers-dish-restaurants
221,moto g35,201000,16,1507,$0.08,100,78,https://www.swiggy.com/instamart/p/motorola-g35-4-gb-ram-128-gb-storage-5000-mah-battery-50-mp-rear-camera-6-72-display-midnight-black-Y50KVQ7OX1
222,bars and pubs near me,165000,14,2271,$0.15,5,36,https://www.swiggy.com/city/hyderabad/best-bars-restaurants-dineout
223,mandi near me,165000,3,32562,$0.26,5,44,https://www.swiggy.com/chicken-mandi-dish-restaurants-near-me
224,zomato partnerships,135000,79,346,$0.44,1,31,https://www.swiggy.com/instamart-partner
225,pista house,135000,10,7738,$0.24,2,48,https://www.swiggy.com/city/hyderabad/pista-house
226,salicylic acid face wash,165000,34,346,$0.10,100,65,https://www.swiggy.com/instamart/p/minimalist-salicylic-acid-face-wash-for-acne-oil-control-TQ4AIQ5X3W
227,durg city,165000,100,346,$0,1,48,https://www.swiggy.com/instamart
228,passionfruit,165000,20,841,$0.18,43,73,https://www.swiggy.com/instamart/p/passion-fruit-SOAK8HMNW5
229,salicylic acid skin cleanser,165000,15,2475,$0.06,100,38,https://www.swiggy.com/instamart/p/minimalist-salicylic-acid-face-wash-for-acne-oil-control-TQ4AIQ5X3W
230,eateries near me,165000,5,26730,$0.30,14,47,https://www.swiggy.com/restaurants-near-me
231,bhilai location,165000,105,346,$0.12,1,25,https://www.swiggy.com/instamart
232,beetroot,165000,20,924,$0.15,5,62,https://www.swiggy.com/instamart/p/beetroot-JK9DBBC4GW
233,veg restaurant in near me,135000,4,50160,$0.05,5,38,https://www.swiggy.com/veg-restaurants-near-me
234,taj bandra lands end,165000,30,346,$0.36,28,40,https://www.swiggy.com/city/mumbai/vista-taj-lands-end-bandra-west-rest23448
235,aundh,135000,31,346,$0.37,7,63,https://www.swiggy.com/city/pune/aundh-restaurants/family-dining-restaurants-dineout
236,shadab hyderabad,165000,14,2475,$0.06,2,35,https://www.swiggy.com/city/hyderabad/hotel-shadab-ghansi-bazar-charminar-rest88440
237,shadab hotel restaurant,165000,14,2475,$0.06,2,26,https://www.swiggy.com/city/hyderabad/hotel-shadab-ghansi-bazar-charminar-rest88440
238,food places near me to eat,165000,5,26730,$0.07,15,23,https://www.swiggy.com/restaurants-near-me
239,food near to me,165000,5,26730,$0.07,15,30,https://www.swiggy.com/restaurants-near-me
240,eating spots near me,165000,6,26730,$0.07,15,28,https://www.swiggy.com/restaurants-near-me
241,near me food places,165000,6,26730,$0.07,13,28,https://www.swiggy.com/restaurants-near-me
