No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
88,food near me,673000,4,204592,$0.24,9,46,https://www.zomato.com/restaurants-near-me
89,choc o late,673000,10,17228,$0.01,62,24,https://www.zomato.com/ncr/choko-la-sector-56-gurgaon/order
90,bbq nation,673000,8,44350,$0.11,3,48,https://www.zomato.com/ncr/barbeque-nation-connaught-place-new-delhi
91,barbeque nation,550000,9,31563,$0.22,2,48,https://www.zomato.com/ncr/barbeque-nation-connaught-place-new-delhi
92,dominos near me,673000,12,13258,$0.15,3,43,https://www.zomato.com/ncr/restaurants/dominos?landmark_id=74&category=2
93,dadar,450000,19,3970,$0,9,63,https://www.zomato.com/mumbai/dadar-west-restaurants
94,cake bakery shops near me,673000,4,204592,$0.10,41,20,https://www.zomato.com/bakeries-near-me
95,lakshmi nagar delhi,550000,19,2893,$0.32,3,43,https://www.zomato.com/ncr/laxmi-nagar-delhi-restaurants
96,bangalore koramangala,673000,16,5047,$0.18,6,33,https://www.zomato.com/bangalore/koramangala-5th-block-restaurants
97,dhaba near me,550000,4,204592,$0.13,4,44,https://www.zomato.com/dhabas-near-me
98,domino's pizza,1000000,12,17228,$0.18,3,48,https://www.zomato.com/ncr/dominos-pizza-3-rohini-new-delhi
99,indian jodhpur,673000,34,1413,$0.16,1,27,https://www.zomato.com/jodhpur/restaurants/north-indian
100,the belgian waffle co,301000,6,53515,$0.19,9,37,https://www.zomato.com/mumbai/the-belgian-waffle-co-mumbai-central
101,campus off,550000,27,1320,$0.16,1,30,https://www.zomato.com/ncr/off-campus-satyaniketan-new-delhi
102,bakery close to me,450000,4,167200,$0.16,8,37,https://www.zomato.com/bakeries-near-me
103,delhi rajiv chowk,550000,28,1265,$0.12,4,20,https://www.zomato.com/ncr/restaurants/in/rajiv-chowk-metro-station
104,bangalore hsr,550000,21,2365,$0.13,7,42,https://www.zomato.com/bangalore/hsr-restaurants
105,baking near me,550000,5,167200,$0.07,13,22,https://www.zomato.com/bakeries-near-me
106,bakeries near me,550000,4,167200,$0.13,11,46,https://www.zomato.com/bakeries-near-me
107,yelahanka,550000,24,1815,$0.20,7,63,https://www.zomato.com/bangalore/yelahanka-restaurants
108,vashi,450000,17,8250,$0.11,5,62,https://www.zomato.com/mumbai/vashi-restaurants
109,new delhi lajpat nagar,550000,53,1155,$0.16,4,22,https://www.zomato.com/ncr/best-lajpat-nagar-1-restaurants
110,hsr bangalore,550000,14,5005,$0.13,9,50,https://www.zomato.com/bangalore/hsr-high-street-hsr
111,gachibowli hyd,550000,12,8250,$0.16,7,38,https://www.zomato.com/hyderabad/gachibowli-restaurants
112,pizza,550000,13,14080,$0.14,7,63,https://www.zomato.com/lucknow/restaurants/pizza
113,haldiram,550000,9,25795,$0.07,13,64,https://www.zomato.com/ncr/haldirams-connaught-place-new-delhi
114,kukatpally,550000,10,25795,$0.24,15,65,https://www.zomato.com/hyderabad/kukatpally-restaurants
115,dlf mall noida,550000,9,18590,$0.21,5,44,https://www.zomato.com/ncr/restaurants/in/dlf-mall-of-india-sector-18-noida
116,cake,550000,13,10835,$0.19,68,37,https://www.zomato.com/ncr/delivery/dish-cake
117,rajiv chowk in delhi,550000,39,1155,$0.12,4,28,https://www.zomato.com/ncr/restaurants/in/rajiv-chowk-metro-station
118,whitefield,550000,22,2365,$0.35,7,63,https://www.zomato.com/bangalore/whitefield-restaurants
119,20,550000,38,1155,$0.09,1,40,https://www.zomato.com/ahmedabad/one-20-mins-bopal
120,sector 18,550000,12,8250,$0.15,5,39,https://www.zomato.com/ncr/sector-18-noida-restaurants
121,gachibowli,550000,18,3245,$0.31,8,63,https://www.zomato.com/hyderabad/gachibowli-restaurants
122,biryani near.me,550000,4,167200,$0.09,7,20,https://www.zomato.com/biryani-restaurants-near-me
123,biryani near me,450000,4,167200,$0.18,6,22,https://www.zomato.com/biryani-restaurants-near-me
124,waltair visakhapatnam,550000,54,1155,$0.20,1,20,https://www.zomato.com/visakhapatnam/waltair-kitchen-pl-grand-waltair-uplands-vizag
125,panipat haryana,550000,62,1155,$0.10,1,30,https://www.zomato.com/panipat/haryana-kitchen-hub-tehsil-camp
126,sindhi camp,550000,13,8250,$0.19,5,49,https://www.zomato.com/jaipur/sindhi-camp-restaurants
127,rajiv chowk station,550000,18,3245,$0.29,6,44,https://www.zomato.com/ncr/restaurants/in/rajiv-chowk-metro-station
128,gachibowli hyderabad,550000,22,2365,$0.16,11,39,https://www.zomato.com/hyderabad/gachibowli-restaurants
129,third wave coffee,550000,10,25795,$0.33,6,44,https://www.zomato.com/ncr/restaurants/third-wave-coffee
130,z's,550000,9,14080,$0.18,1,47,https://www.zomato.com/surat/zs-restaurant-bhestan
131,mira road,550000,30,1155,$0.19,5,49,https://www.zomato.com/mumbai/mira-road-restaurants
132,bakery near me,450000,4,167200,$0.15,9,45,https://www.zomato.com/bakeries-near-me
133,whitefield whitefield,550000,19,2805,$0.14,7,22,https://www.zomato.com/bangalore/whitefield-restaurants
134,restaurants nearby,450000,7,53515,$0.53,5,49,https://www.zomato.com/restaurants-near-me
135,naturals ice cream,368000,7,53515,$0.09,5,44,https://www.zomato.com/NaturalsCP
136,noida sector 18,450000,10,14080,$0.55,9,45,https://www.zomato.com/ncr/sector-18-noida-restaurants
137,be,550000,21,2365,$0.79,1,49,https://www.zomato.com/ncr/be-healthy-2-sector-51-noida
138,vi's,550000,7,25795,$0.60,1,51,https://www.zomato.com/hyderabad/vis-kitchen-manikonda
139,domino's pizza near me,368000,11,8865,$0.18,3,35,https://www.zomato.com/hyderabad/dominos-pizza-sd-road-secunderabad
140,bms chennai,450000,11,5085,$0.04,1,29,https://www.zomato.com/chennai/bms-barman-special-valasaravakkam/reviews
141,ice creams,550000,13,8865,$0.30,21,54,https://www.zomato.com/ncr/restaurants/ice-cream
142,panaji panaji,450000,38,945,$0.22,3,38,https://www.zomato.com/goa/panaji-restaurants
143,lulu mall kochi kerala,450000,20,2520,$0.04,5,44,https://www.zomato.com/kochi/restaurants/in/lulu
144,mumbai central,450000,29,1080,$0.25,5,49,https://www.zomato.com/mumbai/restaurants/near/mumbai-central-station
145,nehru place new delhi delhi,450000,21,1935,$0.14,5,29,https://www.zomato.com/ncr/nehru-place-delhi-restaurants
146,e trains,450000,40,945,$0.67,1,84,https://www.zomato.com/order-food-online-in-train
147,nehru place new delhi delhi,450000,21,1935,$0.14,5,29,https://www.zomato.com/ncr/nehru-place-delhi-restaurants
148,e trains,450000,40,945,$0.67,1,84,https://www.zomato.com/order-food-online-in-train
149,best meals near me,450000,5,136800,$0.17,11,38,https://www.zomato.com/restaurants-near-me
150,best food restaurants near me,450000,4,136800,$0.23,14,39,https://www.zomato.com/restaurants-near-me
151,tilak nagar delhi,450000,27,1080,$13.74,4,44,https://www.zomato.com/ncr/tilak-nagar-delhi-restaurants
152,t nagar,450000,18,2655,$0.17,7,30,https://www.zomato.com/chennai/t-nagar-restaurants
153,nehru place in delhi,450000,18,2520,$0.12,4,25,https://www.zomato.com/ncr/nehru-place-delhi-restaurants
154,lulu mall at kochi,450000,16,3375,$0.06,4,38,https://www.zomato.com/kochi/restaurants/in/lulu
155,café coffee day,450000,11,21105,$0.37,3,43,https://www.zomato.com/mumbai/restaurants/cafe-coffee-day
156,sexy fish,450000,13,5085,$0.47,3,42,https://www.zomato.com/dubai/sexy-fish-difc
157,dilsukhnagar,450000,12,8865,$0.44,5,62,https://www.zomato.com/hyderabad/dilsukhnagar-restaurants
158,zirakpur zirakpur,450000,39,945,$0.06,2,33,https://www.zomato.com/chandigarh/zirakpur-restaurants
159,andheri,368000,23,1935,$0.10,11,64,https://www.zomato.com/mumbai/andheri-east-restaurants
160,delhi tilak nagar,450000,20,1935,$0.14,5,19,https://www.zomato.com/ncr/tilak-nagar-delhi-restaurants
161,coffee day cafe,450000,10,21105,$0.19,3,55,https://www.zomato.com/kanpur/cafe-coffee-day-1-mall-road
162,pco,368000,19,2520,$0.28,2,61,https://www.zomato.com/mumbai/pco-lower-parel
163,best restaurants near me,450000,4,136800,$0.21,12,71,https://www.zomato.com/restaurants-near-me
164,best meal near me,450000,2,136800,$0.17,11,38,https://www.zomato.com/restaurants-near-me
165,sonipat city,450000,23,1935,$0.07,1,48,https://www.zomato.com/sonipat/sonipat-city-restaurants
166,best eateries near me,450000,4,136800,$0.21,12,38,https://www.zomato.com/restaurants-near-me
167,chinchwad pune,450000,37,945,$0.10,4,25,https://www.zomato.com/pune/best-chinchwad-restaurants
168,velachery in chennai,450000,22,1935,$0.09,7,35,https://www.zomato.com/chennai/velachery-restaurants
169,spa,550000,57,945,$0.36,11,65,https://www.zomato.com/chennai/sante-spa-cuisine-nungambakkam
170,places to visit near me,450000,44,945,$0.39,5,49,https://www.zomato.com/mumbai/restaurants
171,ice cream,550000,14,6750,$0.24,66,53,https://www.zomato.com/ncr/restaurants/ice-cream
172,bandra,450000,20,2655,$0.43,4,62,https://www.zomato.com/mumbai/bandra-west-restaurants
173,hauz khas new delhi delhi,450000,14,6750,$0.09,4,24,https://www.zomato.com/ncr/hauz-khas-village-delhi-restaurants
174,kurla day,368000,6,21105,$0,1,47,https://www.zomato.com/mumbai/day-to-day-snacks-corner-1-kurla
175,delhi hauz khas,368000,9,29655,$0.16,4,38,https://www.zomato.com/ncr/hauz-khas-village-delhi-restaurants
176,coimbatore gandhipuram,450000,17,4095,$0.40,5,49,https://www.zomato.com/coimbatore/best-gandhipuram-restaurants
177,cafe coffee day,450000,8,29655,$0.74,7,45,https://www.zomato.com/kolkata/cafe-coffee-day-desapriya-park
178,ub city,301000,9,9420,$0,7,50,https://www.zomato.com/bangalore/restaurants/in/ub-city?bar=1
179,sweet shop near me,301000,4,111872,$0.26,5,36,https://www.zomato.com/kolkata/sweet-shop?sort=da
180,select city walk new delhi,368000,11,9420,$0.11,5,31,https://www.zomato.com/ncr/restaurants/in/select-city-walk-mall-saket?bar=1
181,nexus mall koramangala,301000,9,7249,$0.20,15,47,https://www.zomato.com/bangalore/restaurants/in/nexus-koramangala
182,khan market in delhi,368000,8,17259,$0.09,1,31,https://www.zomato.com/ncr/khan-market-delhi-restaurants
183,café,550000,11,12438,$0.41,2,61,https://www.zomato.com/kolkata/great-cafes
184,cafes,550000,7,35806,$0.42,3,61,https://www.zomato.com/dehradun/great-cafes
185,anand's,368000,6,35806,$0.12,1,49,https://www.zomato.com/goa/anand-bar-seafood-restaurant-anjuna
186,veg,368000,19,2171,$0.01,34,64,https://www.zomato.com/bangalore/vegetarian-restaurants
187,sweet shops near me,301000,4,111872,$0.26,5,36,https://www.zomato.com/sweet-shops-near-me
188,kurla mumbai,368000,15,5520,$0.20,4,49,https://www.zomato.com/mumbai/kurla-restaurants
189,burger king nearest to me,368000,9,17259,$0.04,6,15,https://www.zomato.com/chennai/restaurants/burger-king?landmark_id=187&category=2
190,oberoi mall,368000,7,12438,$0.30,4,49,https://www.zomato.com/mumbai/restaurants/in/oberoi-mall
191,select citywalk mall delhi,368000,9,9420,$0.11,5,24,https://www.zomato.com/ncr/restaurants/in/select-city-walk-mall-saket
192,jayanagar bangalore,368000,20,2060,$0.50,9,50,https://www.zomato.com/bangalore/jayanagar-restaurants
193,goregaon east,368000,9,17259,$0.16,3,48,https://www.zomato.com/mumbai/goregaon-east-restaurants
194,express avenue mall chennai,301000,13,5520,$0,12,38,https://www.zomato.com/chennai/restaurants/in/express-avenue-mall-royapettah
195,express avenue mall,301000,13,4158,$0.67,6,44,https://www.zomato.com/chennai/restaurants/in/express-avenue-mall-royapettah
196,starbucks near me,301000,7,35806,$0.71,3,43,https://www.zomato.com/ncr/ristoranti/starbucks-coffee?landmark_id=74&category=2
197,new delhi malviya nagar,368000,23,1214,$0.10,3,22,https://www.zomato.com/ncr/malviya-nagar-delhi-restaurants
198,bandra bkc,301000,14,5520,$0.33,7,50,https://www.zomato.com/mumbai/bkc-dive-bandra-kurla-complex
199,madhur,450000,8,7249,$0.14,1,60,https://www.zomato.com/hyderabad/madhur-sweets-kompally
200,jayanagar,368000,16,3348,$0.50,9,63,https://www.zomato.com/bangalore/jayanagar-restaurants
201,star box near me,368000,10,17259,$0.05,3,38,https://www.zomato.com/ncr/starbucks-coffee-1-connaught-place-new-delhi
202,lulu mall lucknow,368000,14,4158,$0.12,4,44,https://www.zomato.com/lucknow/lulu-hypermarket-ibb-sushant-golf-city
203,church street,301000,6,35806,$0.01,15,52,https://www.zomato.com/bangalore/church-street-restaurants
204,select citywalk new delhi delhi,368000,5,17259,$0.07,4,29,https://www.zomato.com/ncr/restaurants/in/select-city-walk-mall-saket
205,food,368000,26,1214,$0.32,3,72,https://www.zomato.com/ncr
206,najafgarh,368000,19,2171,$0,4,62,https://www.zomato.com/ncr/najafgarh-delhi-restaurants
207,khan market new delhi,368000,6,17259,$0.03,1,20,https://www.zomato.com/ncr/khan-market-delhi-restaurants
208,bar,368000,9,17259,$0.14,2,36,https://www.zomato.com/mumbai/best-bars-and-pubs
209,pure veg restaurants near me,301000,5,59616,$0.10,8,37,https://www.zomato.com/hyderabad/vegetarian-restaurants
210,sarai kale,368000,21,1876,$0.13,3,19,https://www.zomato.com/ncr/best-restaurants?landmark_id=8
211,cafe,550000,5,111872,$0.57,3,80,https://www.zomato.com/pune/caf%C3%A9
212,haldiram near me,301000,7,35806,$0.16,2,43,https://www.zomato.com/kolkata/restoranlar/haldirams-1?landmark_id=398&category=2
213,baskin robbins,301000,10,12438,$0.04,4,49,https://www.zomato.com/hyderabad/baskin-robbins-ice-cream-desserts-masab-tank
214,near me burger king,450000,10,12438,$0.03,7,13,https://www.zomato.com/mumbai/restaurants/burger-king
215,waffles and waffles,368000,9,24251,$0.30,1,53,https://www.zomato.com/mumbai/a-waffles-belgian-waffles-more-kharghar-navi-mumbai
216,majnu tilla delhi,301000,12,7249,$0.16,5,28,https://www.zomato.com/ncr/majnu-ka-tila-delhi-restaurants
217,majnu ka tila,301000,8,17259,$0,2,43,https://www.zomato.com/hi/ncr/restaurace/in/majnu-ka-tila
218,pizza hut,550000,14,4158,$0.22,10,51,https://www.zomato.com/bangalore/restaurants/pizza-hut
219,phoenix mall of the millennium,368000,5,24251,$0.10,6,36,https://www.zomato.com/pune/restaurants/in/phoenix-mall-of-the-millennium
220,nearest starbucks to me,368000,8,24251,$0.10,2,20,https://www.zomato.com/ncr/ristoranti/starbucks-coffee?landmark_id=74&category=2
221,dragon,550000,27,846,$0.57,1,60,https://www.zomato.com/chandigarh/hangry-dragon-sector-71-mohali
222,jaya nagar,368000,16,2760,$0.24,6,20,https://www.zomato.com/bangalore/jayanagar-restaurants
223,goregaon,368000,5,59616,$0.16,3,61,https://www.zomato.com/mumbai/sindhian-1-goregaon-east/order
224,express avenue chennai,301000,18,1876,$0.63,12,46,https://www.zomato.com/chennai/restaurants/in/express-avenue-mall-royapettah
225,malviya nagar delhi,368000,22,1582,$0.16,5,25,https://www.zomato.com/ncr/malviya-nagar-delhi-restaurants
226,delhi majnu tilla,301000,9,17259,$0.12,3,26,https://www.zomato.com/ncr/restaurants/in/majnu-ka-tila
227,express avenue in chennai,368000,12,4158,$0.18,5,25,https://www.zomato.com/chennai/restaurants/in/express-avenue-mall-royapettah
228,malviya nagar new delhi delhi,368000,17,2171,$0.12,4,30,https://www.zomato.com/ncr/malviya-nagar-delhi-restaurants
229,kurla india,368000,17,2760,$0.10,4,22,https://www.zomato.com/mumbai/mini-india-kurla
230,khan market new delhi delhi,368000,7,12438,$0.03,1,29,https://www.zomato.com/ncr/khan-market-delhi-restaurants
231,khan market,368000,6,24251,$0.03,1,31,https://www.zomato.com/ncr/dinner-in-khan-market
232,burger king near me,368000,9,17259,$0.26,2,35,https://www.zomato.com/ncr/restaurants/burger-king?landmark_id=43&category=2
233,bandra kurla complex mumbai,301000,71,772,$0.18,7,19,https://www.zomato.com/mumbai/bkc-dive-bandra-kurla-complex
234,phoenix mall pune,368000,8,9420,$0.01,6,44,https://www.zomato.com/pune/restaurants/in/phoenix-market-city-viman-nagar
235,pizza near me,301000,6,35806,$0.19,9,45,https://www.zomato.com/pizza-restaurants-near-me
236,oberoi mall in mumbai,368000,11,9420,$0.10,5,31,https://www.zomato.com/mumbai/restaurants/in/oberoi-mall
237,mumbai bkc,368000,17,3348,$0.21,5,37,https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants
238,select citywalk new delhi,368000,8,9420,$0.11,5,25,https://www.zomato.com/ncr/restaurants/in/select-city-walk-mall-saket
239,house,368000,37,772,$0.70,1,72,https://www.zomato.com/jaipur/house-of-fister-jagatpura
240,bandra kurla complex,301000,20,2060,$0.38,6,44,https://www.zomato.com/mumbai/bandra-kurla-complex-restaurants
241,waffle,301000,8,24251,$0.81,1,60,https://www.zomato.com/mumbai/the-belgian-waffle-co-chowpatty/order
242,delhi khan market,368000,7,24251,$0.03,1,28,https://www.zomato.com/ncr/khan-market-delhi-restaurants
243,majestic bengaluru karnataka,301000,16,3348,$0.13,4,21,https://www.zomato.com/bangalore/majestic-hotel-majestic
244,kharghar,368000,18,2760,$1.89,3,61,https://www.zomato.com/mumbai/kharghar-restaurants
245,khan market delhi,368000,7,17259,$0.03,1,30,https://www.zomato.com/ncr/dinner-in-khan-market
246,pizza near me near me,368000,6,35806,$0.14,8,23,https://www.zomato.com/pizza-restaurants-near-me
247,og's,368000,4,111872,$0.13,1,29,https://www.zomato.com/goa/ogs-cocktail-bar-kitchen-vagator
248,restaurants nearby near me,165000,4,111872,$0.04,13,72,https://www.zomato.com/restaurants-near-me
249,ankleshwar ankleshwar,368000,23,1214,$0.08,1,21,https://www.zomato.com/ankleshwar/restaurants
250,select city walk,368000,4,35806,$0,9,45,https://www.zomato.com/ncr/restaurants/in/select-city-walk-mall-saket?bar=1
251,khan market in new delhi,368000,9,12438,$0.09,1,29,https://www.zomato.com/ncr/khan-market-delhi-restaurants
252,anand,368000,27,883,$0,1,61,https://www.zomato.com/mumbai/anand-fast-food-corner-bandstand-bandra-west
253,sirohi mount abu,368000,61,772,$0.12,1,27,https://www.zomato.com/restaurant-services-hub/fssai/?referrer=appdiytool_banner
